Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.316090	-0.316090
1	0.995007	75000	-0.315631	-0.631720
2	0.992517	75000	-0.315174	-0.946894
3	0.990030	75000	-0.314731	-1.261625
4	0.987547	75000	-0.314222	-1.575847
5	0.985067	75000	-0.313834	-1.889681
6	0.982592	75000	-0.313292	-2.202973
7	0.980120	75000	-0.312800	-2.515773
8	0.977652	75000	-0.312349	-2.828123
9	0.975187	75000	-0.311896	-3.140018
10	0.972726	75000	-0.311463	-3.451481
11	0.970269	75000	-0.310996	-3.762476
12	0.967816	75000	-0.310497	-4.072974
13	0.965367	75000	-0.310094	-4.383068
14	0.962921	75000	-0.309538	-4.692606
15	0.960479	75000	-0.309106	-5.001712
16	0.958040	75000	-0.308634	-5.310346
17	0.955606	75000	-0.308119	-5.618465
18	0.953175	75000	-0.307757	-5.926221
19	0.950747	75000	-0.307293	-6.233514
20	0.948324	75000	-0.306758	-6.540272
21	0.945904	75000	-0.306309	-6.846581
22	0.943488	75000	-0.305864	-7.152445
23	0.941076	75000	-0.305375	-7.457820
24	0.938667	75000	-0.304932	-7.762752
25	0.936262	75000	-0.304465	-8.067216
26	0.933861	75000	-0.304031	-8.371248
27	0.931463	75000	-0.303630	-8.674878
28	0.929069	75000	-0.303103	-8.977982
29	0.926679	75000	-0.302606	-9.280588
30	0.924293	75000	-0.302173	-9.582761
31	0.921910	75000	-0.301690	-9.884450
32	0.919531	75000	-0.301284	-10.185734
33	0.917155	75000	-0.300749	-10.486483
34	0.914783	75000	-0.300300	-10.786783
35	0.912415	75000	-0.299888	-11.086671
36	0.910051	75000	-0.299471	-11.386142
37	0.907690	75000	-0.298876	-11.685019
38	0.905333	75000	-0.298491	-11.983510
39	0.902980	75000	-0.297982	-12.281491
40	0.900630	75000	-0.297541	-12.579033
41	0.898284	75000	-0.297096	-12.876128
42	0.895942	75000	-0.296638	-13.172767
43	0.893603	75000	-0.296183	-13.468950
44	0.891268	75000	-0.295791	-13.764740
45	0.888937	75000	-0.295223	-14.059963
46	0.886609	75000	-0.294817	-14.354780
47	0.884285	75000	-0.294308	-14.649089
48	0.881965	75000	-0.293921	-14.943009
49	0.879648	75000	-0.293488	-15.236497
50	0.877335	75000	-0.293030	-15.529527
51	0.875026	75000	-0.292574	-15.822101
52	0.872720	75000	-0.292074	-16.114174
53	0.870418	75000	-0.291705	-16.405879
54	0.868120	75000	-0.291197	-16.697076
55	0.865825	75000	-0.290754	-16.987830
56	0.863534	75000	-0.290239	-17.278069
57	0.861246	75000	-0.289891	-17.567960
58	0.858962	75000	-0.289370	-17.857330
59	0.856682	75000	-0.288936	-18.146266
60	0.854405	75000	-0.288396	-18.434662
61	0.852132	75000	-0.288049	-18.722711
62	0.849863	75000	-0.287519	-19.010229
63	0.847597	75000	-0.287136	-19.297365
64	0.845335	75000	-0.286604	-19.583969
65	0.843077	75000	-0.286210	-19.870179
66	0.840822	75000	-0.285807	-20.155986
67	0.838571	75000	-0.285301	-20.441287
68	0.836323	75000	-0.284851	-20.726138
69	0.834079	75000	-0.284442	-21.010580
70	0.831839	75000	-0.283980	-21.294560
71	0.829602	75000	-0.283498	-21.578058
72	0.827369	75000	-0.282991	-21.861049
