Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_case_clause_v.txt
Log File Name:                   features_case_clause_v.independent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1680491655
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_case_clause_v.independent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      False
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-126.312876	1	0.580012296595	0.240888965204	0.491491733045	0.419049815480	0.000000000000	
3000	-126.661814	1	0.604430547984	0.271345247909	0.492852232912	0.419089991140	0.000000000000	
4000	-126.799198	1	0.614431019852	0.254855776014	0.493521344606	0.418993354008	0.000000000000	
5000	-126.473710	1	0.429000229881	0.290815063737	0.491691963677	0.419431744007	0.000000000000	
6000	-128.400337	1	0.519658101442	0.089884608407	0.489792633331	0.427760368428	0.000000000000	
7000	-126.261199	1	0.441198820469	0.278376212518	0.491125191142	0.419184968052	0.000000000000	
8000	-127.937746	1	0.549599591107	0.397345983026	0.490339461576	0.425666254141	0.000000000000	
9000	-126.409651	1	0.542237312024	0.185349581049	0.490150950260	0.420529550675	0.000000000000	
10000	-127.227691	1	0.547277594891	0.368515700333	0.490276201328	0.423250624261	0.000000000000	
11000	-126.850261	1	0.578078700488	0.175962943756	0.491400567816	0.420977801611	0.000000000000	
12000	-126.186058	1	0.547750442555	0.298742704737	0.490288799240	0.419641520804	0.000000000000	
13000	-127.151454	1	0.381486921930	0.235934588566	0.494822040121	0.419100324889	0.000000000000	
14000	-126.254581	1	0.446933608424	0.220445719164	0.490892181175	0.419361191164	0.000000000000	
15000	-126.174381	1	0.459406550605	0.216378941857	0.490459238003	0.419455543801	0.000000000000	
16000	-126.425653	1	0.498136781052	0.331082115086	0.489759711694	0.420920692070	0.000000000000	
17000	-127.305650	1	0.415596948276	0.163322845213	0.492426286144	0.421671949159	0.000000000000	
18000	-126.374359	1	0.433229751841	0.225056471154	0.491484491527	0.419267227379	0.000000000000	
19000	-126.120460	1	0.452786696042	0.270859853516	0.490676418321	0.419084620553	0.000000000000	
20000	-126.753193	1	0.402000748115	0.243251236786	0.493290540085	0.419031352329	0.000000000000	
21000	-126.719571	1	0.577456028643	0.184854525415	0.491371727629	0.420551760353	0.000000000000	
22000	-127.606862	1	0.592954577948	0.364250275923	0.492164537800	0.422939134704	0.000000000000	
23000	-126.051486	1	0.458087372929	0.258021078540	0.490500243139	0.418998190859	0.000000000000	
24000	-127.226572	1	0.429637977296	0.157041372371	0.491659935221	0.422055551132	0.000000000000	
25000	-126.917158	1	0.532161465347	0.357281336248	0.489950089377	0.422455673630	0.000000000000	
26000	-127.903760	1	0.372258171716	0.333244504631	0.495600281992	0.421030483235	0.000000000000	
27000	-127.573663	1	0.394647335181	0.167753737040	0.493808056836	0.421416793633	0.000000000000	
28000	-126.880704	1	0.442932615432	0.339789855555	0.491052489797	0.421381343230	0.000000000000	
29000	-128.623856	1	0.654504731860	0.357246515055	0.496855076551	0.422453337254	0.000000000000	
30000	-128.052613	1	0.666648395723	0.216483687895	0.498071493447	0.419452978663	0.000000000000	
31000	-125.918632	1	0.528230857721	0.239344749728	0.489889634319	0.419063846327	0.000000000000	
32000	-126.612923	1	0.588282937613	0.301538621109	0.491909119234	0.419725253697	0.000000000000	
33000	-126.100198	1	0.560123694930	0.263238669574	0.490670138482	0.419020385676	0.000000000000	
34000	-126.609846	1	0.425421417825	0.206085784179	0.491876602713	0.419742414866	0.000000000000	
35000	-126.738347	1	0.609445951120	0.238267568181	0.493179673942	0.419074551825	0.000000000000	
36000	-126.812612	1	0.397905592515	0.252157721274	0.493574409378	0.418994375027	0.000000000000	
37000	-126.074640	1	0.548139958768	0.282165524287	0.490299286203	0.419249487401	0.000000000000	
38000	-127.117478	1	0.383199305341	0.272280478051	0.494683730241	0.419100770886	0.000000000000	
39000	-128.044451	1	0.458516701892	0.399946921534	0.490486773715	0.425910763235	0.000000000000	
40000	-126.198597	1	0.473685107233	0.202552892463	0.490087822111	0.419856759429	0.000000000000	
41000	-126.036555	1	0.549799363596	0.237794098878	0.490345067966	0.419079496095	0.000000000000	
42000	-125.968922	1	0.521321601871	0.223034127041	0.489807718676	0.419306739202	0.000000000000	
43000	-127.843496	1	0.662076157878	0.274565448953	0.497602241210	0.419129500683	0.000000000000	
44000	-126.655749	1	0.430250063611	0.312734094506	0.491629444244	0.420111471604	0.000000000000	
45000	-126.333435	1	0.523608672389	0.323085433517	0.489831396697	0.420541091368	0.000000000000	
46000	-126.060922	1	0.475830820269	0.217807022190	0.490043466628	0.419421185861	0.000000000000	
47000	-126.562344	1	0.567804264475	0.319041964864	0.490956933178	0.420364978753	0.000000000000	
