Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.316921	-0.316921
1	0.995007	75000	-0.316406	-0.633327
2	0.992517	75000	-0.316058	-0.949384
3	0.990030	75000	-0.315496	-1.264880
4	0.987547	75000	-0.315079	-1.579959
5	0.985067	75000	-0.314589	-1.894548
6	0.982592	75000	-0.314114	-2.208661
7	0.980120	75000	-0.313664	-2.522326
8	0.977652	75000	-0.313187	-2.835512
9	0.975187	75000	-0.312674	-3.148187
10	0.972726	75000	-0.312248	-3.460435
11	0.970269	75000	-0.311789	-3.772223
12	0.967816	75000	-0.311310	-4.083533
13	0.965367	75000	-0.310858	-4.394392
14	0.962921	75000	-0.310397	-4.704789
15	0.960479	75000	-0.309917	-5.014706
16	0.958040	75000	-0.309455	-5.324160
17	0.955606	75000	-0.308963	-5.633123
18	0.953175	75000	-0.308494	-5.941618
19	0.950747	75000	-0.308040	-6.249658
20	0.948324	75000	-0.307598	-6.557256
21	0.945904	75000	-0.307122	-6.864377
22	0.943488	75000	-0.306635	-7.171013
23	0.941076	75000	-0.306187	-7.477200
24	0.938667	75000	-0.305788	-7.782987
25	0.936262	75000	-0.305290	-8.088277
26	0.933861	75000	-0.304899	-8.393176
27	0.931463	75000	-0.304295	-8.697471
28	0.929069	75000	-0.303827	-9.001298
29	0.926679	75000	-0.303408	-9.304706
30	0.924293	75000	-0.302947	-9.607653
31	0.921910	75000	-0.302436	-9.910089
32	0.919531	75000	-0.302067	-10.212156
33	0.917155	75000	-0.301508	-10.513664
34	0.914783	75000	-0.301174	-10.814838
35	0.912415	75000	-0.300686	-11.115524
36	0.910051	75000	-0.300166	-11.415690
37	0.907690	75000	-0.299763	-11.715453
38	0.905333	75000	-0.299254	-12.014707
39	0.902980	75000	-0.298835	-12.313542
40	0.900630	75000	-0.298351	-12.611892
41	0.898284	75000	-0.297814	-12.909707
42	0.895942	75000	-0.297472	-13.207179
43	0.893603	75000	-0.296950	-13.504128
44	0.891268	75000	-0.296498	-13.800627
45	0.888937	75000	-0.296055	-14.096682
46	0.886609	75000	-0.295580	-14.392262
47	0.884285	75000	-0.295223	-14.687486
48	0.881965	75000	-0.294682	-14.982167
49	0.879648	75000	-0.294236	-15.276404
50	0.877335	75000	-0.293772	-15.570176
51	0.875026	75000	-0.293332	-15.863508
52	0.872720	75000	-0.292873	-16.156381
53	0.870418	75000	-0.292432	-16.448813
54	0.868120	75000	-0.291954	-16.740767
55	0.865825	75000	-0.291531	-17.032298
56	0.863534	75000	-0.291007	-17.323305
57	0.861246	75000	-0.290537	-17.613842
58	0.858962	75000	-0.290029	-17.903871
59	0.856682	75000	-0.289678	-18.193550
60	0.854405	75000	-0.289170	-18.482719
61	0.852132	75000	-0.288826	-18.771546
62	0.849863	75000	-0.288356	-19.059902
63	0.847597	75000	-0.287795	-19.347697
64	0.845335	75000	-0.287402	-19.635099
65	0.843077	75000	-0.286937	-19.922036
66	0.840822	75000	-0.286462	-20.208498
67	0.838571	75000	-0.286118	-20.494616
68	0.836323	75000	-0.285593	-20.780209
69	0.834079	75000	-0.285141	-21.065351
70	0.831839	75000	-0.284674	-21.350024
71	0.829602	75000	-0.284275	-21.634299
72	0.827369	75000	-0.283749	-21.918048
73	0.825140	75000	-0.283298	-22.201347
74	0.822914	75000	-0.282787	-22.484134
75	0.820691	75000	-0.282398	-22.766531
76	0.818473	75000	-0.281966	-23.048498
77	0.816258	75000	-0.281525	-23.330023
78	0.814046	75000	-0.281135	-23.611158
79	0.811838	75000	-0.280597	-23.891754
80	0.809634	75000	-0.280124	-24.171878
81	0.807433	75000	-0.279730	-24.451609
82	0.805236	75000	-0.279249	-24.730858
83	0.803043	75000	-0.278817	-25.009675
84	0.800853	75000	-0.278439	-25.288114
85	0.798667	75000	-0.277923	-25.566037
86	0.796484	75000	-0.277547	-25.843584
87	0.794305	75000	-0.277015	-26.120599
88	0.792129	75000	-0.276613	-26.397212
89	0.789957	75000	-0.276124	-26.673336
90	0.787789	75000	-0.275717	-26.949053
91	0.785624	75000	-0.275248	-27.224301
92	0.783463	75000	-0.274874	-27.499175
93	0.781305	75000	-0.274330	-27.773505
94	0.779151	75000	-0.273974	-28.047479
95	0.777000	75000	-0.273430	-28.320909
96	0.774853	75000	-0.272986	-28.593895
97	0.772710	75000	-0.272556	-28.866451
98	0.770570	75000	-0.272143	-29.138593
99	0.768433	75000	-0.271685	-29.410278
100	0.766301	75000	-0.271208	-29.681487
101	0.764172	75000	-0.270849	-29.952335
102	0.762046	75000	-0.270333	-30.222668
103	0.759924	75000	-0.269891	-30.492559
104	0.757805	75000	-0.269380	-30.761939
105	0.755690	75000	-0.268999	-31.030938
106	0.753579	75000	-0.268542	-31.299480
107	0.751471	75000	-0.268095	-31.567574
108	0.749366	75000	-0.267703	-31.835277
109	0.747266	75000	-0.267222	-32.102499
110	0.745168	75000	-0.266850	-32.369350
111	0.743075	75000	-0.266424	-32.635774
112	0.740984	75000	-0.265881	-32.901655
113	0.738898	75000	-0.265460	-33.167115
114	0.736815	75000	-0.265118	-33.432234
115	0.734735	75000	-0.264586	-33.696819
116	0.732659	75000	-0.264145	-33.960964
117	0.730586	75000	-0.263652	-34.224617
118	0.728517	75000	-0.263252	-34.487869
119	0.726452	75000	-0.262834	-34.750703
120	0.724390	75000	-0.262342	-35.013044
121	0.722331	75000	-0.262007	-35.275051
122	0.720276	75000	-0.261491	-35.536542
123	0.718225	75000	-0.261071	-35.797613
124	0.716177	75000	-0.260610	-36.058223
125	0.714132	75000	-0.260207	-36.318430
126	0.712091	75000	-0.259794	-36.578225
127	0.710054	75000	-0.259328	-36.837552
128	0.708020	75000	-0.258861	-37.096413
129	0.705989	75000	-0.258461	-37.354874
130	0.703962	75000	-0.258021	-37.612894
131	0.701939	75000	-0.257569	-37.870463
132	0.699919	75000	-0.257129	-38.127592
133	0.697902	75000	-0.256713	-38.384305
134	0.695889	75000	-0.256262	-38.640567
135	0.693880	75000	-0.255792	-38.896359
136	0.691874	75000	-0.255374	-39.151734
137	0.689871	75000	-0.254903	-39.406637
138	0.687872	75000	-0.254469	-39.661106
