Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.184176	-0.184176
1	0.995007	75000	-0.183895	-0.368071
2	0.992517	75000	-0.183576	-0.551647
3	0.990030	75000	-0.183391	-0.735037
4	0.987547	75000	-0.183057	-0.918094
5	0.985067	75000	-0.182745	-1.100839
6	0.982592	75000	-0.182551	-1.283389
7	0.980120	75000	-0.182259	-1.465648
8	0.977652	75000	-0.181958	-1.647606
9	0.975187	75000	-0.181713	-1.829319
10	0.972726	75000	-0.181429	-2.010747
11	0.970269	75000	-0.181178	-2.191926
12	0.967816	75000	-0.180960	-2.372886
13	0.965367	75000	-0.180669	-2.553556
14	0.962921	75000	-0.180318	-2.733873
15	0.960479	75000	-0.180187	-2.914061
16	0.958040	75000	-0.179798	-3.093858
17	0.955606	75000	-0.179527	-3.273385
18	0.953175	75000	-0.179317	-3.452702
19	0.950747	75000	-0.179030	-3.631733
20	0.948324	75000	-0.178751	-3.810484
21	0.945904	75000	-0.178534	-3.989018
22	0.943488	75000	-0.178172	-4.167190
23	0.941076	75000	-0.177894	-4.345085
24	0.938667	75000	-0.177693	-4.522778
25	0.936262	75000	-0.177396	-4.700173
26	0.933861	75000	-0.177112	-4.877285
27	0.931463	75000	-0.176899	-5.054184
28	0.929069	75000	-0.176601	-5.230786
29	0.926679	75000	-0.176345	-5.407130
30	0.924293	75000	-0.176148	-5.583279
31	0.921910	75000	-0.175843	-5.759121
32	0.919531	75000	-0.175569	-5.934690
33	0.917155	75000	-0.175288	-6.109978
34	0.914783	75000	-0.174981	-6.284959
35	0.912415	75000	-0.174783	-6.459742
36	0.910051	75000	-0.174508	-6.634250
37	0.907690	75000	-0.174274	-6.808524
38	0.905333	75000	-0.173996	-6.982520
39	0.902980	75000	-0.173729	-7.156248
40	0.900630	75000	-0.173403	-7.329651
41	0.898284	75000	-0.173184	-7.502835
42	0.895942	75000	-0.172958	-7.675793
43	0.893603	75000	-0.172717	-7.848510
44	0.891268	75000	-0.172441	-8.020951
45	0.888937	75000	-0.172073	-8.193023
46	0.886609	75000	-0.171885	-8.364908
47	0.884285	75000	-0.171626	-8.536534
48	0.881965	75000	-0.171228	-8.707762
49	0.879648	75000	-0.171059	-8.878821
50	0.877335	75000	-0.170801	-9.049622
51	0.875026	75000	-0.170512	-9.220133
52	0.872720	75000	-0.170289	-9.390422
53	0.870418	75000	-0.170046	-9.560468
54	0.868120	75000	-0.169767	-9.730235
55	0.865825	75000	-0.169447	-9.899682
56	0.863534	75000	-0.169248	-10.068930
57	0.861246	75000	-0.169028	-10.237958
58	0.858962	75000	-0.168784	-10.406741
59	0.856682	75000	-0.168460	-10.575202
60	0.854405	75000	-0.168176	-10.743377
61	0.852132	75000	-0.167917	-10.911294
62	0.849863	75000	-0.167629	-11.078922
63	0.847597	75000	-0.167398	-11.246321
64	0.845335	75000	-0.167148	-11.413468
65	0.843077	75000	-0.166839	-11.580307
66	0.840822	75000	-0.166689	-11.746996
67	0.838571	75000	-0.166367	-11.913363
68	0.836323	75000	-0.166107	-12.079470
69	0.834079	75000	-0.165831	-12.245301
70	0.831839	75000	-0.165598	-12.410900
71	0.829602	75000	-0.165299	-12.576199
72	0.827369	75000	-0.165093	-12.741292
73	0.825140	75000	-0.164859	-12.906151
74	0.822914	75000	-0.164563	-13.070714
75	0.820691	75000	-0.164271	-13.234985
76	0.818473	75000	-0.164018	-13.399003
77	0.816258	75000	-0.163779	-13.562783
78	0.814046	75000	-0.163505	-13.726287
79	0.811838	75000	-0.163159	-13.889446
80	0.809634	75000	-0.162939	-14.052385
81	0.807433	75000	-0.162778	-14.215163
82	0.805236	75000	-0.162457	-14.377620
83	0.803043	75000	-0.162190	-14.539810
84	0.800853	75000	-0.161961	-14.701771
85	0.798667	75000	-0.161716	-14.863487
86	0.796484	75000	-0.161456	-15.024942
87	0.794305	75000	-0.161241	-15.186183
88	0.792129	75000	-0.160936	-15.347120
89	0.789957	75000	-0.160623	-15.507743
90	0.787789	75000	-0.160460	-15.668203
91	0.785624	75000	-0.160145	-15.828348
92	0.783463	75000	-0.159888	-15.988236
93	0.781305	75000	-0.159655	-16.147891
94	0.779151	75000	-0.159351	-16.307241
95	0.777000	75000	-0.159197	-16.466439
96	0.774853	75000	-0.158872	-16.625310
97	0.772710	75000	-0.158646	-16.783956
98	0.770570	75000	-0.158357	-16.942313
99	0.768433	75000	-0.158174	-17.100487
100	0.766301	75000	-0.157838	-17.258324
101	0.764172	75000	-0.157626	-17.415950
102	0.762046	75000	-0.157384	-17.573335
103	0.759924	75000	-0.157098	-17.730432
104	0.757805	75000	-0.156867	-17.887299
105	0.755690	75000	-0.156624	-18.043923
106	0.753579	75000	-0.156353	-18.200276
107	0.751471	75000	-0.156060	-18.356336
108	0.749366	75000	-0.155795	-18.512131
109	0.747266	75000	-0.155589	-18.667719
110	0.745168	75000	-0.155268	-18.822987
111	0.743075	75000	-0.155029	-18.978016
112	0.740984	75000	-0.154770	-19.132786
113	0.738898	75000	-0.154511	-19.287297
114	0.736815	75000	-0.154326	-19.441623
115	0.734735	75000	-0.154057	-19.595679
116	0.732659	75000	-0.153784	-19.749463
117	0.730586	75000	-0.153546	-19.903009
118	0.728517	75000	-0.153260	-20.056269
119	0.726452	75000	-0.153023	-20.209292
120	0.724390	75000	-0.152763	-20.362055
121	0.722331	75000	-0.152514	-20.514569
122	0.720276	75000	-0.152237	-20.666806
123	0.718225	75000	-0.152065	-20.818871
124	0.716177	75000	-0.151808	-20.970679
125	0.714132	75000	-0.151540	-21.122219
126	0.712091	75000	-0.151239	-21.273458
127	0.710054	75000	-0.151057	-21.424515
128	0.708020	75000	-0.150855	-21.575370
129	0.705989	75000	-0.150496	-21.725866
130	0.703962	75000	-0.150293	-21.876159
131	0.701939	75000	-0.149990	-22.026149
132	0.699919	75000	-0.149813	-22.175963
133	0.697902	75000	-0.149551	-22.325513
134	0.695889	75000	-0.149288	-22.474801
135	0.693880	75000	-0.149075	-22.623876
136	0.691874	75000	-0.148760	-22.772636
137	0.689871	75000	-0.148560	-22.921196
138	0.687872	75000	-0.148319	-23.069515
139	0.685877	75000	-0.147995	-23.217510
140	0.683885	75000	-0.147769	-23.365280
141	0.681896	75000	-0.147468	-23.512747
142	0.679911	75000	-0.147302	-23.660049
143	0.677929	75000	-0.147048	-23.807097
144	0.675951	75000	-0.146846	-23.953943
145	0.673976	75000	-0.146428	-24.100372
146	0.672005	75000	-0.146285	-24.246657
147	0.670037	75000	-0.146019	-24.392676
148	0.668073	75000	-0.145752	-24.538428
149	0.666112	75000	-0.145635	-24.684063
150	0.664155	75000	-0.145223	-24.829286
151	0.662201	75000	-0.145056	-24.974342
152	0.660250	75000	-0.144828	-25.119170
153	0.658303	75000	-0.144526	-25.263696
154	0.656359	75000	-0.144242	-25.407938
155	0.654419	75000	-0.144054	-25.551992
156	0.652483	75000	-0.143767	-25.695759
157	0.650549	75000	-0.143508	-25.839267
158	0.648619	75000	-0.143287	-25.982554
159	0.646693	75000	-0.143075	-26.125629
160	0.644770	75000	-0.142813	-26.268442
161	0.642851	75000	-0.142606	-26.411048
162	0.640934	75000	-0.142391	-26.553439
163	0.639022	75000	-0.142128	-26.695567
164	0.637113	75000	-0.141821	-26.837388
165	0.635207	75000	-0.141597	-26.978985
166	0.633304	75000	-0.141360	-27.120345
167	0.631405	75000	-0.141112	-27.261457
168	0.629510	75000	-0.140843	-27.402300
169	0.627618	75000	-0.140570	-27.542870
170	0.625729	75000	-0.140344	-27.683214
171	0.623844	75000	-0.140089	-27.823303
172	0.621962	75000	-0.139818	-27.963121
173	0.620083	75000	-0.139603	-28.102724
174	0.618208	75000	-0.139280	-28.242003
175	0.616337	75000	-0.139157	-28.381161
176	0.614468	75000	-0.138894	-28.520054
177	0.612604	75000	-0.138652	-28.658706
178	0.610742	75000	-0.138394	-28.797100
179	0.608884	75000	-0.138145	-28.935245
180	0.607029	75000	-0.137833	-29.073079
181	0.605178	75000	-0.137675	-29.210754
182	0.603330	75000	-0.137484	-29.348238
183	0.601486	75000	-0.137134	-29.485371
184	0.599645	75000	-0.136916	-29.622287
185	0.597807	75000	-0.136652	-29.758939
186	0.595973	75000	-0.136422	-29.895361
187	0.594142	75000	-0.136269	-30.031630
188	0.592314	75000	-0.136002	-30.167632
189	0.590490	75000	-0.135814	-30.303446
190	0.588669	75000	-0.135471	-30.438917
191	0.586852	75000	-0.135214	-30.574132
192	0.585038	75000	-0.135002	-30.709134
193	0.583227	75000	-0.134731	-30.843864
194	0.581420	75000	-0.134529	-30.978393
195	0.579616	75000	-0.134338	-31.112731
196	0.577815	75000	-0.134052	-31.246783
197	0.576018	75000	-0.133800	-31.380583
198	0.574224	75000	-0.133517	-31.514100
199	0.572433	75000	-0.133320	-31.647420
200	0.570646	75000	-0.133165	-31.780585
201	0.568862	75000	-0.132819	-31.913404
