Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.041000	3.533746	482	0.066390	8.315570	518	0.017375	0.041000	0.072964	
1000	0.085000	2.060219	508	0.155512	6.437058	492	0.012195	0.085000	0.076974	
1000	0.126000	1.202160	487	0.215606	3.309924	513	0.040936	0.126000	0.089228	
1000	0.118000	1.202160	496	0.195565	2.841322	504	0.041667	0.118000	0.094981	
1000	0.198000	0.718405	485	0.344330	2.184916	515	0.060194	0.198000	0.112148	
1000	0.230000	0.718405	520	0.355769	1.775154	480	0.093750	0.230000	0.128982	
1000	0.254000	0.718405	530	0.349057	0.960455	470	0.146809	0.254000	0.144607	
1000	0.295000	0.718405	482	0.346473	0.483824	518	0.247104	0.295000	0.161315	
1000	0.283000	0.718405	484	0.336777	0.483824	516	0.232558	0.283000	0.173483	
1000	0.300000	0.718405	503	0.349901	0.483824	497	0.249497	0.300000	0.184983	
1000	0.316000	0.718405	494	0.360324	0.483824	506	0.272727	0.316000	0.195900	
1000	0.279000	0.718405	470	0.317021	0.483824	530	0.245283	0.279000	0.202292	
1000	0.309000	0.718405	498	0.359438	0.483824	502	0.258964	0.309000	0.209914	
1000	0.267000	0.718405	482	0.302905	0.483824	518	0.233591	0.267000	0.213719	
1000	0.271000	0.718405	507	0.299803	0.483824	493	0.241379	0.271000	0.217299	
1000	0.311000	0.718405	481	0.351351	0.483824	519	0.273603	0.311000	0.222810	
1000	0.273000	0.718405	515	0.351456	0.483824	485	0.189691	0.273000	0.225599	
1000	0.363000	0.718405	517	0.315280	0.269498	483	0.414079	0.363000	0.232830	
1000	0.310000	0.718405	503	0.343936	0.455565	497	0.275654	0.310000	0.236688	
1000	0.331000	0.718405	510	0.345098	0.455565	490	0.316327	0.331000	0.241179	
1000	0.327000	0.718405	493	0.359026	0.455565	507	0.295858	0.327000	0.245080	
1000	0.314000	0.718405	495	0.343434	0.455565	505	0.285149	0.314000	0.248076	
1000	0.314000	0.718405	493	0.326572	0.455565	507	0.301775	0.314000	0.250823	
1000	0.323000	0.718405	526	0.370722	0.455565	474	0.270042	0.323000	0.253710	
1000	0.310000	0.718405	500	0.334000	0.455565	500	0.286000	0.310000	0.255875	
1000	0.306000	0.718405	491	0.340122	0.455565	509	0.273084	0.306000	0.257731	
1000	0.304000	0.718405	511	0.336595	0.455565	489	0.269939	0.304000	0.259384	
1000	0.285000	0.718405	496	0.328629	0.455565	504	0.242063	0.285000	0.260267	
1000	0.322000	0.718405	524	0.353053	0.455565	476	0.287815	0.322000	0.262325	
1000	0.318000	0.718405	533	0.356473	0.455565	467	0.274090	0.318000	0.264121	
1000	0.316000	0.718405	474	0.314346	0.455565	526	0.317490	0.316000	0.265742	
1000	0.323000	0.718405	512	0.369141	0.455565	488	0.274590	0.323000	0.267477	
1000	0.315000	0.718405	546	0.351648	0.455565	454	0.270925	0.315000	0.268874	
1000	0.273000	0.718405	508	0.316929	0.455565	492	0.227642	0.273000	0.268992	
1000	0.313000	0.718405	528	0.348485	0.455565	472	0.273305	0.313000	0.270215	
1000	0.317000	0.718405	481	0.372141	0.455565	519	0.265896	0.317000	0.271479	
1000	0.316000	0.718405	497	0.321932	0.455565	503	0.310139	0.316000	0.272651	
1000	0.340000	0.718405	476	0.407563	0.455565	524	0.278626	0.340000	0.274378	
1000	0.229000	1.108113	505	0.211881	0.455565	495	0.246465	0.229000	0.273243	
1000	0.265000	1.108113	490	0.236735	0.455565	510	0.292157	0.265000	0.273042	
1000	0.269000	1.108113	510	0.241176	0.455565	490	0.297959	0.269000	0.272946	
1000	0.250000	1.108113	496	0.256048	0.455565	504	0.244048	0.250000	0.272412	
1000	0.252000	1.108113	494	0.228745	0.455565	506	0.274704	0.252000	0.271948	
1000	0.227000	1.108113	490	0.224490	0.455565	510	0.229412	0.227000	0.270950	
1000	0.249000	1.108113	490	0.189796	0.455565	510	0.305882	0.249000	0.270472	
1000	0.267000	0.986666	510	0.243137	0.455565	490	0.291837	0.267000	0.270399	
1000	0.268000	0.986666	505	0.287129	0.455565	495	0.248485	0.268000	0.270349	
1000	0.287000	0.986666	505	0.295050	0.455565	495	0.278788	0.287000	0.270688	
