Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.092000	2.230399	488	0.129098	5.650440	512	0.056641	0.092000	0.224388	
1000	0.157000	1.319761	508	0.173228	3.124609	492	0.140244	0.157000	0.201933	
1000	0.194000	0.922792	516	0.263566	2.593033	484	0.119835	0.194000	0.199950	
1000	0.222000	0.922792	516	0.284884	2.410600	484	0.154959	0.222000	0.204359	
1000	0.202000	0.922792	494	0.269231	1.888904	506	0.136364	0.202000	0.203966	
1000	0.227000	0.922792	517	0.270793	1.712777	483	0.180124	0.227000	0.207256	
1000	0.269000	0.922792	506	0.318182	1.367297	494	0.218623	0.269000	0.214973	
1000	0.234000	0.922792	487	0.240246	1.367297	513	0.228070	0.234000	0.217087	
1000	0.250000	0.922792	505	0.249505	1.367297	495	0.250505	0.250000	0.220378	
1000	0.255000	0.922792	495	0.288889	1.367297	505	0.221782	0.255000	0.223525	
1000	0.269000	0.922792	501	0.293413	1.367297	499	0.244489	0.269000	0.227314	
1000	0.257000	0.922792	477	0.289308	1.367297	523	0.227533	0.257000	0.229598	
1000	0.249000	0.922792	490	0.265306	1.367297	510	0.233333	0.249000	0.230984	
1000	0.220000	0.922792	511	0.230920	1.367297	489	0.208589	0.220000	0.230251	
1000	0.245000	0.922792	522	0.260536	1.367297	478	0.228033	0.245000	0.231173	
1000	0.274000	0.922792	475	0.282105	1.367297	525	0.266667	0.274000	0.233692	
1000	0.248000	0.922792	498	0.261044	1.367297	502	0.235060	0.248000	0.234487	
1000	0.241000	0.922792	493	0.259635	1.367297	507	0.222880	0.241000	0.234830	
1000	0.247000	0.922792	482	0.286307	1.367297	518	0.210425	0.247000	0.235438	
1000	0.268000	0.922792	512	0.285156	1.367297	488	0.250000	0.268000	0.236989	
1000	0.266000	0.922792	495	0.280808	1.367297	505	0.251485	0.266000	0.238307	
1000	0.249000	0.922792	508	0.301181	1.367297	492	0.195122	0.249000	0.238772	
1000	0.340000	0.922792	525	0.306667	0.854915	475	0.376842	0.340000	0.242990	
1000	0.311000	0.922792	512	0.248047	0.854915	488	0.377049	0.311000	0.245710	
1000	0.312000	0.922792	522	0.285441	0.854915	478	0.341004	0.312000	0.248260	
1000	0.294000	0.922792	496	0.260081	0.854915	504	0.327381	0.294000	0.249954	
1000	0.327000	0.922792	474	0.274262	0.854915	526	0.374525	0.327000	0.252705	
1000	0.322000	0.922792	483	0.279503	0.854915	517	0.361702	0.322000	0.255095	
1000	0.316000	0.922792	479	0.233820	0.854915	521	0.391555	0.316000	0.257125	
1000	0.318000	0.922792	525	0.247619	0.854915	475	0.395789	0.318000	0.259088	
1000	0.336000	0.922792	487	0.305955	0.854915	513	0.364522	0.336000	0.261492	
1000	0.306000	0.922792	457	0.238512	0.854915	543	0.362799	0.306000	0.262841	
1000	0.317000	0.922792	489	0.251534	0.854915	511	0.379648	0.317000	0.264433	
1000	0.297000	0.922792	511	0.228963	0.854915	489	0.368098	0.297000	0.265364	
1000	0.330000	0.922792	536	0.272388	0.854915	464	0.396552	0.330000	0.267159	
1000	0.317000	0.922792	487	0.266940	0.854915	513	0.364522	0.317000	0.268506	
1000	0.334000	0.922792	493	0.273834	0.854915	507	0.392505	0.334000	0.270230	
1000	0.314000	0.922792	497	0.279678	0.854915	503	0.347913	0.314000	0.271352	
1000	0.348000	0.922792	499	0.292585	0.854915	501	0.403194	0.348000	0.273268	
1000	0.290000	0.922792	484	0.276860	1.077137	516	0.302326	0.290000	0.273676	
1000	0.277000	0.922792	510	0.288235	1.077137	490	0.265306	0.277000	0.273755	
1000	0.322000	0.922792	467	0.327623	1.077137	533	0.317073	0.322000	0.274877	
1000	0.287000	0.922792	539	0.261596	1.077137	461	0.316703	0.287000	0.275153	
1000	0.286000	0.922792	529	0.291115	1.077137	471	0.280255	0.286000	0.275394	
1000	0.324000	0.922792	505	0.316832	1.077137	495	0.331313	0.324000	0.276451	
1000	0.302000	0.922792	501	0.319361	1.077137	499	0.284569	0.302000	0.276994	
1000	0.299000	0.922792	474	0.274262	1.077137	526	0.321293	0.299000	0.277453	
1000	0.294000	0.922792	464	0.267241	1.077137	536	0.317164	0.294000	0.277790	
