Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.511133	-0.511133
1	0.995007	75000	-0.510426	-1.021559
2	0.992517	75000	-0.509617	-1.531176
3	0.990030	75000	-0.508818	-2.039994
4	0.987547	75000	-0.508095	-2.548089
5	0.985067	75000	-0.507363	-3.055452
6	0.982592	75000	-0.506602	-3.562055
7	0.980120	75000	-0.505829	-4.067884
8	0.977652	75000	-0.505109	-4.572993
9	0.975187	75000	-0.504288	-5.077280
10	0.972726	75000	-0.503571	-5.580851
11	0.970269	75000	-0.502769	-6.083620
12	0.967816	75000	-0.502080	-6.585700
13	0.965367	75000	-0.501258	-7.086958
14	0.962921	75000	-0.500525	-7.587483
15	0.960479	75000	-0.499807	-8.087290
16	0.958040	75000	-0.499034	-8.586324
17	0.955606	75000	-0.498227	-9.084551
18	0.953175	75000	-0.497537	-9.582088
19	0.950747	75000	-0.496823	-10.078910
20	0.948324	75000	-0.496003	-10.574914
21	0.945904	75000	-0.495269	-11.070183
22	0.943488	75000	-0.494529	-11.564712
23	0.941076	75000	-0.493752	-12.058465
24	0.938667	75000	-0.492999	-12.551463
25	0.936262	75000	-0.492279	-13.043742
26	0.933861	75000	-0.491499	-13.535241
27	0.931463	75000	-0.490758	-14.025999
28	0.929069	75000	-0.489984	-14.515983
29	0.926679	75000	-0.489227	-15.005210
30	0.924293	75000	-0.488541	-15.493751
31	0.921910	75000	-0.487781	-15.981532
32	0.919531	75000	-0.487027	-16.468559
33	0.917155	75000	-0.486256	-16.954816
34	0.914783	75000	-0.485521	-17.440337
35	0.912415	75000	-0.484728	-17.925065
36	0.910051	75000	-0.483999	-18.409064
37	0.907690	75000	-0.483320	-18.892384
38	0.905333	75000	-0.482493	-19.374878
39	0.902980	75000	-0.481860	-19.856737
40	0.900630	75000	-0.481057	-20.337794
41	0.898284	75000	-0.480307	-20.818101
42	0.895942	75000	-0.479544	-21.297645
43	0.893603	75000	-0.478858	-21.776503
44	0.891268	75000	-0.478013	-22.254516
45	0.888937	75000	-0.477313	-22.731828
46	0.886609	75000	-0.476625	-23.208454
47	0.884285	75000	-0.475810	-23.684264
48	0.881965	75000	-0.475085	-24.159349
49	0.879648	75000	-0.474348	-24.633697
50	0.877335	75000	-0.473540	-25.107236
51	0.875026	75000	-0.472917	-25.580153
52	0.872720	75000	-0.472067	-26.052220
53	0.870418	75000	-0.471308	-26.523528
54	0.868120	75000	-0.470602	-26.994130
55	0.865825	75000	-0.469907	-27.464036
56	0.863534	75000	-0.469182	-27.933219
57	0.861246	75000	-0.468446	-28.401664
58	0.858962	75000	-0.467714	-28.869378
59	0.856682	75000	-0.466945	-29.336323
60	0.854405	75000	-0.466237	-29.802560
61	0.852132	75000	-0.465467	-30.268027
62	0.849863	75000	-0.464724	-30.732751
63	0.847597	75000	-0.464061	-31.196812
64	0.845335	75000	-0.463216	-31.660028
65	0.843077	75000	-0.462460	-32.122488
66	0.840822	75000	-0.461794	-32.584282
67	0.838571	75000	-0.461065	-33.045347
68	0.836323	75000	-0.460354	-33.505702
69	0.834079	75000	-0.459591	-33.965293
70	0.831839	75000	-0.458832	-34.424124
71	0.829602	75000	-0.458117	-34.882242
72	0.827369	75000	-0.457362	-35.339603
73	0.825140	75000	-0.456685	-35.796289
74	0.822914	75000	-0.455881	-36.252170
75	0.820691	75000	-0.455191	-36.707361
76	0.818473	75000	-0.454458	-37.161819
77	0.816258	75000	-0.453727	-37.615546
78	0.814046	75000	-0.452980	-38.068526
79	0.811838	75000	-0.452159	-38.520685
80	0.809634	75000	-0.451561	-38.972246
81	0.807433	75000	-0.450830	-39.423076
82	0.805236	75000	-0.450095	-39.873171
83	0.803043	75000	-0.449357	-40.322528
