Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.091000	2.550027	514	0.079767	3.258015	486	0.102881	0.091000	0.147426	
1000	0.129000	1.955749	493	0.137931	1.957501	507	0.120316	0.129000	0.141286	
1000	0.168000	1.953222	500	0.110000	1.671139	500	0.226000	0.168000	0.147963	
1000	0.231000	1.011017	520	0.278846	1.671139	480	0.179167	0.231000	0.164567	
1000	0.246000	1.011017	492	0.308943	1.609529	508	0.185039	0.246000	0.178137	
1000	0.291000	1.011017	509	0.275049	1.051983	491	0.307536	0.291000	0.194258	
1000	0.289000	1.011017	500	0.272000	1.051983	500	0.306000	0.289000	0.206099	
1000	0.257000	1.011017	516	0.215116	1.051983	484	0.301653	0.257000	0.211754	
1000	0.282000	1.011017	514	0.256809	1.051983	486	0.308642	0.282000	0.218778	
1000	0.267000	1.011017	516	0.232558	1.051983	484	0.303719	0.267000	0.223162	
1000	0.291000	1.011017	471	0.276008	1.051983	529	0.304348	0.291000	0.228814	
1000	0.290000	1.011017	524	0.257634	1.051983	476	0.325630	0.290000	0.233520	
1000	0.305000	1.011017	510	0.262745	1.051983	490	0.348980	0.305000	0.238626	
1000	0.269000	1.011017	484	0.252066	1.051983	516	0.284884	0.269000	0.240651	
1000	0.261000	1.011017	490	0.236735	1.051983	510	0.284314	0.261000	0.241922	
1000	0.251000	1.011017	494	0.230769	1.051983	506	0.270751	0.251000	0.242456	
1000	0.261000	1.011017	487	0.252567	1.051983	513	0.269006	0.261000	0.243486	
1000	0.297000	1.011017	490	0.244898	1.051983	510	0.347059	0.297000	0.246303	
1000	0.249000	1.011017	538	0.215613	1.051983	462	0.287879	0.249000	0.246438	
1000	0.276000	1.011017	504	0.269841	1.051983	496	0.282258	0.276000	0.247845	
1000	0.270000	1.011017	474	0.240506	1.051983	526	0.296578	0.270000	0.248852	
1000	0.298000	1.011017	478	0.269874	1.051983	522	0.323755	0.298000	0.250989	
1000	0.273000	1.011017	501	0.253493	1.051983	499	0.292585	0.273000	0.251906	
1000	0.308000	1.011017	489	0.290389	1.051983	511	0.324853	0.308000	0.254150	
1000	0.278000	1.011017	504	0.267857	1.051983	496	0.288306	0.278000	0.255067	
