Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.511504	-0.511504
1	0.995007	75000	-0.510714	-1.022218
2	0.992517	75000	-0.509953	-1.532171
3	0.990030	75000	-0.509163	-2.041334
4	0.987547	75000	-0.508448	-2.549782
5	0.985067	75000	-0.507730	-3.057512
6	0.982592	75000	-0.506955	-3.564467
7	0.980120	75000	-0.506233	-4.070700
8	0.977652	75000	-0.505419	-4.576119
9	0.975187	75000	-0.504646	-5.080764
10	0.972726	75000	-0.503838	-5.584603
11	0.970269	75000	-0.503084	-6.087686
12	0.967816	75000	-0.502288	-6.589974
13	0.965367	75000	-0.501629	-7.091604
14	0.962921	75000	-0.500820	-7.592423
15	0.960479	75000	-0.500135	-8.092558
16	0.958040	75000	-0.499350	-8.591908
17	0.955606	75000	-0.498583	-9.090491
18	0.953175	75000	-0.497814	-9.588305
19	0.950747	75000	-0.497038	-10.085343
20	0.948324	75000	-0.496308	-10.581652
21	0.945904	75000	-0.495607	-11.077259
22	0.943488	75000	-0.494837	-11.572095
23	0.941076	75000	-0.493984	-12.066080
24	0.938667	75000	-0.493302	-12.559382
25	0.936262	75000	-0.492593	-13.051975
26	0.933861	75000	-0.491816	-13.543790
27	0.931463	75000	-0.491063	-14.034854
28	0.929069	75000	-0.490308	-14.525161
29	0.926679	75000	-0.489570	-15.014731
30	0.924293	75000	-0.488780	-15.503511
31	0.921910	75000	-0.488096	-15.991607
32	0.919531	75000	-0.487306	-16.478913
33	0.917155	75000	-0.486529	-16.965442
34	0.914783	75000	-0.485787	-17.451230
35	0.912415	75000	-0.485011	-17.936241
36	0.910051	75000	-0.484409	-18.420650
37	0.907690	75000	-0.483564	-18.904214
38	0.905333	75000	-0.482805	-19.387019
39	0.902980	75000	-0.482081	-19.869100
40	0.900630	75000	-0.481382	-20.350482
41	0.898284	75000	-0.480578	-20.831060
42	0.895942	75000	-0.479882	-21.310942
43	0.893603	75000	-0.479107	-21.790049
44	0.891268	75000	-0.478355	-22.268404
45	0.888937	75000	-0.477620	-22.746025
46	0.886609	75000	-0.476857	-23.222881
47	0.884285	75000	-0.476089	-23.698970
48	0.881965	75000	-0.475299	-24.174270
49	0.879648	75000	-0.474689	-24.648959
50	0.877335	75000	-0.473899	-25.122857
51	0.875026	75000	-0.473165	-25.596022
52	0.872720	75000	-0.472406	-26.068428
53	0.870418	75000	-0.471694	-26.540122
54	0.868120	75000	-0.470974	-27.011096
55	0.865825	75000	-0.470159	-27.481255
56	0.863534	75000	-0.469454	-27.950708
57	0.861246	75000	-0.468798	-28.419507
58	0.858962	75000	-0.468026	-28.887533
59	0.856682	75000	-0.467248	-29.354781
60	0.854405	75000	-0.466502	-29.821283
61	0.852132	75000	-0.465740	-30.287023
62	0.849863	75000	-0.464971	-30.751993
63	0.847597	75000	-0.464225	-31.216219
64	0.845335	75000	-0.463577	-31.679796
65	0.843077	75000	-0.462810	-32.142605
66	0.840822	75000	-0.462139	-32.604744
67	0.838571	75000	-0.461359	-33.066104
68	0.836323	75000	-0.460566	-33.526669
69	0.834079	75000	-0.459896	-33.986565
70	0.831839	75000	-0.459152	-34.445718
71	0.829602	75000	-0.458394	-34.904112
72	0.827369	75000	-0.457639	-35.361751
73	0.825140	75000	-0.456942	-35.818692
74	0.822914	75000	-0.456195	-36.274887
75	0.820691	75000	-0.455482	-36.730369
76	0.818473	75000	-0.454776	-37.185145
77	0.816258	75000	-0.454048	-37.639194
78	0.814046	75000	-0.453343	-38.092537
79	0.811838	75000	-0.452545	-38.545081
80	0.809634	75000	-0.451804	-38.996885
81	0.807433	75000	-0.451135	-39.448020
82	0.805236	75000	-0.450363	-39.898383
83	0.803043	75000	-0.449648	-40.348031
84	0.800853	75000	-0.448843	-40.796874
85	0.798667	75000	-0.448150	-41.245024
86	0.796484	75000	-0.447454	-41.692478
87	0.794305	75000	-0.446767	-42.139245
88	0.792129	75000	-0.446005	-42.585250
89	0.789957	75000	-0.445343	-43.030593
90	0.787789	75000	-0.444542	-43.475135
91	0.785624	75000	-0.443822	-43.918957
92	0.783463	75000	-0.443079	-44.362037
93	0.781305	75000	-0.442387	-44.804424
94	0.779151	75000	-0.441622	-45.246045
95	0.777000	75000	-0.440915	-45.686960
96	0.774853	75000	-0.440151	-46.127111
97	0.772710	75000	-0.439441	-46.566552
98	0.770570	75000	-0.438765	-47.005317
99	0.768433	75000	-0.438070	-47.443388
100	0.766301	75000	-0.437376	-47.880763
101	0.764172	75000	-0.436585	-48.317348
102	0.762046	75000	-0.435940	-48.753288
103	0.759924	75000	-0.435181	-49.188470
104	0.757805	75000	-0.434475	-49.622945
105	0.755690	75000	-0.433777	-50.056721
106	0.753579	75000	-0.432999	-50.489721
107	0.751471	75000	-0.432344	-50.922065
108	0.749366	75000	-0.431550	-51.353615
109	0.747266	75000	-0.430803	-51.784418
110	0.745168	75000	-0.430135	-52.214553
111	0.743075	75000	-0.429349	-52.643902
112	0.740984	75000	-0.428680	-53.072582
113	0.738898	75000	-0.427963	-53.500544
114	0.736815	75000	-0.427214	-53.927759
115	0.734735	75000	-0.426502	-54.354261
116	0.732659	75000	-0.425830	-54.780091
117	0.730586	75000	-0.425202	-55.205293
118	0.728517	75000	-0.424433	-55.629726
119	0.726452	75000	-0.423734	-56.053459
120	0.724390	75000	-0.422992	-56.476451
121	0.722331	75000	-0.422231	-56.898682
122	0.720276	75000	-0.421511	-57.320192
123	0.718225	75000	-0.420856	-57.741048
124	0.716177	75000	-0.420088	-58.161136
125	0.714132	75000	-0.419437	-58.580573
126	0.712091	75000	-0.418677	-58.999250
127	0.710054	75000	-0.417958	-59.417209
128	0.708020	75000	-0.417231	-59.834440
129	0.705989	75000	-0.416686	-60.251125
130	0.703962	75000	-0.415902	-60.667027
131	0.701939	75000	-0.415163	-61.082190
132	0.699919	75000	-0.414420	-61.496610
133	0.697902	75000	-0.413765	-61.910375
134	0.695889	75000	-0.413024	-62.323399
135	0.693880	75000	-0.412366	-62.735765
136	0.691874	75000	-0.411631	-63.147396
137	0.689871	75000	-0.410967	-63.558363
138	0.687872	75000	-0.410297	-63.968660
139	0.685877	75000	-0.409438	-64.378098
140	0.683885	75000	-0.408797	-64.786894
141	0.681896	75000	-0.408056	-65.194950
142	0.679911	75000	-0.407402	-65.602352
143	0.677929	75000	-0.406722	-66.009074
144	0.675951	75000	-0.405943	-66.415016
145	0.673976	75000	-0.405244	-66.820260
146	0.672005	75000	-0.404536	-67.224796
147	0.670037	75000	-0.403864	-67.628660
148	0.668073	75000	-0.403116	-68.031777
149	0.666112	75000	-0.402492	-68.434269
150	0.664155	75000	-0.401780	-68.836048
151	0.662201	75000	-0.401043	-69.237091
152	0.660250	75000	-0.400387	-69.637479
153	0.658303	75000	-0.399659	-70.037138
154	0.656359	75000	-0.398994	-70.436132
155	0.654419	75000	-0.398273	-70.834405
156	0.652483	75000	-0.397524	-71.231929
157	0.650549	75000	-0.396879	-71.628808
158	0.648619	75000	-0.396117	-72.024926
159	0.646693	75000	-0.395536	-72.420461
160	0.644770	75000	-0.394896	-72.815358
161	0.642851	75000	-0.394121	-73.209479
162	0.640934	75000	-0.393376	-73.602855
163	0.639022	75000	-0.392704	-73.995558
164	0.637113	75000	-0.392009	-74.387567
165	0.635207	75000	-0.391350	-74.778917
166	0.633304	75000	-0.390646	-75.169563
167	0.631405	75000	-0.389939	-75.559502
168	0.629510	75000	-0.389209	-75.948711
169	0.627618	75000	-0.388492	-76.337203
170	0.625729	75000	-0.387807	-76.725011
171	0.623844	75000	-0.387183	-77.112194
172	0.621962	75000	-0.386425	-77.498619
173	0.620083	75000	-0.385786	-77.884405
174	0.618208	75000	-0.385073	-78.269478
175	0.616337	75000	-0.384287	-78.653765
176	0.614468	75000	-0.383691	-79.037456
177	0.612604	75000	-0.383010	-79.420467
178	0.610742	75000	-0.382271	-79.802738
179	0.608884	75000	-0.381622	-80.184360
180	0.607029	75000	-0.380928	-80.565288
181	0.605178	75000	-0.380267	-80.945555
182	0.603330	75000	-0.379591	-81.325146
183	0.601486	75000	-0.378864	-81.704010
184	0.599645	75000	-0.378125	-82.082135
185	0.597807	75000	-0.377515	-82.459650
186	0.595973	75000	-0.376845	-82.836495
187	0.594142	75000	-0.376213	-83.212708
188	0.592314	75000	-0.375415	-83.588124
189	0.590490	75000	-0.374742	-83.962866
190	0.588669	75000	-0.374091	-84.336957
191	0.586852	75000	-0.373397	-84.710354
192	0.585038	75000	-0.372687	-85.083041
193	0.583227	75000	-0.372029	-85.455069
194	0.581420	75000	-0.371291	-85.826361
195	0.579616	75000	-0.370684	-86.197044
196	0.577815	75000	-0.369942	-86.566987
197	0.576018	75000	-0.369280	-86.936267
198	0.574224	75000	-0.368598	-87.304866
199	0.572433	75000	-0.367940	-87.672806
200	0.570646	75000	-0.367292	-88.040097
201	0.568862	75000	-0.366556	-88.406654
202	0.567082	75000	-0.365897	-88.772550
203	0.565305	75000	-0.365276	-89.137826
204	0.563531	75000	-0.364568	-89.502395
205	0.561761	75000	-0.364040	-89.866435
206	0.559993	75000	-0.363209	-90.229644
207	0.558230	75000	-0.362504	-90.592149
208	0.556469	75000	-0.361861	-90.954010
209	0.554712	75000	-0.361142	-91.315151
210	0.552958	75000	-0.360603	-91.675755
211	0.551208	75000	-0.359800	-92.035555
212	0.549461	75000	-0.359146	-92.394701
213	0.547717	75000	-0.358522	-92.753223
214	0.545977	75000	-0.357921	-93.111144
215	0.544240	75000	-0.357071	-93.468215
216	0.542506	75000	-0.356474	-93.824689
217	0.540775	75000	-0.355764	-94.180452
218	0.539048	75000	-0.355118	-94.535570
219	0.537324	75000	-0.354445	-94.890015
220	0.535604	75000	-0.353759	-95.243774
221	0.533887	75000	-0.353087	-95.596861
222	0.532173	75000	-0.352464	-95.949326
223	0.530462	75000	-0.351722	-96.301048
224	0.528755	75000	-0.351121	-96.652169
225	0.527051	75000	-0.350450	-97.002619
226	0.525350	75000	-0.349768	-97.352387
227	0.523653	75000	-0.349102	-97.701489
228	0.521958	75000	-0.348487	-98.049976
229	0.520268	75000	-0.347776	-98.397752
230	0.518580	75000	-0.347073	-98.744825
231	0.516896	75000	-0.346414	-99.091239
232	0.515215	75000	-0.345716	-99.436955
233	0.513537	75000	-0.345123	-99.782078
234	0.511863	75000	-0.344395	-100.126474
235	0.510192	75000	-0.343835	-100.470308
236	0.508524	75000	-0.343117	-100.813425
237	0.506859	75000	-0.342436	-101.155861
238	0.505198	75000	-0.341763	-101.497624
239	0.503540	75000	-0.341123	-101.838746
240	0.501885	75000	-0.340493	-102.179239
241	0.500234	75000	-0.339741	-102.518980
242	0.498586	75000	-0.339222	-102.858202
243	0.496941	75000	-0.338497	-103.196699
244	0.495299	75000	-0.337771	-103.534470
245	0.493660	75000	-0.337210	-103.871680
246	0.492025	75000	-0.336500	-104.208180
247	0.490393	75000	-0.335911	-104.544091
248	0.488765	75000	-0.335299	-104.879390
249	0.487139	75000	-0.334585	-105.213975
250	0.485517	75000	-0.333892	-105.547867
251	0.483898	75000	-0.333121	-105.880988
252	0.482283	75000	-0.332673	-106.213661
253	0.480670	75000	-0.331883	-106.545544
254	0.479061	75000	-0.331241	-106.876785
255	0.477455	75000	-0.330635	-107.207420
256	0.475852	75000	-0.329920	-107.537340
257	0.474253	75000	-0.329317	-107.866657
258	0.472656	75000	-0.328657	-108.195314
259	0.471063	75000	-0.328021	-108.523335
260	0.469474	75000	-0.327371	-108.850706
261	0.467887	75000	-0.326695	-109.177401
262	0.466304	75000	-0.325931	-109.503332
263	0.464723	75000	-0.325446	-109.828778
264	0.463146	75000	-0.324652	-110.153431
265	0.461573	75000	-0.324020	-110.477451
266	0.460002	75000	-0.323426	-110.800876
267	0.458435	75000	-0.322786	-111.123662
268	0.456871	75000	-0.322183	-111.445845
269	0.455310	75000	-0.321426	-111.767271
270	0.453752	75000	-0.320844	-112.088115
271	0.452198	75000	-0.320218	-112.408333
272	0.450647	75000	-0.319536	-112.727869
273	0.449098	75000	-0.318880	-113.046749
274	0.447554	75000	-0.318254	-113.365003
275	0.446012	75000	-0.317606	-113.682609
276	0.444473	75000	-0.316912	-113.999521
277	0.442938	75000	-0.316392	-114.315912
278	0.441406	75000	-0.315596	-114.631509
279	0.439877	75000	-0.314999	-114.946508
280	0.438351	75000	-0.314331	-115.260839
281	0.436829	75000	-0.313707	-115.574546
282	0.435309	75000	-0.313187	-115.887734
283	0.433793	75000	-0.312439	-116.200172
284	0.432280	75000	-0.311734	-116.511907
285	0.430770	75000	-0.311103	-116.823009
286	0.429263	75000	-0.310473	-117.133482
287	0.427760	75000	-0.309890	-117.443373
288	0.426259	75000	-0.309240	-117.752613
289	0.424762	75000	-0.308624	-118.061237
290	0.423268	75000	-0.307998	-118.369235
291	0.421777	75000	-0.307421	-118.676655
292	0.420289	75000	-0.306659	-118.983315
293	0.418805	75000	-0.305978	-119.289293
294	0.417323	75000	-0.305314	-119.594606
295	0.415845	75000	-0.304807	-119.899414
296	0.414370	75000	-0.304139	-120.203553
297	0.412898	75000	-0.303570	-120.507123
298	0.411429	75000	-0.302849	-120.809972
299	0.409963	75000	-0.302197	-121.112169
300	0.408501	75000	-0.301638	-121.413807
301	0.407041	75000	-0.300928	-121.714735
302	0.405585	75000	-0.300376	-122.015111
303	0.404132	75000	-0.299684	-122.314795
304	0.402682	75000	-0.299057	-122.613851
305	0.401235	75000	-0.298487	-122.912338
306	0.399791	75000	-0.297824	-123.210162
307	0.398350	75000	-0.297175	-123.507337
308	0.396913	75000	-0.296625	-123.803962
309	0.395478	75000	-0.295883	-124.099844
310	0.394047	75000	-0.295280	-124.395124
311	0.392619	75000	-0.294696	-124.689820
312	0.391194	75000	-0.293984	-124.983804
313	0.389772	75000	-0.293466	-125.277269
314	0.388353	75000	-0.292752	-125.570022
315	0.386937	75000	-0.292185	-125.862207
316	0.385524	75000	-0.291594	-126.153801
317	0.384115	75000	-0.290855	-126.444656
318	0.382708	75000	-0.290340	-126.734996
319	0.381305	75000	-0.289584	-127.024580
320	0.379904	75000	-0.289042	-127.313622
321	0.378507	75000	-0.288498	-127.602121
322	0.377113	75000	-0.287767	-127.889887
323	0.375722	75000	-0.287176	-128.177064
324	0.374334	75000	-0.286523	-128.463586
325	0.372949	75000	-0.285877	-128.749464
326	0.371567	75000	-0.285261	-129.034725
327	0.370189	75000	-0.284690	-129.319414
328	0.368813	75000	-0.284123	-129.603537
329	0.367440	75000	-0.283429	-129.886966
330	0.366071	75000	-0.282810	-130.169776
331	0.364705	75000	-0.282197	-130.451974
332	0.363341	75000	-0.281616	-130.733590
333	0.361981	75000	-0.280974	-131.014564
334	0.360624	75000	-0.280241	-131.294805
335	0.359269	75000	-0.279682	-131.574487
336	0.357918	75000	-0.279176	-131.853663
337	0.356570	75000	-0.278555	-132.132218
338	0.355225	75000	-0.277894	-132.410112
339	0.353883	75000	-0.277178	-132.687290
340	0.352544	75000	-0.276605	-132.963895
341	0.351208	75000	-0.276002	-133.239897
342	0.349875	75000	-0.275412	-133.515309
343	0.348546	75000	-0.274800	-133.790109
344	0.347219	75000	-0.274231	-134.064340
345	0.345895	75000	-0.273558	-134.337898
346	0.344574	75000	-0.272967	-134.610866
347	0.343257	75000	-0.272422	-134.883288
348	0.341942	75000	-0.271786	-135.155074
349	0.340630	75000	-0.271169	-135.426243
350	0.339322	75000	-0.270512	-135.696754
351	0.338016	75000	-0.269826	-135.966580
352	0.336714	75000	-0.269301	-136.235881
353	0.335414	75000	-0.268692	-136.504573
354	0.334118	75000	-0.268027	-136.772600
355	0.332824	75000	-0.267437	-137.040037
356	0.331534	75000	-0.266965	-137.307002
357	0.330246	75000	-0.266274	-137.573276
358	0.328962	75000	-0.265716	-137.838992
359	0.327680	75000	-0.265040	-138.104032
360	0.326401	75000	-0.264431	-138.368463
361	0.325126	75000	-0.263864	-138.632327
362	0.323853	75000	-0.263338	-138.895666
363	0.322584	75000	-0.262653	-139.158319
364	0.321317	75000	-0.261937	-139.420256
365	0.320054	75000	-0.261406	-139.681662
366	0.318793	75000	-0.260831	-139.942493
367	0.317536	75000	-0.260173	-140.202666
368	0.316281	75000	-0.259643	-140.462309
369	0.315030	75000	-0.259051	-140.721359
370	0.313781	75000	-0.258457	-140.979817
371	0.312535	75000	-0.257900	-141.237716
372	0.311293	75000	-0.257299	-141.495015
373	0.310053	75000	-0.256648	-141.751663
374	0.308816	75000	-0.255984	-142.007647
375	0.307582	75000	-0.255499	-142.263146
376	0.306352	75000	-0.254816	-142.517961
377	0.305124	75000	-0.254264	-142.772226
378	0.303899	75000	-0.253670	-143.025895
379	0.302677	75000	-0.253047	-143.278942
380	0.301458	75000	-0.252512	-143.531454
381	0.300242	75000	-0.251925	-143.783379
382	0.299029	75000	-0.251279	-144.034658
383	0.297819	75000	-0.250580	-144.285237
384	0.296611	75000	-0.250152	-144.535389
385	0.295407	75000	-0.249543	-144.784932
386	0.294206	75000	-0.248968	-145.033900
387	0.293007	75000	-0.248300	-145.282200
388	0.291812	75000	-0.247760	-145.529960
389	0.290619	75000	-0.247321	-145.777281
390	0.289430	75000	-0.246596	-146.023877
391	0.288243	75000	-0.245917	-146.269795
392	0.287059	75000	-0.245399	-146.515194
393	0.285879	75000	-0.244828	-146.760022
394	0.284701	75000	-0.244055	-147.004077
395	0.283526	75000	-0.243651	-147.247727
396	0.282354	75000	-0.243027	-147.490755
397	0.281184	75000	-0.242465	-147.733220
398	0.280018	75000	-0.241901	-147.975120
399	0.278855	75000	-0.241265	-148.216385
400	0.277694	75000	-0.240656	-148.457041
401	0.276537	75000	-0.240103	-148.697145
402	0.275382	75000	-0.239517	-148.936662
403	0.274230	75000	-0.238981	-149.175643
404	0.273082	75000	-0.238328	-149.413972
405	0.271936	75000	-0.237764	-149.651736
406	0.270793	75000	-0.237154	-149.888890
407	0.269652	75000	-0.236585	-150.125474
408	0.268515	75000	-0.236019	-150.361494
409	0.267381	75000	-0.235430	-150.596924
410	0.266249	75000	-0.234937	-150.831860
411	0.265121	75000	-0.234402	-151.066262
412	0.263995	75000	-0.233734	-151.299996
413	0.262872	75000	-0.233103	-151.533099
414	0.261752	75000	-0.232559	-151.765658
415	0.260635	75000	-0.232028	-151.997686
416	0.259520	75000	-0.231396	-152.229082
417	0.258409	75000	-0.230914	-152.459996
418	0.257300	75000	-0.230328	-152.690324
419	0.256195	75000	-0.229688	-152.920012
420	0.255092	75000	-0.229019	-153.149030
421	0.253992	75000	-0.228403	-153.377434
422	0.252895	75000	-0.227918	-153.605352
423	0.251800	75000	-0.227449	-153.832801
424	0.250709	75000	-0.226859	-154.059660
425	0.249620	75000	-0.226280	-154.285941
426	0.248534	75000	-0.225777	-154.511718
427	0.247451	75000	-0.225034	-154.736752
428	0.246371	75000	-0.224540	-154.961292
429	0.245294	75000	-0.224031	-155.185323
430	0.244220	75000	-0.223544	-155.408867
