Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.795000	0.960799	497	0.734406	4.230225	503	0.854871	0.795000	0.835082	
1000	0.385000	1.366398	502	0.414343	5.297873	498	0.355422	0.385000	0.685105	
1000	0.091000	1.672193	493	0.164300	5.297873	507	0.019724	0.091000	0.536616	
1000	0.095000	1.570979	498	0.160643	4.049356	502	0.029880	0.095000	0.448310	
1000	0.130000	1.108510	511	0.213307	3.871886	489	0.042945	0.130000	0.395267	
1000	0.159000	1.108510	550	0.236364	2.791450	450	0.064444	0.159000	0.361520	
1000	0.156000	1.108510	524	0.227099	2.295800	476	0.077731	0.156000	0.335833	
1000	0.161000	1.108510	506	0.231225	2.028966	494	0.089069	0.161000	0.316409	
1000	0.130000	1.108510	529	0.194707	1.865878	471	0.057325	0.130000	0.297770	
1000	0.168000	1.103727	502	0.215139	1.349576	498	0.120482	0.168000	0.285974	
1000	0.190000	1.103727	504	0.236111	1.336444	496	0.143145	0.190000	0.277977	
1000	0.192000	1.103727	475	0.202105	0.874404	525	0.182857	0.192000	0.271364	
1000	0.246000	1.103727	468	0.228632	0.645799	532	0.261278	0.246000	0.269552	
1000	0.240000	1.103727	519	0.240848	0.645799	481	0.239085	0.240000	0.267582	
1000	0.247000	1.103727	510	0.233333	0.645799	490	0.261224	0.247000	0.266296	
1000	0.238000	1.103727	484	0.260331	0.645799	516	0.217054	0.238000	0.264631	
1000	0.221000	1.103727	533	0.221388	0.645799	467	0.220557	0.221000	0.262208	
1000	0.225000	1.103727	499	0.228457	0.645799	501	0.221557	0.225000	0.260249	
1000	0.238000	1.103727	525	0.217143	0.645799	475	0.261053	0.238000	0.259137	
1000	0.255000	1.103727	508	0.248031	0.645799	492	0.262195	0.255000	0.258940	
1000	0.202000	1.103727	521	0.209213	0.645799	479	0.194154	0.202000	0.256352	
1000	0.307000	1.103727	501	0.225549	0.393198	499	0.388778	0.307000	0.258554	
1000	0.292000	1.103727	501	0.219561	0.393198	499	0.364729	0.292000	0.259948	
1000	0.308000	1.103727	494	0.220648	0.393198	506	0.393281	0.308000	0.261870	
1000	0.327000	1.103727	504	0.251984	0.393198	496	0.403226	0.327000	0.264374	
1000	0.270000	1.103727	496	0.258065	0.554802	504	0.281746	0.270000	0.264583	
1000	0.256000	1.103727	499	0.234469	0.554802	501	0.277445	0.256000	0.264276	
1000	0.260000	1.103727	499	0.234469	0.554802	501	0.285429	0.260000	0.264129	
1000	0.241000	1.103727	471	0.220807	0.554802	529	0.258979	0.241000	0.263358	
1000	0.245000	1.103727	526	0.203422	0.554802	474	0.291139	0.245000	0.262766	
1000	0.275000	1.103727	491	0.232179	0.554802	509	0.316306	0.275000	0.263148	
1000	0.247000	1.103727	504	0.240079	0.554802	496	0.254032	0.247000	0.262659	
1000	0.275000	1.103727	514	0.227626	0.554802	486	0.325103	0.275000	0.263022	
1000	0.268000	1.103727	512	0.220703	0.554802	488	0.317623	0.268000	0.263164	
1000	0.235000	1.103727	535	0.239252	0.554802	465	0.230108	0.235000	0.262382	
1000	0.238000	1.103727	489	0.231084	0.554802	511	0.244618	0.238000	0.261723	
1000	0.247000	1.103727	491	0.224033	0.554802	509	0.269155	0.247000	0.261335	
1000	0.264000	1.103727	500	0.256000	0.554802	500	0.272000	0.264000	0.261404	
1000	0.267000	1.103727	483	0.252588	0.554802	517	0.280464	0.267000	0.261543	
1000	0.242000	1.103727	521	0.220729	0.554802	479	0.265136	0.242000	0.261067	
1000	0.279000	1.103727	509	0.237721	0.554802	491	0.321792	0.279000	0.261494	
1000	0.278000	1.103727	489	0.249489	0.554802	511	0.305284	0.278000	0.261878	
1000	0.259000	1.103727	510	0.229412	0.554802	490	0.289796	0.259000	0.261812	
1000	0.279000	1.103727	527	0.246679	0.554802	473	0.315011	0.279000	0.262194	
1000	0.265000	1.103727	479	0.229645	0.554802	521	0.297505	0.265000	0.262255	
1000	0.267000	1.103727	498	0.222892	0.554802	502	0.310757	0.267000	0.262356	
1000	0.252000	1.103727	513	0.243665	0.554802	487	0.260780	0.252000	0.262140	
1000	0.278000	1.103727	534	0.271536	0.554802	466	0.285408	0.278000	0.262464	
1000	0.267000	1.103727	502	0.249004	0.554802	498	0.285141	0.267000	0.262555	
1000	0.258000	1.103727	496	0.225806	0.554802	504	0.289683	0.258000	0.262465	
1000	0.252000	1.103727	491	0.246436	0.554802	509	0.257367	0.252000	0.262264	
1000	0.256000	1.103727	462	0.225108	0.554802	538	0.282528	0.256000	0.262146	
1000	0.243000	1.103727	508	0.198819	0.554802	492	0.288618	0.243000	0.261791	
1000	0.272000	0.985167	510	0.274510	0.554802	490	0.269388	0.272000	0.261977	
1000	0.258000	0.985167	474	0.234177	0.554802	526	0.279468	0.258000	0.261906	
1000	0.258000	0.985167	532	0.257519	0.554802	468	0.258547	0.258000	0.261838	
1000	0.288000	0.985167	508	0.303150	0.554802	492	0.272358	0.288000	0.262289	
1000	0.284000	0.985167	502	0.288845	0.554802	498	0.279116	0.284000	0.262657	
1000	0.250000	0.985167	503	0.234592	0.554802	497	0.265594	0.250000	0.262446	
1000	0.258000	0.985167	484	0.241736	0.554802	516	0.273256	0.258000	0.262373	
1000	0.289000	0.985167	517	0.268859	0.554802	483	0.310559	0.289000	0.262802	
1000	0.255000	0.985167	482	0.257261	0.554802	518	0.252896	0.255000	0.262678	
1000	0.268000	0.985167	540	0.279630	0.554802	460	0.254348	0.268000	0.262762	
1000	0.280000	0.985167	488	0.268443	0.554802	512	0.291016	0.280000	0.263027	
1000	0.270000	0.985167	494	0.277328	0.554802	506	0.262846	0.270000	0.263132	
1000	0.280000	0.985167	469	0.275053	0.554802	531	0.284369	0.280000	0.263384	
1000	0.288000	0.985167	493	0.290061	0.554802	507	0.285996	0.288000	0.263746	
1000	0.261000	0.985167	508	0.238189	0.554802	492	0.284553	0.261000	0.263706	
1000	0.282000	0.985167	511	0.279843	0.554802	489	0.284254	0.282000	0.263968	
1000	0.262000	0.985167	501	0.271457	0.554802	499	0.252505	0.262000	0.263940	
1000	0.265000	0.985167	487	0.227926	0.554802	513	0.300195	0.265000	0.263955	
1000	0.271000	0.985167	505	0.257426	0.554802	495	0.284848	0.271000	0.264051	
1000	0.269000	0.985167	491	0.283096	0.554802	509	0.255403	0.269000	0.264118	
