Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.070632	-0.070632
1	0.995007	75000	-0.070510	-0.141142
2	0.992517	75000	-0.070387	-0.211529
3	0.990030	75000	-0.070267	-0.281796
4	0.987547	75000	-0.070249	-0.352045
5	0.985067	75000	-0.070033	-0.422078
6	0.982592	75000	-0.069975	-0.492053
7	0.980120	75000	-0.069914	-0.561966
8	0.977652	75000	-0.069829	-0.631796
9	0.975187	75000	-0.069667	-0.701463
10	0.972726	75000	-0.069614	-0.771076
11	0.970269	75000	-0.069598	-0.840675
12	0.967816	75000	-0.069382	-0.910056
13	0.965367	75000	-0.069283	-0.979339
14	0.962921	75000	-0.069206	-1.048546
15	0.960479	75000	-0.069112	-1.117658
16	0.958040	75000	-0.069005	-1.186663
17	0.955606	75000	-0.068839	-1.255502
18	0.953175	75000	-0.068869	-1.324371
19	0.950747	75000	-0.068695	-1.393066
20	0.948324	75000	-0.068611	-1.461677
21	0.945904	75000	-0.068500	-1.530176
22	0.943488	75000	-0.068479	-1.598656
23	0.941076	75000	-0.068317	-1.666973
24	0.938667	75000	-0.068175	-1.735148
25	0.936262	75000	-0.068110	-1.803259
26	0.933861	75000	-0.067999	-1.871258
27	0.931463	75000	-0.067915	-1.939173
28	0.929069	75000	-0.067841	-2.007013
29	0.926679	75000	-0.067676	-2.074689
30	0.924293	75000	-0.067612	-2.142301
31	0.921910	75000	-0.067514	-2.209814
32	0.919531	75000	-0.067424	-2.277238
33	0.917155	75000	-0.067371	-2.344609
34	0.914783	75000	-0.067298	-2.411907
35	0.912415	75000	-0.067160	-2.479067
36	0.910051	75000	-0.067067	-2.546134
37	0.907690	75000	-0.066979	-2.613113
38	0.905333	75000	-0.066796	-2.679910
39	0.902980	75000	-0.066741	-2.746651
40	0.900630	75000	-0.066652	-2.813303
41	0.898284	75000	-0.066574	-2.879877
42	0.895942	75000	-0.066505	-2.946382
43	0.893603	75000	-0.066355	-3.012737
44	0.891268	75000	-0.066282	-3.079019
45	0.888937	75000	-0.066138	-3.145157
46	0.886609	75000	-0.066063	-3.211220
47	0.884285	75000	-0.065999	-3.277219
48	0.881965	75000	-0.065867	-3.343086
49	0.879648	75000	-0.065832	-3.408918
50	0.877335	75000	-0.065670	-3.474589
51	0.875026	75000	-0.065532	-3.540121
52	0.872720	75000	-0.065496	-3.605616
53	0.870418	75000	-0.065375	-3.670991
54	0.868120	75000	-0.065327	-3.736318
55	0.865825	75000	-0.065201	-3.801518
56	0.863534	75000	-0.065106	-3.866624
57	0.861246	75000	-0.065102	-3.931726
58	0.858962	75000	-0.064931	-3.996657
59	0.856682	75000	-0.064807	-4.061464
60	0.854405	75000	-0.064717	-4.126181
61	0.852132	75000	-0.064694	-4.190875
62	0.849863	75000	-0.064483	-4.255359
63	0.847597	75000	-0.064440	-4.319798
64	0.845335	75000	-0.064338	-4.384136
65	0.843077	75000	-0.064268	-4.448404
66	0.840822	75000	-0.064150	-4.512554
67	0.838571	75000	-0.064044	-4.576598
68	0.836323	75000	-0.063993	-4.640592
69	0.834079	75000	-0.063807	-4.704399
70	0.831839	75000	-0.063812	-4.768210
71	0.829602	75000	-0.063662	-4.831872
72	0.827369	75000	-0.063534	-4.895406
73	0.825140	75000	-0.063441	-4.958846
74	0.822914	75000	-0.063415	-5.022261
75	0.820691	75000	-0.063283	-5.085544
76	0.818473	75000	-0.063138	-5.148682
77	0.816258	75000	-0.063116	-5.211797
78	0.814046	75000	-0.063059	-5.274856
79	0.811838	75000	-0.062887	-5.337744
80	0.809634	75000	-0.062870	-5.400614
81	0.807433	75000	-0.062683	-5.463297
82	0.805236	75000	-0.062610	-5.525907
83	0.803043	75000	-0.062493	-5.588400
84	0.800853	75000	-0.062411	-5.650810
85	0.798667	75000	-0.062336	-5.713147
86	0.796484	75000	-0.062217	-5.775364
87	0.794305	75000	-0.062107	-5.837471
88	0.792129	75000	-0.062030	-5.899501
89	0.789957	75000	-0.061955	-5.961456
90	0.787789	75000	-0.061865	-6.023320
91	0.785624	75000	-0.061743	-6.085063
92	0.783463	75000	-0.061645	-6.146709
93	0.781305	75000	-0.061642	-6.208350
94	0.779151	75000	-0.061522	-6.269872
95	0.777000	75000	-0.061394	-6.331266
96	0.774853	75000	-0.061307	-6.392573
97	0.772710	75000	-0.061254	-6.453827
98	0.770570	75000	-0.061118	-6.514945
99	0.768433	75000	-0.060964	-6.575909
100	0.766301	75000	-0.060942	-6.636850
101	0.764172	75000	-0.060862	-6.697713
102	0.762046	75000	-0.060692	-6.758405
103	0.759924	75000	-0.060686	-6.819091
104	0.757805	75000	-0.060569	-6.879660
105	0.755690	75000	-0.060431	-6.940091
106	0.753579	75000	-0.060311	-7.000402
107	0.751471	75000	-0.060206	-7.060608
108	0.749366	75000	-0.060170	-7.120778
109	0.747266	75000	-0.060028	-7.180806
110	0.745168	75000	-0.059980	-7.240786
111	0.743075	75000	-0.059944	-7.300730
112	0.740984	75000	-0.059797	-7.360527
113	0.738898	75000	-0.059713	-7.420240
114	0.736815	75000	-0.059632	-7.479871
115	0.734735	75000	-0.059522	-7.539393
116	0.732659	75000	-0.059490	-7.598883
117	0.730586	75000	-0.059373	-7.658256
118	0.728517	75000	-0.059214	-7.717470
119	0.726452	75000	-0.059183	-7.776653
120	0.724390	75000	-0.059092	-7.835745
121	0.722331	75000	-0.058973	-7.894718
122	0.720276	75000	-0.058882	-7.953599
123	0.718225	75000	-0.058746	-8.012345
124	0.716177	75000	-0.058634	-8.070979
125	0.714132	75000	-0.058678	-8.129658
126	0.712091	75000	-0.058478	-8.188135
127	0.710054	75000	-0.058445	-8.246580
128	0.708020	75000	-0.058367	-8.304947
129	0.705989	75000	-0.058201	-8.363148
130	0.703962	75000	-0.058174	-8.421322
131	0.701939	75000	-0.058075	-8.479397
132	0.699919	75000	-0.057895	-8.537292
133	0.697902	75000	-0.057842	-8.595134
134	0.695889	75000	-0.057789	-8.652923
135	0.693880	75000	-0.057721	-8.710644
136	0.691874	75000	-0.057579	-8.768223
137	0.689871	75000	-0.057552	-8.825775
138	0.687872	75000	-0.057437	-8.883212
139	0.685877	75000	-0.057432	-8.940644
140	0.683885	75000	-0.057224	-8.997869
141	0.681896	75000	-0.057139	-9.055007
142	0.679911	75000	-0.057060	-9.112067
143	0.677929	75000	-0.056949	-9.169016
144	0.675951	75000	-0.056932	-9.225947
145	0.673976	75000	-0.056832	-9.282779
146	0.672005	75000	-0.056647	-9.339426
147	0.670037	75000	-0.056525	-9.395952
148	0.668073	75000	-0.056497	-9.452448
149	0.666112	75000	-0.056446	-9.508894
150	0.664155	75000	-0.056306	-9.565201
151	0.662201	75000	-0.056207	-9.621408
152	0.660250	75000	-0.056099	-9.677506
153	0.658303	75000	-0.055981	-9.733487
154	0.656359	75000	-0.055868	-9.789355
155	0.654419	75000	-0.055889	-9.845244
156	0.652483	75000	-0.055754	-9.900998
157	0.650549	75000	-0.055751	-9.956749
158	0.648619	75000	-0.055588	-10.012337
159	0.646693	75000	-0.055550	-10.067887
160	0.644770	75000	-0.055380	-10.123267
161	0.642851	75000	-0.055379	-10.178645
162	0.640934	75000	-0.055237	-10.233882
163	0.639022	75000	-0.055192	-10.289075
164	0.637113	75000	-0.055037	-10.344112
165	0.635207	75000	-0.054948	-10.399060
166	0.633304	75000	-0.054845	-10.453905
167	0.631405	75000	-0.054789	-10.508694
168	0.629510	75000	-0.054698	-10.563392
169	0.627618	75000	-0.054592	-10.617984
170	0.625729	75000	-0.054569	-10.672553
171	0.623844	75000	-0.054469	-10.727022
172	0.621962	75000	-0.054349	-10.781371
173	0.620083	75000	-0.054255	-10.835626
174	0.618208	75000	-0.054123	-10.889749
175	0.616337	75000	-0.054116	-10.943865
176	0.614468	75000	-0.053960	-10.997825
177	0.612604	75000	-0.053975	-11.051800
178	0.610742	75000	-0.053822	-11.105622
179	0.608884	75000	-0.053730	-11.159352
180	0.607029	75000	-0.053609	-11.212961
181	0.605178	75000	-0.053546	-11.266507
182	0.603330	75000	-0.053440	-11.319947
183	0.601486	75000	-0.053399	-11.373346
184	0.599645	75000	-0.053254	-11.426600
185	0.597807	75000	-0.053189	-11.479789
186	0.595973	75000	-0.053114	-11.532902
187	0.594142	75000	-0.053016	-11.585919
188	0.592314	75000	-0.052927	-11.638845
189	0.590490	75000	-0.052779	-11.691625
190	0.588669	75000	-0.052781	-11.744405
191	0.586852	75000	-0.052641	-11.797046
192	0.585038	75000	-0.052576	-11.849623
193	0.583227	75000	-0.052518	-11.902140
194	0.581420	75000	-0.052400	-11.954541
195	0.579616	75000	-0.052323	-12.006864
196	0.577815	75000	-0.052191	-12.059055
197	0.576018	75000	-0.052147	-12.111202
198	0.574224	75000	-0.052083	-12.163285
199	0.572433	75000	-0.051895	-12.215179
200	0.570646	75000	-0.051890	-12.267069
201	0.568862	75000	-0.051740	-12.318810
202	0.567082	75000	-0.051710	-12.370520
203	0.565305	75000	-0.051542	-12.422062
204	0.563531	75000	-0.051574	-12.473636
205	0.561761	75000	-0.051397	-12.525033
206	0.559993	75000	-0.051364	-12.576397
207	0.558230	75000	-0.051217	-12.627614
208	0.556469	75000	-0.051129	-12.678743
209	0.554712	75000	-0.051086	-12.729829
210	0.552958	75000	-0.050953	-12.780782
211	0.551208	75000	-0.050946	-12.831728
212	0.549461	75000	-0.050841	-12.882569
213	0.547717	75000	-0.050703	-12.933272
214	0.545977	75000	-0.050659	-12.983931
215	0.544240	75000	-0.050569	-13.034499
216	0.542506	75000	-0.050478	-13.084978
217	0.540775	75000	-0.050382	-13.135360
218	0.539048	75000	-0.050307	-13.185667
219	0.537324	75000	-0.050176	-13.235843
220	0.535604	75000	-0.050133	-13.285976
221	0.533887	75000	-0.050075	-13.336052
222	0.532173	75000	-0.049927	-13.385979
223	0.530462	75000	-0.049895	-13.435874
224	0.528755	75000	-0.049821	-13.485695
225	0.527051	75000	-0.049738	-13.535433
226	0.525350	75000	-0.049582	-13.585014
227	0.523653	75000	-0.049520	-13.634534
228	0.521958	75000	-0.049384	-13.683918
229	0.520268	75000	-0.049341	-13.733259
230	0.518580	75000	-0.049297	-13.782556
231	0.516896	75000	-0.049175	-13.831731
232	0.515215	75000	-0.049060	-13.880792
233	0.513537	75000	-0.048975	-13.929767
234	0.511863	75000	-0.048903	-13.978670
235	0.510192	75000	-0.048903	-14.027573
236	0.508524	75000	-0.048776	-14.076349
237	0.506859	75000	-0.048705	-14.125054
238	0.505198	75000	-0.048587	-14.173641
239	0.503540	75000	-0.048575	-14.222216
240	0.501885	75000	-0.048446	-14.270662
241	0.500234	75000	-0.048358	-14.319020
242	0.498586	75000	-0.048319	-14.367339
243	0.496941	75000	-0.048208	-14.415547
244	0.495299	75000	-0.048073	-14.463620
245	0.493660	75000	-0.048049	-14.511669
246	0.492025	75000	-0.047883	-14.559552
247	0.490393	75000	-0.047848	-14.607401
248	0.488765	75000	-0.047837	-14.655238
249	0.487139	75000	-0.047681	-14.702919
250	0.485517	75000	-0.047631	-14.750549
251	0.483898	75000	-0.047501	-14.798051
252	0.482283	75000	-0.047367	-14.845418
253	0.480670	75000	-0.047332	-14.892750
254	0.479061	75000	-0.047249	-14.939999
255	0.477455	75000	-0.047139	-14.987138
256	0.475852	75000	-0.047062	-15.034201
257	0.474253	75000	-0.046970	-15.081170
258	0.472656	75000	-0.046919	-15.128089
259	0.471063	75000	-0.046854	-15.174943
260	0.469474	75000	-0.046794	-15.221737
261	0.467887	75000	-0.046684	-15.268420
262	0.466304	75000	-0.046585	-15.315005
263	0.464723	75000	-0.046515	-15.361520
264	0.463146	75000	-0.046371	-15.407891
265	0.461573	75000	-0.046338	-15.454229
266	0.460002	75000	-0.046219	-15.500448
267	0.458435	75000	-0.046153	-15.546601
