Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_gender_transitivity.txt
Log File Name:                   features_gender_transitivity.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3797764130
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_gender_transitivity.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	48.389111	1	0.299493888656	0.365662304142	0.263470343406	0.186852000386	-0.028388847669	
3000	49.074577	1	0.191224774172	0.331964854266	0.262128254807	0.186773771156	-0.029979274109	
4000	48.721280	1	0.230103545999	0.292851642729	0.261732977653	0.187608971073	-0.030911010522	
5000	48.914328	1	0.188695352654	0.374954394038	0.262188027791	0.187003460320	-0.032281915624	
6000	48.691619	1	0.222651014937	0.398962991639	0.261732593435	0.187654761671	-0.030902174980	
7000	48.455392	1	0.173505338447	0.301710438941	0.262634503198	0.187332657786	-0.027219346420	
8000	49.180110	1	0.207871341667	0.327307531048	0.261838673166	0.186821042124	-0.030190860020	
9000	48.532499	1	0.297444906607	0.348863345381	0.263374176269	0.186720696622	-0.030217819573	
10000	48.547462	1	0.226857942715	0.404949928428	0.261728370621	0.187875566507	-0.030547962714	
11000	47.309536	1	0.233716443425	0.442081325985	0.261746163137	0.189765604496	-0.029395102081	
12000	49.179784	1	0.254470943783	0.348625108207	0.261986350729	0.186720154295	-0.030536340288	
13000	48.700232	1	0.278067320598	0.313336450977	0.262599710344	0.187047471070	-0.033037165404	
14000	49.002896	1	0.184871244904	0.332436293307	0.262286295831	0.186769772335	-0.029875308417	
