Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.042000	6.321421	497	0.032193	3.042088	503	0.051690	0.042000	0.143428	
1000	0.075000	3.705626	509	0.055010	1.615145	491	0.095723	0.075000	0.120626	
1000	0.111000	3.269471	530	0.041509	0.814207	470	0.189362	0.111000	0.118220	
1000	0.180000	2.028460	489	0.092025	0.580097	511	0.264188	0.180000	0.130574	
1000	0.206000	1.203744	503	0.168986	0.580097	497	0.243461	0.206000	0.143143	
1000	0.258000	0.816027	493	0.219067	0.580097	507	0.295858	0.258000	0.159549	
1000	0.251000	0.816027	508	0.194882	0.580097	492	0.308943	0.251000	0.170979	
1000	0.229000	0.806929	475	0.223158	0.580097	525	0.234286	0.229000	0.177425	
1000	0.242000	0.806929	521	0.214971	0.580097	479	0.271399	0.242000	0.183882	
1000	0.255000	0.806929	494	0.255061	0.580097	506	0.254941	0.255000	0.190346	
1000	0.240000	0.806929	501	0.207585	0.580097	499	0.272545	0.240000	0.194484	
1000	0.260000	0.806929	506	0.249012	0.580097	494	0.271255	0.260000	0.199523	
1000	0.254000	0.806929	499	0.248497	0.580097	501	0.259481	0.254000	0.203414	
1000	0.229000	0.806929	514	0.215953	0.580097	486	0.242798	0.229000	0.205120	
1000	0.249000	0.806929	508	0.244094	0.580097	492	0.254065	0.249000	0.207862	
1000	0.261000	0.806929	500	0.250000	0.580097	500	0.272000	0.261000	0.210988	
1000	0.243000	0.806929	488	0.188525	0.580097	512	0.294922	0.243000	0.212766	
1000	0.285000	0.574394	472	0.343220	0.580097	528	0.232955	0.285000	0.216568	
1000	0.262000	0.574394	504	0.311508	0.580097	496	0.211694	0.262000	0.218839	
1000	0.281000	0.574394	493	0.300203	0.580097	507	0.262327	0.281000	0.221799	
1000	0.315000	0.574394	480	0.331250	0.580097	520	0.300000	0.315000	0.226035	
1000	0.278000	0.574394	491	0.309572	0.580097	509	0.247544	0.278000	0.228294	
1000	0.314000	0.574394	500	0.356000	0.580097	500	0.272000	0.314000	0.231865	
1000	0.296000	0.574394	521	0.307102	0.580097	479	0.283925	0.296000	0.234431	
1000	0.310000	0.574394	498	0.341365	0.580097	502	0.278884	0.310000	0.237337	
1000	0.313000	0.574394	490	0.348980	0.580097	510	0.278431	0.313000	0.240139	
1000	0.282000	0.574394	487	0.277207	0.580097	513	0.286550	0.282000	0.241634	
1000	0.288000	0.574394	499	0.308617	0.580097	501	0.267465	0.288000	0.243233	
1000	0.251000	0.574394	513	0.272904	0.580097	487	0.227926	0.251000	0.243492	
1000	0.294000	0.574394	497	0.321932	0.580097	503	0.266402	0.294000	0.245121	
1000	0.306000	0.574394	493	0.326572	0.580097	507	0.285996	0.306000	0.247024	
1000	0.272000	0.574394	503	0.296223	0.580097	497	0.247485	0.272000	0.247780	
1000	0.276000	0.574394	489	0.294479	0.580097	511	0.258317	0.276000	0.248610	
1000	0.301000	0.574394	519	0.335260	0.580097	481	0.264033	0.301000	0.250107	
1000	0.278000	0.574394	507	0.297830	0.580097	493	0.257606	0.278000	0.250882	
1000	0.295000	0.574394	505	0.318812	0.580097	495	0.270707	0.295000	0.252074	
1000	0.278000	0.574394	491	0.293279	0.580097	509	0.263261	0.278000	0.252757	
1000	0.284000	0.574394	518	0.316602	0.580097	482	0.248963	0.284000	0.253558	
1000	0.319000	0.574394	482	0.360996	0.580097	518	0.279923	0.319000	0.255194	
1000	0.296000	0.574394	498	0.339357	0.580097	502	0.252988	0.296000	0.256189	
1000	0.277000	0.574394	477	0.301887	0.580097	523	0.254302	0.277000	0.256684	
1000	0.275000	0.574394	498	0.285141	0.580097	502	0.264940	0.275000	0.257110	
1000	0.295000	0.574394	478	0.317992	0.580097	522	0.273946	0.295000	0.257971	
1000	0.297000	0.574394	491	0.317719	0.580097	509	0.277014	0.297000	0.258839	
1000	0.290000	0.574394	497	0.313883	0.580097	503	0.266402	0.290000	0.259516	
1000	0.283000	0.574394	478	0.324268	0.580097	522	0.245211	0.283000	0.260016	
1000	0.281000	0.574394	475	0.309474	0.580097	525	0.255238	0.281000	0.260453	
1000	0.313000	0.574394	495	0.333333	0.580097	505	0.293069	0.313000	0.261525	
1000	0.279000	0.574394	498	0.323293	0.580097	502	0.235060	0.279000	0.261875	
1000	0.278000	0.574394	493	0.290061	0.580097	507	0.266272	0.278000	0.262191	
1000	0.301000	0.574394	506	0.333992	0.580097	494	0.267206	0.301000	0.262937	
1000	0.291000	0.574394	502	0.356574	0.580097	498	0.224900	0.291000	0.263467	
1000	0.290000	0.574394	488	0.309426	0.580097	512	0.271484	0.290000	0.263958	
1000	0.298000	0.574394	490	0.316327	0.580097	510	0.280392	0.298000	0.264577	
1000	0.289000	0.574394	524	0.328244	0.580097	476	0.245798	0.289000	0.265013	
1000	0.278000	0.574394	522	0.308429	0.580097	478	0.244770	0.278000	0.265241	
1000	0.294000	0.574394	487	0.322382	0.580097	513	0.267057	0.294000	0.265737	
1000	0.312000	0.574394	471	0.380042	0.580097	529	0.251418	0.312000	0.266521	
1000	0.301000	0.574394	530	0.316981	0.580097	470	0.282979	0.301000	0.267096	
1000	0.276000	0.574394	506	0.306324	0.580097	494	0.244939	0.276000	0.267242	
1000	0.303000	0.574394	483	0.337474	0.580097	517	0.270793	0.303000	0.267818	
1000	0.288000	0.574394	485	0.303093	0.580097	515	0.273786	0.288000	0.268139	
1000	0.288000	0.574394	522	0.329502	0.580097	478	0.242678	0.288000	0.268449	
1000	0.278000	0.574394	500	0.294000	0.580097	500	0.262000	0.278000	0.268596	
1000	0.284000	0.574394	478	0.317992	0.580097	522	0.252874	0.284000	0.268829	
1000	0.274000	0.574394	509	0.294695	0.580097	491	0.252546	0.274000	0.268906	
1000	0.285000	0.574394	502	0.312749	0.580097	498	0.257028	0.285000	0.269143	
1000	0.314000	0.574394	491	0.340122	0.580097	509	0.288802	0.314000	0.269793	
1000	0.318000	0.574394	512	0.330078	0.580097	488	0.305328	0.318000	0.270482	
1000	0.334000	0.574394	502	0.372510	0.580097	498	0.295181	0.334000	0.271376	
1000	0.269000	0.574394	506	0.282609	0.580097	494	0.255061	0.269000	0.271343	
1000	0.326000	0.574394	521	0.320537	0.580097	479	0.331942	0.326000	0.272092	
1000	0.294000	0.574394	494	0.338057	0.580097	506	0.250988	0.294000	0.272388	
1000	0.329000	0.574394	503	0.357853	0.580097	497	0.299799	0.329000	0.273143	
1000	0.328000	0.574394	500	0.374000	0.580097	500	0.282000	0.328000	0.273865	
1000	0.318000	0.574394	478	0.357741	0.580097	522	0.281609	0.318000	0.274438	
1000	0.290000	0.574394	500	0.294000	0.580097	500	0.286000	0.290000	0.274638	
1000	0.331000	0.574394	509	0.357564	0.580097	491	0.303462	0.331000	0.275351	
1000	0.287000	0.574394	481	0.351351	0.580097	519	0.227360	0.287000	0.275497	
1000	0.278000	0.574394	505	0.314851	0.580097	495	0.240404	0.278000	0.275527	
1000	0.306000	0.574394	508	0.350394	0.580097	492	0.260163	0.306000	0.275899	
1000	0.314000	0.574394	517	0.340426	0.580097	483	0.285714	0.314000	0.276358	
1000	0.300000	0.574394	520	0.328846	0.580097	480	0.268750	0.300000	0.276640	
1000	0.293000	0.574394	477	0.320755	0.580097	523	0.267686	0.293000	0.276832	
1000	0.280000	0.574394	506	0.282609	0.580097	494	0.277328	0.280000	0.276869	
1000	0.284000	0.574394	501	0.311377	0.580097	499	0.256513	0.284000	0.276951	
1000	0.324000	0.574394	518	0.332046	0.580097	482	0.315353	0.324000	0.277485	
1000	0.301000	0.574394	503	0.310139	0.580097	497	0.291751	0.301000	0.277750	
1000	0.315000	0.574394	495	0.321212	0.580097	505	0.308911	0.315000	0.278164	
1000	0.283000	0.574394	508	0.314961	0.580097	492	0.250000	0.283000	0.278217	
1000	0.290000	0.574394	496	0.322581	0.580097	504	0.257937	0.290000	0.278345	
1000	0.304000	0.574394	460	0.343478	0.580097	540	0.270370	0.304000	0.278621	
1000	0.303000	0.574394	485	0.301031	0.580097	515	0.304854	0.303000	0.278880	
1000	0.308000	0.574394	535	0.338318	0.580097	465	0.273118	0.308000	0.279187	
1000	0.278000	0.574394	498	0.307229	0.580097	502	0.249004	0.278000	0.279174	
1000	0.281000	0.574394	506	0.296443	0.580097	494	0.265182	0.281000	0.279193	
1000	0.325000	0.574394	518	0.370656	0.580097	482	0.275934	0.325000	0.279660	
