Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.120670	0.120670
1	0.995007	75000	0.120446	0.241117
2	0.992517	75000	0.120295	0.361411
3	0.990030	75000	0.120113	0.481525
4	0.987547	75000	0.119944	0.601469
5	0.985067	75000	0.119684	0.721153
6	0.982592	75000	0.119537	0.840689
7	0.980120	75000	0.119363	0.960052
8	0.977652	75000	0.119158	1.079210
9	0.975187	75000	0.118984	1.198194
10	0.972726	75000	0.118745	1.316938
11	0.970269	75000	0.118561	1.435499
12	0.967816	75000	0.118345	1.553844
13	0.965367	75000	0.118172	1.672016
14	0.962921	75000	0.118027	1.790043
15	0.960479	75000	0.117865	1.907908
16	0.958040	75000	0.117666	2.025575
17	0.955606	75000	0.117474	2.143048
18	0.953175	75000	0.117263	2.260312
19	0.950747	75000	0.117100	2.377412
20	0.948324	75000	0.116933	2.494345
21	0.945904	75000	0.116753	2.611098
22	0.943488	75000	0.116538	2.727636
23	0.941076	75000	0.116316	2.843952
24	0.938667	75000	0.116211	2.960163
25	0.936262	75000	0.115943	3.076107
26	0.933861	75000	0.115804	3.191910
27	0.931463	75000	0.115622	3.307532
28	0.929069	75000	0.115427	3.422960
29	0.926679	75000	0.115188	3.538148
30	0.924293	75000	0.115007	3.653154
31	0.921910	75000	0.114857	3.768011
32	0.919531	75000	0.114758	3.882769
33	0.917155	75000	0.114492	3.997261
34	0.914783	75000	0.114377	4.111638
35	0.912415	75000	0.114138	4.225776
36	0.910051	75000	0.113881	4.339657
37	0.907690	75000	0.113744	4.453401
38	0.905333	75000	0.113535	4.566936
39	0.902980	75000	0.113451	4.680387
40	0.900630	75000	0.113248	4.793635
41	0.898284	75000	0.113029	4.906663
42	0.895942	75000	0.112846	5.019509
43	0.893603	75000	0.112658	5.132167
44	0.891268	75000	0.112511	5.244678
45	0.888937	75000	0.112351	5.357030
46	0.886609	75000	0.112118	5.469148
47	0.884285	75000	0.111913	5.581061
48	0.881965	75000	0.111773	5.692834
49	0.879648	75000	0.111511	5.804345
50	0.877335	75000	0.111439	5.915784
51	0.875026	75000	0.111158	6.026942
52	0.872720	75000	0.110970	6.137912
53	0.870418	75000	0.110814	6.248726
54	0.868120	75000	0.110688	6.359413
55	0.865825	75000	0.110472	6.469886
56	0.863534	75000	0.110267	6.580153
57	0.861246	75000	0.110131	6.690284
58	0.858962	75000	0.109927	6.800211
59	0.856682	75000	0.109726	6.909937
60	0.854405	75000	0.109563	7.019500
61	0.852132	75000	0.109352	7.128852
62	0.849863	75000	0.109197	7.238049
63	0.847597	75000	0.109030	7.347079
64	0.845335	75000	0.108848	7.455926
65	0.843077	75000	0.108614	7.564540
66	0.840822	75000	0.108491	7.673032
67	0.838571	75000	0.108291	7.781323
68	0.836323	75000	0.108107	7.889429
69	0.834079	75000	0.107937	7.997366
