Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_gender_transitivity.txt
Log File Name:                   features_gender_transitivity.independent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            803031070
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_gender_transitivity.independent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      False
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	49.067096	1	0.198677432214	0.350544334425	0.261976329814	0.186725572276	0.000000000000	
3000	47.405571	1	0.182972438217	0.260990716297	0.262338622826	0.189024588737	0.000000000000	
4000	48.587458	1	0.207870497412	0.294319247865	0.261838683283	0.187559668143	0.000000000000	
5000	44.861564	1	0.295880982987	0.476296789266	0.263302612153	0.192300980301	0.000000000000	
6000	48.540239	1	0.160807351452	0.345754051911	0.263122876381	0.186716521238	0.000000000000	
7000	47.414758	1	0.122504846341	0.371989672689	0.265231194005	0.186949036136	0.000000000000	
8000	49.125284	1	0.243533105732	0.335951963012	0.261824856235	0.186744509706	0.000000000000	
9000	48.773012	1	0.181121819117	0.367657808159	0.262391878065	0.186879792450	0.000000000000	
10000	48.599645	1	0.212465341325	0.293844571596	0.261790485083	0.187575461230	0.000000000000	
11000	46.064668	1	0.237686509502	0.466894862761	0.261770440946	0.191528437230	0.000000000000	
12000	47.278180	1	0.333325564274	0.315602609544	0.265452912084	0.187002118631	0.000000000000	
13000	49.018081	1	0.259370665292	0.340447328483	0.262083925997	0.186723916989	0.000000000000	
14000	48.704704	1	0.180847472950	0.316843796941	0.262399962479	0.186978694352	0.000000000000	
15000	47.500591	1	0.124508682438	0.369764943013	0.265097244310	0.186911950158	0.000000000000	
16000	49.041402	1	0.249249518887	0.363060499470	0.261899552436	0.186819653470	0.000000000000	
17000	47.928925	1	0.281567528403	0.283872213846	0.262721533171	0.187941129730	0.000000000000	
18000	49.091032	1	0.245240419326	0.359510453797	0.261844940018	0.186782618777	0.000000000000	
19000	48.613639	1	0.193681830941	0.389417493713	0.262074175726	0.187350922555	0.000000000000	
20000	46.841404	1	0.116976028070	0.396141013630	0.265614318608	0.187558766950	0.000000000000	
21000	49.181842	1	0.220220789732	0.342867146518	0.261740277551	0.186718273115	0.000000000000	
22000	48.682381	1	0.259746399812	0.305400571449	0.262092053062	0.187232616582	0.000000000000	
23000	48.943047	1	0.188046506517	0.334608973151	0.262204031274	0.186753211287	0.000000000000	
24000	49.116017	1	0.224559272893	0.326810916474	0.261729251684	0.186826914917	0.000000000000	
25000	48.043794	1	0.157720148495	0.390486970449	0.263257457889	0.187382017142	0.000000000000	
26000	47.127195	1	0.145371892551	0.274025838962	0.263857734985	0.188365630718	0.000000000000	
27000	48.061684	1	0.147570700780	0.315236951472	0.263743589431	0.187009210553	0.000000000000	
28000	48.590151	1	0.219740162169	0.292394123297	0.261742252151	0.187624627436	0.000000000000	
