Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.031000	3.057228	513	0.044834	6.590310	487	0.016427	0.031000	0.088956	
1000	0.040000	2.964352	497	0.046278	4.073043	503	0.033797	0.040000	0.072642	
1000	0.094000	1.675429	508	0.125984	3.428308	492	0.060976	0.094000	0.077981	
1000	0.131000	1.123994	498	0.172691	2.059852	502	0.089641	0.131000	0.088582	
1000	0.157000	1.066694	503	0.188867	1.161393	497	0.124748	0.157000	0.099983	
1000	0.236000	0.774418	490	0.275510	0.871569	510	0.198039	0.236000	0.119412	
1000	0.260000	0.774418	497	0.261569	0.552586	503	0.258449	0.260000	0.136983	
1000	0.253000	0.774418	470	0.225532	0.552586	530	0.277358	0.253000	0.149872	
1000	0.263000	0.774418	447	0.221477	0.552586	553	0.296564	0.263000	0.161184	
1000	0.264000	0.774418	512	0.238281	0.552586	488	0.290984	0.264000	0.170530	
1000	0.274000	0.774418	480	0.256250	0.552586	520	0.290385	0.274000	0.179152	
1000	0.261000	0.774418	515	0.233010	0.552586	485	0.290722	0.261000	0.185447	
1000	0.270000	0.774418	529	0.217391	0.552586	471	0.329087	0.270000	0.191486	
1000	0.291000	0.774418	508	0.263780	0.552586	492	0.319106	0.291000	0.198120	
1000	0.266000	0.774418	516	0.269380	0.552586	484	0.262397	0.266000	0.202362	
1000	0.248000	0.774418	502	0.195219	0.552586	498	0.301205	0.248000	0.205047	
1000	0.405000	0.394817	521	0.476008	0.552586	479	0.327766	0.405000	0.216155	
1000	0.349000	0.464056	508	0.348425	0.552586	492	0.349593	0.349000	0.223146	
1000	0.351000	0.464056	505	0.403960	0.552586	495	0.296970	0.351000	0.229539	
1000	0.338000	0.469401	514	0.414397	0.552586	486	0.257202	0.338000	0.234703	
1000	0.281000	0.738404	510	0.241176	0.552586	490	0.322449	0.281000	0.236807	
1000	0.266000	0.738404	511	0.258317	0.552586	489	0.274029	0.266000	0.238077	
1000	0.280000	0.738404	508	0.261811	0.552586	492	0.298780	0.280000	0.239823	
1000	0.275000	0.738404	516	0.244186	0.552586	484	0.307851	0.275000	0.241230	
1000	0.289000	0.738404	503	0.256461	0.552586	497	0.321932	0.289000	0.243068	
1000	0.304000	0.738404	497	0.303823	0.552586	503	0.304175	0.304000	0.245324	
1000	0.276000	0.738404	481	0.226611	0.552586	519	0.321773	0.276000	0.246420	
1000	0.259000	0.738404	491	0.258656	0.552586	509	0.259332	0.259000	0.246854	
1000	0.269000	0.738404	483	0.252588	0.552586	517	0.284333	0.269000	0.247592	
1000	0.267000	0.738404	452	0.214602	0.552586	548	0.310219	0.267000	0.248218	
1000	0.279000	0.738404	496	0.258065	0.552586	504	0.299603	0.279000	0.249180	
1000	0.268000	0.738404	511	0.268102	0.552586	489	0.267894	0.268000	0.249750	
1000	0.243000	0.738404	502	0.252988	0.552586	498	0.232932	0.243000	0.249551	
1000	0.281000	0.738404	504	0.271825	0.552586	496	0.290323	0.281000	0.250450	
1000	0.261000	0.738404	488	0.252049	0.552586	512	0.269531	0.261000	0.250743	
1000	0.297000	0.738404	493	0.286004	0.552586	507	0.307692	0.297000	0.251993	
1000	0.279000	0.738404	489	0.286299	0.552586	511	0.272016	0.279000	0.252704	
1000	0.263000	0.738404	488	0.237705	0.552586	512	0.287109	0.263000	0.252968	
1000	0.259000	0.738404	524	0.227099	0.552586	476	0.294118	0.259000	0.253119	
1000	0.293000	0.738404	528	0.246212	0.552586	472	0.345339	0.293000	0.254091	
1000	0.284000	0.738404	481	0.259875	0.552586	519	0.306358	0.284000	0.254803	
1000	0.263000	0.738404	514	0.250973	0.552586	486	0.275720	0.263000	0.254994	
1000	0.267000	0.738404	499	0.254509	0.552586	501	0.279441	0.267000	0.255267	
1000	0.275000	0.738404	501	0.281437	0.552586	499	0.268537	0.275000	0.255705	
1000	0.295000	0.738404	508	0.289370	0.552586	492	0.300813	0.295000	0.256560	
1000	0.267000	0.738404	479	0.244259	0.552586	521	0.287908	0.267000	0.256782	
1000	0.274000	0.738404	521	0.274472	0.552586	479	0.273486	0.274000	0.257140	
1000	0.255000	0.738404	489	0.249489	0.552586	511	0.260274	0.255000	0.257097	
1000	0.236000	0.738404	528	0.208333	0.552586	472	0.266949	0.236000	0.256675	
1000	0.242000	0.738404	510	0.205882	0.552586	490	0.279592	0.242000	0.256387	
1000	0.277000	0.738404	478	0.255230	0.552586	522	0.296935	0.277000	0.256784	
1000	0.247000	0.738404	503	0.214712	0.552586	497	0.279678	0.247000	0.256599	
1000	0.272000	0.738404	508	0.257874	0.552586	492	0.286585	0.272000	0.256884	
1000	0.253000	0.738404	507	0.270217	0.552586	493	0.235294	0.253000	0.256814	
1000	0.275000	0.738404	528	0.244318	0.552586	472	0.309322	0.275000	0.257138	
1000	0.243000	0.738404	482	0.232365	0.552586	518	0.252896	0.243000	0.256890	
1000	0.250000	0.738404	497	0.207243	0.552586	503	0.292247	0.250000	0.256771	
1000	0.292000	0.738404	462	0.296537	0.552586	538	0.288104	0.292000	0.257369	
1000	0.276000	0.738404	515	0.258252	0.552586	485	0.294845	0.276000	0.257679	
1000	0.256000	0.738404	485	0.237113	0.552586	515	0.273786	0.256000	0.257652	
1000	0.244000	0.738404	496	0.219758	0.552586	504	0.267857	0.244000	0.257431	
1000	0.265000	0.738404	481	0.247401	0.552586	519	0.281310	0.265000	0.257551	
1000	0.271000	0.738404	493	0.217039	0.552586	507	0.323471	0.271000	0.257762	
1000	0.253000	0.738404	519	0.238921	0.552586	481	0.268191	0.253000	0.257688	
1000	0.249000	0.738404	498	0.226908	0.552586	502	0.270916	0.249000	0.257557	
1000	0.259000	0.738404	483	0.246377	0.552586	517	0.270793	0.259000	0.257578	
1000	0.250000	0.738404	497	0.247485	0.552586	503	0.252485	0.250000	0.257467	
