Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.120375	0.120375
1	0.995007	75000	0.120161	0.240536
2	0.992517	75000	0.119999	0.360535
3	0.990030	75000	0.119806	0.480341
4	0.987547	75000	0.119573	0.599915
5	0.985067	75000	0.119363	0.719278
6	0.982592	75000	0.119227	0.838505
7	0.980120	75000	0.119064	0.957568
8	0.977652	75000	0.118875	1.076444
9	0.975187	75000	0.118697	1.195140
10	0.972726	75000	0.118487	1.313627
11	0.970269	75000	0.118307	1.431933
12	0.967816	75000	0.118181	1.550115
13	0.965367	75000	0.117936	1.668051
14	0.962921	75000	0.117820	1.785872
15	0.960479	75000	0.117537	1.903408
16	0.958040	75000	0.117354	2.020762
17	0.955606	75000	0.117263	2.138025
18	0.953175	75000	0.117002	2.255027
19	0.950747	75000	0.116888	2.371915
20	0.948324	75000	0.116620	2.488535
21	0.945904	75000	0.116432	2.604966
22	0.943488	75000	0.116219	2.721186
23	0.941076	75000	0.116093	2.837279
24	0.938667	75000	0.115861	2.953140
25	0.936262	75000	0.115730	3.068870
26	0.933861	75000	0.115489	3.184359
27	0.931463	75000	0.115317	3.299676
28	0.929069	75000	0.115162	3.414837
29	0.926679	75000	0.114979	3.529816
30	0.924293	75000	0.114818	3.644634
31	0.921910	75000	0.114551	3.759185
32	0.919531	75000	0.114478	3.873664
33	0.917155	75000	0.114238	3.987901
34	0.914783	75000	0.114102	4.102003
35	0.912415	75000	0.113891	4.215894
36	0.910051	75000	0.113665	4.329559
37	0.907690	75000	0.113507	4.443066
38	0.905333	75000	0.113320	4.556386
39	0.902980	75000	0.113174	4.669559
40	0.900630	75000	0.113022	4.782582
41	0.898284	75000	0.112834	4.895416
42	0.895942	75000	0.112639	5.008055
43	0.893603	75000	0.112385	5.120440
44	0.891268	75000	0.112203	5.232643
45	0.888937	75000	0.112071	5.344714
46	0.886609	75000	0.111802	5.456516
47	0.884285	75000	0.111642	5.568158
48	0.881965	75000	0.111475	5.679632
49	0.879648	75000	0.111317	5.790949
50	0.877335	75000	0.111095	5.902044
51	0.875026	75000	0.110923	6.012967
52	0.872720	75000	0.110739	6.123706
53	0.870418	75000	0.110609	6.234315
54	0.868120	75000	0.110398	6.344713
55	0.865825	75000	0.110246	6.454958
56	0.863534	75000	0.110078	6.565036
57	0.861246	75000	0.109800	6.674836
58	0.858962	75000	0.109664	6.784500
59	0.856682	75000	0.109467	6.893967
60	0.854405	75000	0.109304	7.003271
61	0.852132	75000	0.109116	7.112387
62	0.849863	75000	0.108926	7.221313
