Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.035733	0.035733
1	0.995007	75000	0.035741	0.071474
2	0.992517	75000	0.035600	0.107074
3	0.990030	75000	0.035569	0.142643
4	0.987547	75000	0.035516	0.178159
5	0.985067	75000	0.035420	0.213579
6	0.982592	75000	0.035448	0.249027
7	0.980120	75000	0.035319	0.284345
8	0.977652	75000	0.035269	0.319614
9	0.975187	75000	0.035200	0.354814
10	0.972726	75000	0.035185	0.389999
11	0.970269	75000	0.035118	0.425117
12	0.967816	75000	0.035061	0.460178
13	0.965367	75000	0.035005	0.495183
14	0.962921	75000	0.034901	0.530084
15	0.960479	75000	0.034813	0.564897
16	0.958040	75000	0.034824	0.599721
17	0.955606	75000	0.034777	0.634498
18	0.953175	75000	0.034644	0.669142
19	0.950747	75000	0.034599	0.703740
20	0.948324	75000	0.034613	0.738353
21	0.945904	75000	0.034576	0.772929
22	0.943488	75000	0.034429	0.807358
23	0.941076	75000	0.034420	0.841778
24	0.938667	75000	0.034338	0.876116
25	0.936262	75000	0.034252	0.910368
26	0.933861	75000	0.034181	0.944549
27	0.931463	75000	0.034123	0.978671
28	0.929069	75000	0.034063	1.012734
29	0.926679	75000	0.034091	1.046825
30	0.924293	75000	0.034028	1.080853
31	0.921910	75000	0.033938	1.114790
32	0.919531	75000	0.033797	1.148587
33	0.917155	75000	0.033797	1.182384
34	0.914783	75000	0.033735	1.216119
35	0.912415	75000	0.033691	1.249810
36	0.910051	75000	0.033638	1.283448
37	0.907690	75000	0.033560	1.317009
38	0.905333	75000	0.033533	1.350542
39	0.902980	75000	0.033418	1.383959
40	0.900630	75000	0.033368	1.417328
41	0.898284	75000	0.033308	1.450636
42	0.895942	75000	0.033276	1.483912
43	0.893603	75000	0.033214	1.517126
44	0.891268	75000	0.033129	1.550254
45	0.888937	75000	0.033078	1.583333
46	0.886609	75000	0.033040	1.616373
47	0.884285	75000	0.032944	1.649317
48	0.881965	75000	0.032926	1.682243
49	0.879648	75000	0.032847	1.715090
50	0.877335	75000	0.032772	1.747862
51	0.875026	75000	0.032747	1.780609
52	0.872720	75000	0.032660	1.813269
53	0.870418	75000	0.032604	1.845873
54	0.868120	75000	0.032594	1.878468
55	0.865825	75000	0.032445	1.910912
56	0.863534	75000	0.032448	1.943360
57	0.861246	75000	0.032352	1.975712
58	0.858962	75000	0.032382	2.008095
59	0.856682	75000	0.032225	2.040320
60	0.854405	75000	0.032246	2.072565
61	0.852132	75000	0.032169	2.104734
62	0.849863	75000	0.032048	2.136782
63	0.847597	75000	0.032010	2.168793
64	0.845335	75000	0.031940	2.200732
65	0.843077	75000	0.031905	2.232638
66	0.840822	75000	0.031903	2.264540
67	0.838571	75000	0.031755	2.296295
68	0.836323	75000	0.031821	2.328116
69	0.834079	75000	0.031665	2.359781
70	0.831839	75000	0.031627	2.391409
71	0.829602	75000	0.031556	2.422965
72	0.827369	75000	0.031547	2.454512
73	0.825140	75000	0.031470	2.485982
74	0.822914	75000	0.031374	2.517356
75	0.820691	75000	0.031302	2.548658
76	0.818473	75000	0.031232	2.579890
77	0.816258	75000	0.031248	2.611138
78	0.814046	75000	0.031189	2.642327
79	0.811838	75000	0.031129	2.673455
