Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.038000	4.814172	511	0.013699	3.390174	489	0.063395	0.038000	0.042479	
1000	0.084000	3.215469	501	0.025948	1.830139	499	0.142285	0.084000	0.056315	
1000	0.178000	2.104574	489	0.061350	1.021564	511	0.289628	0.178000	0.086728	
1000	0.189000	1.446363	508	0.096457	1.021564	492	0.284553	0.189000	0.107179	
1000	0.168000	1.418157	499	0.082164	1.021564	501	0.253493	0.168000	0.117314	
1000	0.215000	0.770561	481	0.162162	1.021564	519	0.263969	0.215000	0.131267	
1000	0.238000	0.695850	522	0.214559	1.021564	478	0.263598	0.238000	0.144607	
1000	0.215000	0.695850	477	0.159329	1.021564	523	0.265774	0.215000	0.152428	
1000	0.283000	0.380696	494	0.319838	1.021564	506	0.247036	0.283000	0.165483	
1000	0.308000	0.380696	529	0.313800	1.021564	471	0.301486	0.308000	0.178438	
1000	0.279000	0.380696	499	0.302605	1.021564	501	0.255489	0.279000	0.186818	
1000	0.293000	0.380696	516	0.352713	1.021564	484	0.229339	0.293000	0.194985	
1000	0.297000	0.380696	498	0.345382	1.021564	502	0.249004	0.297000	0.202271	
1000	0.273000	0.380696	463	0.315335	1.021564	537	0.236499	0.273000	0.206986	
1000	0.293000	0.380696	497	0.323944	1.021564	503	0.262425	0.293000	0.212362	
1000	0.303000	0.380696	493	0.340771	1.021564	507	0.266272	0.303000	0.217693	
1000	0.290000	0.380696	511	0.320939	1.021564	489	0.257669	0.290000	0.221710	
1000	0.312000	0.380696	492	0.363821	1.021564	508	0.261811	0.312000	0.226462	
1000	0.306000	0.380696	484	0.336777	1.021564	516	0.277132	0.306000	0.230438	
1000	0.301000	0.380696	499	0.334669	1.021564	501	0.267465	0.301000	0.233798	
1000	0.310000	0.380696	507	0.323471	1.021564	493	0.296146	0.310000	0.237262	
1000	0.289000	0.380696	513	0.337232	1.021564	487	0.238193	0.289000	0.239511	
1000	0.296000	0.380696	489	0.314928	1.021564	511	0.277886	0.296000	0.241865	
1000	0.294000	0.380696	474	0.327004	1.021564	526	0.264259	0.294000	0.243950	
1000	0.295000	0.380696	477	0.341719	1.021564	523	0.252390	0.295000	0.245914	
1000	0.255000	0.380696	480	0.302083	1.021564	520	0.211538	0.255000	0.246250	
1000	0.292000	0.380696	549	0.318761	1.021564	451	0.259424	0.292000	0.247884	
1000	0.285000	0.380696	492	0.296748	1.021564	508	0.273622	0.285000	0.249164	
1000	0.289000	0.380696	508	0.305118	1.021564	492	0.272358	0.289000	0.250492	
1000	0.293000	0.380696	499	0.348697	1.021564	501	0.237525	0.293000	0.251863	
1000	0.316000	0.380696	491	0.344196	1.021564	509	0.288802	0.316000	0.253867	
1000	0.308000	0.380696	516	0.358527	1.021564	484	0.254132	0.308000	0.255507	
1000	0.278000	0.380696	513	0.323587	1.021564	487	0.229979	0.278000	0.256169	
1000	0.277000	0.380696	526	0.336502	1.021564	474	0.210970	0.277000	0.256764	
1000	0.291000	0.380696	491	0.346232	1.021564	509	0.237721	0.291000	0.257715	
1000	0.259000	0.380696	514	0.293774	1.021564	486	0.222222	0.259000	0.257750	
1000	0.296000	0.380696	504	0.369048	1.021564	496	0.221774	0.296000	0.258756	
1000	0.312000	0.380696	483	0.385093	1.021564	517	0.243714	0.312000	0.260122	
1000	0.281000	0.380696	485	0.336082	1.021564	515	0.229126	0.281000	0.260643	
1000	0.279000	0.380696	498	0.303213	1.021564	502	0.254980	0.279000	0.261091	
1000	0.274000	0.380696	498	0.293173	1.021564	502	0.254980	0.274000	0.261399	
1000	0.293000	0.380696	482	0.300830	1.021564	518	0.285714	0.293000	0.262133	
1000	0.300000	0.380696	522	0.342912	1.021564	478	0.253138	0.300000	0.262994	
1000	0.288000	0.380696	494	0.291498	1.021564	506	0.284585	0.288000	0.263550	
1000	0.299000	0.380696	512	0.326172	1.021564	488	0.270492	0.299000	0.264320	
1000	0.312000	0.380696	498	0.365462	1.021564	502	0.258964	0.312000	0.265335	
1000	0.283000	0.380696	515	0.320388	1.021564	485	0.243299	0.283000	0.265703	
1000	0.297000	0.380696	504	0.303571	1.021564	496	0.290323	0.297000	0.266342	
1000	0.260000	0.380696	506	0.278656	1.021564	494	0.240891	0.260000	0.266215	
1000	0.293000	0.380696	466	0.334764	1.021564	534	0.256554	0.293000	0.266740	
1000	0.283000	0.380696	494	0.344130	1.021564	506	0.223320	0.283000	0.267053	
1000	0.291000	0.380696	531	0.342750	1.021564	469	0.232409	0.291000	0.267504	
1000	0.252000	0.380696	499	0.266533	1.021564	501	0.237525	0.252000	0.267217	
1000	0.301000	0.380696	514	0.344358	1.021564	486	0.255144	0.301000	0.267831	
1000	0.284000	0.380696	514	0.354086	1.021564	486	0.209877	0.284000	0.268120	
1000	0.286000	0.380696	492	0.337398	1.021564	508	0.236220	0.286000	0.268434	
1000	0.283000	0.380696	501	0.297405	1.021564	499	0.268537	0.283000	0.268685	
1000	0.298000	0.380696	517	0.321083	1.021564	483	0.273292	0.298000	0.269182	
1000	0.321000	0.380696	510	0.347059	1.021564	490	0.293878	0.321000	0.270045	
1000	0.309000	0.380696	511	0.354207	1.021564	489	0.261759	0.309000	0.270684	
1000	0.294000	0.380696	476	0.346639	1.021564	524	0.246183	0.294000	0.271060	
1000	0.278000	0.380696	495	0.305051	1.021564	505	0.251485	0.278000	0.271170	
1000	0.323000	0.380696	503	0.349901	1.021564	497	0.295775	0.323000	0.271980	
1000	0.293000	0.380696	504	0.343254	1.021564	496	0.241935	0.293000	0.272304	
1000	0.312000	0.380696	482	0.338174	1.021564	518	0.287645	0.312000	0.272905	
1000	0.292000	0.380696	484	0.338843	1.021564	516	0.248062	0.292000	0.273190	
1000	0.281000	0.380696	487	0.312115	1.021564	513	0.251462	0.281000	0.273305	
1000	0.292000	0.380696	501	0.329341	1.021564	499	0.254509	0.292000	0.273576	
1000	0.268000	0.380696	484	0.301653	1.021564	516	0.236434	0.268000	0.273496	
1000	0.312000	0.380696	496	0.330645	1.021564	504	0.293651	0.312000	0.274038	
1000	0.300000	0.380696	508	0.336614	1.021564	492	0.262195	0.300000	0.274399	
1000	0.304000	0.380696	486	0.325103	1.021564	514	0.284047	0.304000	0.274804	
1000	0.295000	0.380696	480	0.339583	1.021564	520	0.253846	0.295000	0.275077	
1000	0.291000	0.380696	508	0.336614	1.021564	492	0.243902	0.291000	0.275290	
1000	0.305000	0.380696	497	0.344064	1.021564	503	0.266402	0.305000	0.275681	
1000	0.309000	0.380696	538	0.317844	1.021564	462	0.298701	0.309000	0.276113	
1000	0.293000	0.380696	489	0.300613	1.021564	511	0.285714	0.293000	0.276330	
1000	0.277000	0.380696	518	0.312741	1.021564	482	0.238589	0.277000	0.276338	
1000	0.329000	0.380696	521	0.349328	1.021564	479	0.306889	0.329000	0.276997	
1000	0.292000	0.380696	505	0.320792	1.021564	495	0.262626	0.292000	0.277182	
1000	0.258000	0.380696	491	0.268839	1.021564	509	0.247544	0.258000	0.276948	
1000	0.268000	0.380696	496	0.314516	1.021564	504	0.222222	0.268000	0.276840	
1000	0.319000	0.380696	495	0.353535	1.021564	505	0.285149	0.319000	0.277342	
1000	0.277000	0.380696	498	0.315261	1.021564	502	0.239044	0.277000	0.277338	
1000	0.291000	0.380696	494	0.327935	1.021564	506	0.254941	0.291000	0.277497	
1000	0.282000	0.380696	487	0.336756	1.021564	513	0.230019	0.282000	0.277549	
1000	0.292000	0.380696	522	0.348659	1.021564	478	0.230126	0.292000	0.277713	
1000	0.308000	0.380696	530	0.332075	1.021564	470	0.280851	0.308000	0.278053	
1000	0.265000	0.380696	492	0.292683	1.021564	508	0.238189	0.265000	0.277908	
1000	0.314000	0.380696	508	0.360236	1.021564	492	0.266260	0.314000	0.278305	
1000	0.293000	0.380696	487	0.338809	1.021564	513	0.249513	0.293000	0.278464	
1000	0.312000	0.380696	490	0.336735	1.021564	510	0.288235	0.312000	0.278825	
1000	0.309000	0.380696	500	0.346000	1.021564	500	0.272000	0.309000	0.279146	
1000	0.293000	0.380696	472	0.324153	1.021564	528	0.265152	0.293000	0.279292	
1000	0.278000	0.380696	511	0.289628	1.021564	489	0.265849	0.278000	0.279278	
1000	0.339000	0.380696	520	0.353846	1.021564	480	0.322917	0.339000	0.279894	
1000	0.305000	0.380696	507	0.307692	1.021564	493	0.302231	0.305000	0.280150	
1000	0.305000	0.380696	537	0.329609	1.021564	463	0.276458	0.305000	0.280401	
1000	0.312000	0.380696	510	0.345098	1.021564	490	0.277551	0.312000	0.280717	
1000	0.261000	0.380696	516	0.310078	1.021564	484	0.208678	0.261000	0.280522	
1000	0.277000	0.380696	489	0.286299	1.021564	511	0.268102	0.277000	0.280487	
1000	0.283000	0.380696	510	0.343137	1.021564	490	0.220408	0.283000	0.280512	
1000	0.278000	0.380696	489	0.300613	1.021564	511	0.256360	0.278000	0.280488	
1000	0.279000	0.380696	500	0.326000	1.021564	500	0.232000	0.279000	0.280474	
1000	0.306000	0.380696	490	0.340816	1.021564	510	0.272549	0.306000	0.280714	
1000	0.273000	0.380696	508	0.287402	1.021564	492	0.258130	0.273000	0.280642	
1000	0.289000	0.380696	490	0.316327	1.021564	510	0.262745	0.289000	0.280720	
1000	0.288000	0.380696	489	0.361963	1.021564	511	0.217221	0.288000	0.280786	
1000	0.315000	0.380696	526	0.357414	1.021564	474	0.267932	0.315000	0.281097	
1000	0.299000	0.380696	530	0.335849	1.021564	470	0.257447	0.299000	0.281259	
