Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.035655	0.035655
1	0.995007	75000	0.035607	0.071261
2	0.992517	75000	0.035527	0.106788
3	0.990030	75000	0.035492	0.142280
4	0.987547	75000	0.035451	0.177731
5	0.985067	75000	0.035360	0.213090
6	0.982592	75000	0.035284	0.248374
7	0.980120	75000	0.035196	0.283570
8	0.977652	75000	0.035185	0.318755
9	0.975187	75000	0.035106	0.353861
10	0.972726	75000	0.035090	0.388951
11	0.970269	75000	0.034981	0.423932
12	0.967816	75000	0.034918	0.458851
13	0.965367	75000	0.034866	0.493717
14	0.962921	75000	0.034840	0.528557
15	0.960479	75000	0.034735	0.563291
16	0.958040	75000	0.034734	0.598025
17	0.955606	75000	0.034653	0.632678
18	0.953175	75000	0.034544	0.667221
19	0.950747	75000	0.034499	0.701721
20	0.948324	75000	0.034487	0.736208
21	0.945904	75000	0.034376	0.770584
22	0.943488	75000	0.034368	0.804952
23	0.941076	75000	0.034276	0.839228
24	0.938667	75000	0.034133	0.873361
25	0.936262	75000	0.034147	0.907509
26	0.933861	75000	0.034107	0.941615
27	0.931463	75000	0.034078	0.975693
28	0.929069	75000	0.033991	1.009685
29	0.926679	75000	0.033890	1.043574
30	0.924293	75000	0.033864	1.077438
31	0.921910	75000	0.033838	1.111276
32	0.919531	75000	0.033698	1.144974
33	0.917155	75000	0.033668	1.178642
34	0.914783	75000	0.033656	1.212297
35	0.912415	75000	0.033546	1.245843
36	0.910051	75000	0.033508	1.279351
37	0.907690	75000	0.033438	1.312789
38	0.905333	75000	0.033424	1.346213
39	0.902980	75000	0.033382	1.379595
40	0.900630	75000	0.033269	1.412864
41	0.898284	75000	0.033203	1.446067
42	0.895942	75000	0.033191	1.479258
43	0.893603	75000	0.033126	1.512384
44	0.891268	75000	0.033019	1.545403
45	0.888937	75000	0.032962	1.578365
46	0.886609	75000	0.032926	1.611290
47	0.884285	75000	0.032907	1.644197
48	0.881965	75000	0.032792	1.676989
49	0.879648	75000	0.032716	1.709705
50	0.877335	75000	0.032682	1.742387
51	0.875026	75000	0.032655	1.775042
52	0.872720	75000	0.032581	1.807623
53	0.870418	75000	0.032459	1.840082
54	0.868120	75000	0.032470	1.872552
55	0.865825	75000	0.032432	1.904984
56	0.863534	75000	0.032360	1.937344
57	0.861246	75000	0.032215	1.969559
58	0.858962	75000	0.032231	2.001790
59	0.856682	75000	0.032133	2.033923
60	0.854405	75000	0.032013	2.065936
61	0.852132	75000	0.032092	2.098028
62	0.849863	75000	0.031971	2.129999
63	0.847597	75000	0.031948	2.161947
64	0.845335	75000	0.031868	2.193815
65	0.843077	75000	0.031831	2.225646
66	0.840822	75000	0.031742	2.257389
67	0.838571	75000	0.031691	2.289080
68	0.836323	75000	0.031745	2.320825
69	0.834079	75000	0.031572	2.352397
70	0.831839	75000	0.031549	2.383946
71	0.829602	75000	0.031509	2.415455
72	0.827369	75000	0.031438	2.446893
73	0.825140	75000	0.031321	2.478215
74	0.822914	75000	0.031246	2.509461
75	0.820691	75000	0.031161	2.540622
76	0.818473	75000	0.031151	2.571773
77	0.816258	75000	0.031065	2.602838
78	0.814046	75000	0.031084	2.633922
79	0.811838	75000	0.031023	2.664945
80	0.809634	75000	0.030914	2.695859
81	0.807433	75000	0.030908	2.726767
82	0.805236	75000	0.030786	2.757553
83	0.803043	75000	0.030694	2.788247
84	0.800853	75000	0.030691	2.818938
85	0.798667	75000	0.030669	2.849607
86	0.796484	75000	0.030585	2.880192
87	0.794305	75000	0.030521	2.910713
88	0.792129	75000	0.030430	2.941143
89	0.789957	75000	0.030434	2.971577
90	0.787789	75000	0.030372	3.001949
91	0.785624	75000	0.030293	3.032242
92	0.783463	75000	0.030265	3.062507
93	0.781305	75000	0.030228	3.092735
94	0.779151	75000	0.030094	3.122829
95	0.777000	75000	0.030085	3.152914
96	0.774853	75000	0.030029	3.182943
97	0.772710	75000	0.029895	3.212839
98	0.770570	75000	0.029886	3.242724
99	0.768433	75000	0.029868	3.272592
100	0.766301	75000	0.029748	3.302340
101	0.764172	75000	0.029701	3.332041
102	0.762046	75000	0.029656	3.361697
103	0.759924	75000	0.029601	3.391299
104	0.757805	75000	0.029600	3.420898
105	0.755690	75000	0.029467	3.450366
106	0.753579	75000	0.029457	3.479822
107	0.751471	75000	0.029358	3.509180
108	0.749366	75000	0.029333	3.538513
109	0.747266	75000	0.029232	3.567745
110	0.745168	75000	0.029128	3.596873
111	0.743075	75000	0.029168	3.626040
112	0.740984	75000	0.029089	3.655129
113	0.738898	75000	0.029013	3.684142
114	0.736815	75000	0.028989	3.713131
115	0.734735	75000	0.028915	3.742046
116	0.732659	75000	0.028907	3.770953
117	0.730586	75000	0.028824	3.799778
118	0.728517	75000	0.028743	3.828521
119	0.726452	75000	0.028717	3.857238
120	0.724390	75000	0.028600	3.885838
121	0.722331	75000	0.028617	3.914455
122	0.720276	75000	0.028488	3.942943
123	0.718225	75000	0.028436	3.971379
124	0.716177	75000	0.028479	3.999858
125	0.714132	75000	0.028363	4.028221
126	0.712091	75000	0.028312	4.056533
127	0.710054	75000	0.028288	4.084822
128	0.708020	75000	0.028187	4.113009
129	0.705989	75000	0.028127	4.141136
130	0.703962	75000	0.028095	4.169231
131	0.701939	75000	0.028036	4.197267
132	0.699919	75000	0.027940	4.225206
133	0.697902	75000	0.027958	4.253165
134	0.695889	75000	0.027832	4.280997
135	0.693880	75000	0.027741	4.308738
136	0.691874	75000	0.027737	4.336475
137	0.689871	75000	0.027678	4.364153
138	0.687872	75000	0.027558	4.391711
139	0.685877	75000	0.027589	4.419300
140	0.683885	75000	0.027473	4.446773
141	0.681896	75000	0.027483	4.474257
142	0.679911	75000	0.027474	4.501730
143	0.677929	75000	0.027291	4.529022
144	0.675951	75000	0.027293	4.556314
145	0.673976	75000	0.027190	4.583505
146	0.672005	75000	0.027148	4.610653
147	0.670037	75000	0.027124	4.637776
148	0.668073	75000	0.027156	4.664932
149	0.666112	75000	0.026963	4.691895
150	0.664155	75000	0.026916	4.718811
151	0.662201	75000	0.026904	4.745715
152	0.660250	75000	0.026834	4.772549
153	0.658303	75000	0.026689	4.799237
154	0.656359	75000	0.026687	4.825925
155	0.654419	75000	0.026724	4.852649
156	0.652483	75000	0.026661	4.879310
157	0.650549	75000	0.026588	4.905898
158	0.648619	75000	0.026449	4.932347
159	0.646693	75000	0.026489	4.958836
160	0.644770	75000	0.026406	4.985242
161	0.642851	75000	0.026302	5.011544
162	0.640934	75000	0.026228	5.037772
163	0.639022	75000	0.026246	5.064018
164	0.637113	75000	0.026191	5.090209
165	0.635207	75000	0.026083	5.116292
166	0.633304	75000	0.026018	5.142310
167	0.631405	75000	0.025932	5.168242
168	0.629510	75000	0.025909	5.194151
169	0.627618	75000	0.025893	5.220043
170	0.625729	75000	0.025767	5.245811
171	0.623844	75000	0.025787	5.271598
172	0.621962	75000	0.025677	5.297274
173	0.620083	75000	0.025643	5.322918
174	0.618208	75000	0.025624	5.348542
175	0.616337	75000	0.025507	5.374049
176	0.614468	75000	0.025477	5.399526
177	0.612604	75000	0.025395	5.424922
178	0.610742	75000	0.025419	5.450341
179	0.608884	75000	0.025320	5.475661
180	0.607029	75000	0.025204	5.500865
181	0.605178	75000	0.025128	5.525993
182	0.603330	75000	0.025147	5.551139
183	0.601486	75000	0.025085	5.576225
184	0.599645	75000	0.025082	5.601307
185	0.597807	75000	0.025013	5.626319
186	0.595973	75000	0.024910	5.651229
187	0.594142	75000	0.024851	5.676080
188	0.592314	75000	0.024758	5.700838
189	0.590490	75000	0.024771	5.725610
190	0.588669	75000	0.024695	5.750304
191	0.586852	75000	0.024642	5.774947
192	0.585038	75000	0.024558	5.799505
193	0.583227	75000	0.024499	5.824003
194	0.581420	75000	0.024468	5.848471
195	0.579616	75000	0.024422	5.872893
196	0.577815	75000	0.024374	5.897267
197	0.576018	75000	0.024240	5.921508
198	0.574224	75000	0.024198	5.945706
199	0.572433	75000	0.024289	5.969994
200	0.570646	75000	0.024164	5.994159
201	0.568862	75000	0.024095	6.018254
202	0.567082	75000	0.024071	6.042325
203	0.565305	75000	0.023992	6.066316
204	0.563531	75000	0.023898	6.090214
205	0.561761	75000	0.023879	6.114093
206	0.559993	75000	0.023775	6.137868
207	0.558230	75000	0.023735	6.161603
208	0.556469	75000	0.023702	6.185304
209	0.554712	75000	0.023689	6.208993
210	0.552958	75000	0.023554	6.232547
211	0.551208	75000	0.023563	6.256110
212	0.549461	75000	0.023488	6.279598
213	0.547717	75000	0.023360	6.302958
214	0.545977	75000	0.023432	6.326390
215	0.544240	75000	0.023285	6.349675
216	0.542506	75000	0.023285	6.372960
217	0.540775	75000	0.023118	6.396078
218	0.539048	75000	0.023174	6.419252
219	0.537324	75000	0.023164	6.442416
220	0.535604	75000	0.023086	6.465502
221	0.533887	75000	0.023010	6.488512
222	0.532173	75000	0.022953	6.511465
223	0.530462	75000	0.022884	6.534349
224	0.528755	75000	0.022826	6.557175
225	0.527051	75000	0.022765	6.579940
226	0.525350	75000	0.022717	6.602657
227	0.523653	75000	0.022573	6.625229
228	0.521958	75000	0.022600	6.647830
229	0.520268	75000	0.022600	6.670429
230	0.518580	75000	0.022452	6.692881
231	0.516896	75000	0.022364	6.715245
232	0.515215	75000	0.022343	6.737588
233	0.513537	75000	0.022362	6.759949
234	0.511863	75000	0.022204	6.782153
235	0.510192	75000	0.022196	6.804349
236	0.508524	75000	0.022120	6.826469
237	0.506859	75000	0.022125	6.848594
238	0.505198	75000	0.022118	6.870713
239	0.503540	75000	0.022044	6.892757
240	0.501885	75000	0.021971	6.914728
241	0.500234	75000	0.021959	6.936687
242	0.498586	75000	0.021823	6.958510
243	0.496941	75000	0.021787	6.980297
244	0.495299	75000	0.021744	7.002041
245	0.493660	75000	0.021700	7.023741
246	0.492025	75000	0.021570	7.045311
247	0.490393	75000	0.021541	7.066853
248	0.488765	75000	0.021478	7.088330
249	0.487139	75000	0.021490	7.109820
250	0.485517	75000	0.021412	7.131232
251	0.483898	75000	0.021401	7.152633
252	0.482283	75000	0.021275	7.173908
253	0.480670	75000	0.021340	7.195248
254	0.479061	75000	0.021179	7.216427
255	0.477455	75000	0.021133	7.237560
256	0.475852	75000	0.021095	7.258656
257	0.474253	75000	0.021061	7.279716
258	0.472656	75000	0.020989	7.300705
259	0.471063	75000	0.020989	7.321695
260	0.469474	75000	0.020908	7.342603
261	0.467887	75000	0.020852	7.363455
262	0.466304	75000	0.020722	7.384177
263	0.464723	75000	0.020682	7.404859
264	0.463146	75000	0.020590	7.425448
265	0.461573	75000	0.020615	7.446063
266	0.460002	75000	0.020501	7.466564
267	0.458435	75000	0.020432	7.486996
268	0.456871	75000	0.020456	7.507452
269	0.455310	75000	0.020334	7.527786
270	0.453752	75000	0.020309	7.548095
271	0.452198	75000	0.020279	7.568374
272	0.450647	75000	0.020218	7.588592
273	0.449098	75000	0.020118	7.608710
274	0.447554	75000	0.020098	7.628808
275	0.446012	75000	0.020061	7.648868
276	0.444473	75000	0.020016	7.668885
