Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.096000	7.082143	472	0.016949	1.141416	528	0.166667	0.096000	0.097951	
1000	0.139000	5.934805	503	0.023857	0.780329	497	0.255533	0.139000	0.111629	
1000	0.120000	4.736518	515	0.038835	0.780329	485	0.206186	0.120000	0.113722	
1000	0.120000	4.707562	518	0.021236	0.780329	482	0.226141	0.120000	0.114977	
1000	0.129000	2.887641	476	0.052521	0.780329	524	0.198473	0.129000	0.117314	
1000	0.156000	1.651524	477	0.073375	0.728481	523	0.231358	0.156000	0.122840	
1000	0.190000	1.042928	523	0.135755	0.728481	477	0.249476	0.190000	0.131234	
1000	0.210000	0.674921	472	0.175847	0.728481	528	0.240530	0.210000	0.139984	
1000	0.229000	0.472144	516	0.248062	0.728481	484	0.208678	0.229000	0.148885	
1000	0.247000	0.472144	546	0.245421	0.728481	454	0.248899	0.247000	0.157804	
1000	0.240000	0.472144	469	0.275053	0.728481	531	0.209040	0.240000	0.164653	
1000	0.236000	0.472144	505	0.247525	0.728481	495	0.224242	0.236000	0.170141	
1000	0.242000	0.472144	494	0.224696	0.728481	506	0.258893	0.242000	0.175273	
1000	0.290000	0.472144	486	0.279835	0.728481	514	0.299611	0.290000	0.182921	
1000	0.261000	0.472144	467	0.241970	0.728481	533	0.277674	0.261000	0.187801	
1000	0.259000	0.472144	483	0.238095	0.728481	517	0.278530	0.259000	0.191989	
1000	0.287000	0.472144	470	0.308511	0.728481	530	0.267925	0.287000	0.197267	
1000	0.269000	0.472144	497	0.261569	0.728481	503	0.276342	0.269000	0.201042	
1000	0.258000	0.472144	468	0.250000	0.728481	532	0.265038	0.258000	0.203890	
1000	0.296000	0.472144	537	0.310987	0.728481	463	0.278618	0.296000	0.208276	
1000	0.235000	0.472144	495	0.232323	0.728481	505	0.237624	0.235000	0.209490	
1000	0.239000	0.472144	462	0.246753	0.728481	538	0.232342	0.239000	0.210773	
1000	0.248000	0.472144	522	0.272031	0.728481	478	0.221757	0.248000	0.212324	
1000	0.242000	0.472144	491	0.272912	0.728481	509	0.212181	0.242000	0.213511	
1000	0.228000	0.472144	494	0.246964	0.728481	506	0.209486	0.228000	0.214069	
1000	0.231000	0.472144	465	0.243011	0.728481	535	0.220561	0.231000	0.214696	
1000	0.262000	0.472144	502	0.298805	0.728481	498	0.224900	0.262000	0.216385	
1000	0.240000	0.472144	521	0.234165	0.728481	479	0.246347	0.240000	0.217199	
1000	0.250000	0.472144	507	0.266272	0.728481	493	0.233266	0.250000	0.218293	
1000	0.239000	0.472144	501	0.239521	0.728481	499	0.238477	0.239000	0.218961	
1000	0.239000	0.472144	486	0.248971	0.728481	514	0.229572	0.239000	0.219587	
1000	0.244000	0.472144	493	0.255578	0.728481	507	0.232742	0.244000	0.220327	
1000	0.264000	0.472144	498	0.301205	0.728481	502	0.227092	0.264000	0.221611	
1000	0.244000	0.472144	466	0.285408	0.728481	534	0.207865	0.244000	0.222251	
1000	0.216000	0.472144	522	0.216475	0.728481	478	0.215481	0.216000	0.222077	
1000	0.241000	0.472144	505	0.265347	0.728481	495	0.216162	0.241000	0.222589	
