Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.060000	1.278179	518	0.081081	3.715559	482	0.037344	0.060000	0.090955	
1000	0.130000	0.652166	466	0.203863	2.765747	534	0.065543	0.130000	0.103965	
1000	0.154000	0.652166	450	0.228889	2.189736	550	0.092727	0.154000	0.116471	
1000	0.131000	0.652166	453	0.154525	1.462481	547	0.111517	0.131000	0.119376	
1000	0.214000	0.384854	468	0.316239	1.280514	532	0.124060	0.214000	0.135144	
1000	0.238000	0.384854	527	0.314991	1.132174	473	0.152220	0.238000	0.149836	
1000	0.285000	0.384854	483	0.287785	0.685850	517	0.282398	0.285000	0.166729	
1000	0.306000	0.384854	485	0.327835	0.685850	515	0.285437	0.306000	0.182202	
1000	0.269000	0.384854	484	0.301653	0.685850	516	0.238372	0.269000	0.190881	
1000	0.312000	0.384854	498	0.357430	0.685850	502	0.266932	0.312000	0.201891	
1000	0.289000	0.384854	520	0.332692	0.685850	480	0.241667	0.289000	0.209149	
1000	0.297000	0.384854	463	0.317495	0.685850	537	0.279330	0.297000	0.215906	
1000	0.293000	0.384854	495	0.315152	0.685850	505	0.271287	0.293000	0.221413	
1000	0.265000	0.384854	502	0.298805	0.685850	498	0.230924	0.265000	0.224318	
1000	0.282000	0.384854	508	0.309055	0.685850	492	0.254065	0.282000	0.227923	
1000	0.293000	0.384854	487	0.336756	0.685850	513	0.251462	0.293000	0.231751	
1000	0.280000	0.384854	472	0.302966	0.685850	528	0.259470	0.280000	0.234431	
1000	0.265000	0.384854	527	0.316888	0.685850	473	0.207188	0.265000	0.236040	
1000	0.280000	0.384854	504	0.317460	0.685850	496	0.241935	0.280000	0.238238	
1000	0.283000	0.384854	512	0.310547	0.685850	488	0.254098	0.283000	0.240370	
1000	0.290000	0.384854	481	0.324324	0.685850	519	0.258189	0.290000	0.242625	
1000	0.259000	0.384854	513	0.282651	0.685850	487	0.234086	0.259000	0.243337	
1000	0.285000	0.384854	508	0.297244	0.685850	492	0.272358	0.285000	0.245073	
1000	0.275000	0.384854	500	0.350000	0.685850	500	0.200000	0.275000	0.246270	
1000	0.258000	0.384854	521	0.278311	0.685850	479	0.235908	0.258000	0.246721	
1000	0.267000	0.384854	496	0.288306	0.685850	504	0.246032	0.267000	0.247472	
1000	0.279000	0.384854	487	0.322382	0.685850	513	0.237817	0.279000	0.248598	
1000	0.272000	0.384854	495	0.303030	0.685850	505	0.241584	0.272000	0.249405	
1000	0.286000	0.384854	497	0.305835	0.685850	503	0.266402	0.286000	0.250625	
1000	0.267000	0.384854	497	0.299799	0.685850	503	0.234592	0.267000	0.251153	
1000	0.271000	0.384854	511	0.266145	0.685850	489	0.276074	0.271000	0.251773	
1000	0.280000	0.384854	502	0.332669	0.685850	498	0.226908	0.280000	0.252629	
1000	0.307000	0.384854	514	0.321012	0.685850	486	0.292181	0.307000	0.254228	
1000	0.288000	0.384854	495	0.317172	0.685850	505	0.259406	0.288000	0.255193	
1000	0.283000	0.384854	504	0.327381	0.685850	496	0.237903	0.283000	0.255965	
1000	0.302000	0.384854	473	0.338266	0.685850	527	0.269450	0.302000	0.257209	
1000	0.299000	0.384854	487	0.324435	0.685850	513	0.274854	0.299000	0.258309	
1000	0.330000	0.384854	514	0.348249	0.685850	486	0.310700	0.330000	0.260147	
1000	0.272000	0.384854	504	0.301587	0.685850	496	0.241935	0.272000	0.260443	
1000	0.295000	0.384854	525	0.314286	0.685850	475	0.273684	0.295000	0.261286	
1000	0.302000	0.384854	484	0.332645	0.685850	516	0.273256	0.302000	0.262256	
1000	0.260000	0.384854	494	0.265182	0.685850	506	0.254941	0.260000	0.262203	
1000	0.273000	0.384854	479	0.302714	0.685850	521	0.245681	0.273000	0.262449	
1000	0.265000	0.384854	512	0.283203	0.685850	488	0.245902	0.265000	0.262505	
1000	0.310000	0.384854	481	0.338877	0.685850	519	0.283237	0.310000	0.263538	
1000	0.283000	0.384854	487	0.332649	0.685850	513	0.235867	0.283000	0.263952	
1000	0.293000	0.384854	456	0.335526	0.685850	544	0.257353	0.293000	0.264557	
1000	0.293000	0.384854	487	0.308008	0.685850	513	0.278752	0.293000	0.265137	
1000	0.290000	0.384854	479	0.342380	0.685850	521	0.241843	0.290000	0.265635	
1000	0.285000	0.384854	488	0.311475	0.685850	512	0.259766	0.285000	0.266014	
1000	0.299000	0.384854	499	0.324649	0.685850	501	0.273453	0.299000	0.266649	
1000	0.276000	0.384854	513	0.317739	0.685850	487	0.232033	0.276000	0.266825	
1000	0.289000	0.384854	515	0.330097	0.685850	485	0.245361	0.289000	0.267236	
1000	0.265000	0.384854	502	0.326693	0.685850	498	0.202811	0.265000	0.267195	
1000	0.280000	0.384854	518	0.322394	0.685850	482	0.234440	0.280000	0.267424	
1000	0.296000	0.384854	512	0.320312	0.685850	488	0.270492	0.296000	0.267925	
1000	0.272000	0.384854	520	0.309615	0.685850	480	0.231250	0.272000	0.267995	
1000	0.284000	0.384854	473	0.306554	0.685850	527	0.263757	0.284000	0.268267	
1000	0.296000	0.384854	487	0.328542	0.685850	513	0.265107	0.296000	0.268729	
1000	0.275000	0.384854	511	0.305284	0.685850	489	0.243354	0.275000	0.268832	
1000	0.283000	0.384854	451	0.310421	0.685850	549	0.260474	0.283000	0.269060	
1000	0.284000	0.384854	514	0.324903	0.685850	486	0.240741	0.284000	0.269297	
1000	0.326000	0.384854	510	0.372549	0.685850	490	0.277551	0.326000	0.270183	
1000	0.301000	0.384854	507	0.333333	0.685850	493	0.267748	0.301000	0.270657	
1000	0.300000	0.384854	505	0.344554	0.685850	495	0.254545	0.300000	0.271102	
1000	0.298000	0.384854	496	0.322581	0.685850	504	0.273810	0.298000	0.271503	
1000	0.278000	0.384854	520	0.313462	0.685850	480	0.239583	0.278000	0.271599	
1000	0.284000	0.384854	486	0.333333	0.685850	514	0.237354	0.284000	0.271779	
1000	0.290000	0.384854	466	0.326180	0.685850	534	0.258427	0.290000	0.272039	
1000	0.281000	0.384854	491	0.338086	0.685850	509	0.225933	0.281000	0.272165	
1000	0.270000	0.384854	514	0.303502	0.685850	486	0.234568	0.270000	0.272135	
1000	0.287000	0.384854	469	0.313433	0.685850	531	0.263653	0.287000	0.272339	
1000	0.276000	0.384854	507	0.299803	0.685850	493	0.251521	0.276000	0.272388	
1000	0.278000	0.384854	503	0.308151	0.685850	497	0.247485	0.278000	0.272463	
1000	0.273000	0.384854	501	0.325349	0.685850	499	0.220441	0.273000	0.272470	
1000	0.316000	0.384854	496	0.348790	0.685850	504	0.283730	0.316000	0.273035	
1000	0.302000	0.384854	530	0.343396	0.685850	470	0.255319	0.302000	0.273407	
1000	0.304000	0.384854	507	0.327416	0.685850	493	0.279919	0.304000	0.273794	
1000	0.308000	0.384854	501	0.351297	0.685850	499	0.264529	0.308000	0.274222	
1000	0.263000	0.384854	470	0.300000	0.685850	530	0.230189	0.263000	0.274083	
1000	0.283000	0.384854	499	0.310621	0.685850	501	0.255489	0.283000	0.274192	
1000	0.290000	0.384854	497	0.313883	0.685850	503	0.266402	0.290000	0.274382	
1000	0.265000	0.384854	496	0.298387	0.685850	504	0.232143	0.265000	0.274271	
1000	0.286000	0.384854	514	0.317121	0.685850	486	0.253086	0.286000	0.274409	
1000	0.293000	0.384854	499	0.328657	0.685850	501	0.257485	0.293000	0.274625	
1000	0.275000	0.384854	515	0.302913	0.685850	485	0.245361	0.275000	0.274629	
1000	0.271000	0.384854	510	0.284314	0.685850	490	0.257143	0.271000	0.274588	
1000	0.306000	0.384854	549	0.344262	0.685850	451	0.259424	0.306000	0.274941	
1000	0.302000	0.384854	464	0.336207	0.685850	536	0.272388	0.302000	0.275241	
1000	0.292000	0.384854	501	0.313373	0.685850	499	0.270541	0.292000	0.275426	
1000	0.298000	0.384854	546	0.360806	0.685850	454	0.222467	0.298000	0.275671	
1000	0.303000	0.384854	489	0.321063	0.685850	511	0.285714	0.303000	0.275965	
1000	0.268000	0.384854	502	0.310757	0.685850	498	0.224900	0.268000	0.275880	
1000	0.281000	0.384854	530	0.347170	0.685850	470	0.206383	0.281000	0.275934	
1000	0.274000	0.384854	476	0.327731	0.685850	524	0.225191	0.274000	0.275914	
1000	0.264000	0.384854	504	0.315476	0.685850	496	0.211694	0.264000	0.275791	
1000	0.303000	0.384854	512	0.316406	0.685850	488	0.288934	0.303000	0.276069	
1000	0.294000	0.384854	462	0.361472	0.685850	538	0.236059	0.294000	0.276250	
1000	0.284000	0.384854	491	0.291242	0.685850	509	0.277014	0.284000	0.276327	
1000	0.299000	0.384854	507	0.323471	0.685850	493	0.273834	0.299000	0.276552	
1000	0.287000	0.384854	493	0.322515	0.685850	507	0.252465	0.287000	0.276654	
1000	0.307000	0.384854	499	0.332665	0.685850	501	0.281437	0.307000	0.276949	
1000	0.287000	0.384854	514	0.332685	0.685850	486	0.238683	0.287000	0.277045	
1000	0.277000	0.384854	501	0.293413	0.685850	499	0.260521	0.277000	0.277045	
1000	0.279000	0.384854	495	0.280808	0.685850	505	0.277228	0.279000	0.277063	
1000	0.283000	0.384854	528	0.312500	0.685850	472	0.250000	0.283000	0.277119	
1000	0.293000	0.384854	516	0.335271	0.685850	484	0.247934	0.293000	0.277266	
1000	0.308000	0.384854	516	0.358527	0.685850	484	0.254132	0.308000	0.277548	
1000	0.292000	0.384854	502	0.346614	0.685850	498	0.236948	0.292000	0.277679	
1000	0.269000	0.384854	505	0.314851	0.685850	495	0.222222	0.269000	0.277601	
1000	0.297000	0.384854	522	0.325670	0.685850	478	0.265690	0.297000	0.277774	
1000	0.260000	0.384854	492	0.268293	0.685850	508	0.251969	0.260000	0.277617	
1000	0.281000	0.384854	514	0.313230	0.685850	486	0.246914	0.281000	0.277647	
1000	0.269000	0.384854	486	0.312757	0.685850	514	0.227626	0.269000	0.277571	
1000	0.275000	0.384854	514	0.322957	0.685850	486	0.224280	0.275000	0.277549	
1000	0.252000	0.384854	519	0.292871	0.685850	481	0.207900	0.252000	0.277331	
1000	0.289000	0.384854	488	0.299180	0.685850	512	0.279297	0.289000	0.277430	
1000	0.306000	0.384854	495	0.339394	0.685850	505	0.273267	0.306000	0.277670	
1000	0.294000	0.384854	497	0.309859	0.685850	503	0.278330	0.294000	0.277806	
1000	0.309000	0.384854	498	0.327309	0.685850	502	0.290837	0.309000	0.278064	
1000	0.311000	0.384854	478	0.343096	0.685850	522	0.281609	0.311000	0.278334	
1000	0.311000	0.384854	501	0.353293	0.685850	499	0.268537	0.311000	0.278599	
1000	0.274000	0.384854	508	0.312992	0.685850	492	0.233740	0.274000	0.278562	
1000	0.276000	0.384854	509	0.306483	0.685850	491	0.244399	0.276000	0.278542	
1000	0.281000	0.384854	498	0.295181	0.685850	502	0.266932	0.281000	0.278561	
1000	0.310000	0.384854	454	0.376652	0.685850	546	0.254579	0.310000	0.278809	
1000	0.284000	0.384854	489	0.300613	0.685850	511	0.268102	0.284000	0.278849	
1000	0.255000	0.384854	515	0.285437	0.685850	485	0.222680	0.255000	0.278665	
1000	0.303000	0.384854	510	0.337255	0.685850	490	0.267347	0.303000	0.278852	
1000	0.257000	0.384854	513	0.261209	0.685850	487	0.252567	0.257000	0.278685	
1000	0.294000	0.384854	486	0.320988	0.685850	514	0.268482	0.294000	0.278801	
1000	0.295000	0.384854	499	0.322645	0.685850	501	0.267465	0.295000	0.278923	
1000	0.302000	0.384854	512	0.330078	0.685850	488	0.272541	0.302000	0.279095	
1000	0.249000	0.384854	475	0.250526	0.685850	525	0.247619	0.249000	0.278872	
1000	0.303000	0.384854	462	0.359307	0.685850	538	0.254647	0.303000	0.279049	
1000	0.262000	0.384854	484	0.305785	0.685850	516	0.220930	0.262000	0.278925	
1000	0.265000	0.384854	479	0.292276	0.685850	521	0.239923	0.265000	0.278824	
1000	0.268000	0.384854	507	0.291913	0.685850	493	0.243408	0.268000	0.278746	
1000	0.287000	0.384854	523	0.326960	0.685850	477	0.243187	0.287000	0.278805	
1000	0.294000	0.384854	493	0.318458	0.685850	507	0.270217	0.294000	0.278913	
1000	0.298000	0.384854	522	0.316092	0.685850	478	0.278243	0.298000	0.279047	
1000	0.264000	0.384854	505	0.295050	0.685850	495	0.232323	0.264000	0.278942	
1000	0.309000	0.384854	498	0.317269	0.685850	502	0.300797	0.309000	0.279151	
1000	0.277000	0.384854	483	0.310559	0.685850	517	0.245648	0.277000	0.279136	
1000	0.266000	0.384854	471	0.295117	0.685850	529	0.240076	0.266000	0.279046	
1000	0.263000	0.384854	479	0.275574	0.685850	521	0.251440	0.263000	0.278937	
1000	0.307000	0.384854	530	0.352830	0.685850	470	0.255319	0.307000	0.279126	
1000	0.283000	0.384854	531	0.325800	0.685850	469	0.234542	0.283000	0.279152	
1000	0.300000	0.384854	524	0.309160	0.685850	476	0.289916	0.300000	0.279291	
1000	0.291000	0.384854	491	0.317719	0.685850	509	0.265226	0.291000	0.279369	
1000	0.293000	0.384854	496	0.314516	0.685850	504	0.271825	0.293000	0.279459	
1000	0.269000	0.384854	495	0.284848	0.685850	505	0.253465	0.269000	0.279390	
1000	0.316000	0.384854	525	0.342857	0.685850	475	0.286316	0.316000	0.279628	
1000	0.276000	0.384854	497	0.321932	0.685850	503	0.230616	0.276000	0.279605	
1000	0.301000	0.384854	495	0.357576	0.685850	505	0.245545	0.301000	0.279742	
1000	0.302000	0.384854	470	0.327660	0.685850	530	0.279245	0.302000	0.279884	
1000	0.292000	0.384854	548	0.291971	0.685850	452	0.292035	0.292000	0.279960	
1000	0.271000	0.384854	473	0.298097	0.685850	527	0.246679	0.271000	0.279904	
1000	0.263000	0.384854	483	0.306418	0.685850	517	0.222437	0.263000	0.279798	
1000	0.263000	0.384854	518	0.306950	0.685850	482	0.215768	0.263000	0.279694	
1000	0.281000	0.384854	519	0.315992	0.685850	481	0.243243	0.281000	0.279702	
1000	0.253000	0.384854	514	0.280156	0.685850	486	0.224280	0.253000	0.279538	
1000	0.283000	0.384854	479	0.313152	0.685850	521	0.255278	0.283000	0.279559	
1000	0.281000	0.384854	492	0.288618	0.685850	508	0.273622	0.281000	0.279568	
1000	0.252000	0.384854	469	0.292111	0.685850	531	0.216573	0.252000	0.279402	
1000	0.287000	0.384854	500	0.292000	0.685850	500	0.282000	0.287000	0.279447	
1000	0.273000	0.384854	465	0.316129	0.685850	535	0.235514	0.273000	0.279409	
1000	0.269000	0.384854	514	0.301556	0.685850	486	0.234568	0.269000	0.279347	
1000	0.290000	0.384854	512	0.296875	0.685850	488	0.282787	0.290000	0.279410	
1000	0.273000	0.384854	525	0.308571	0.685850	475	0.233684	0.273000	0.279373	
1000	0.306000	0.384854	482	0.358921	0.685850	518	0.256757	0.306000	0.279527	
1000	0.288000	0.384854	499	0.324649	0.685850	501	0.251497	0.288000	0.279576	
