Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_number_aspect.txt
Log File Name:                   features_number_aspect.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1982023578
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_number_aspect.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-951.563895	1	-42.984794930703	6.157187847547	606.865185454229	9.194865246410	-0.983880566694	
3000	-806.967784	1	-23.594877105668	5.606205442944	184.414560698747	7.418884599479	-0.979862660933	
4000	92.607816	1	0.223990106992	0.913929577810	0.116587733971	0.294063177497	-0.037876790500	
5000	92.609038	1	0.214333553371	0.904548569868	0.116546607366	0.294160392403	-0.037714871656	
6000	92.279047	1	0.208239441803	0.978608421079	0.116551863605	0.294950451482	-0.038011052795	
7000	92.518331	1	0.230984325513	0.939896068512	0.116655389405	0.294092533824	-0.037164534753	
8000	92.045933	1	0.235755485502	0.866704652713	0.116719793621	0.295133680261	-0.039933099921	
9000	90.554579	1	0.161793923853	0.831962687638	0.117385381948	0.296847164447	-0.029096441098	
10000	92.597644	1	0.198404072583	0.923921893064	0.116611289861	0.294022573001	-0.037619670513	
11000	91.728550	1	0.207192464930	0.842443805853	0.116555197690	0.296247551292	-0.036733610723	
12000	92.140493	1	0.185426029844	0.971998159012	0.116785974880	0.294734959789	-0.039808291686	
13000	92.253281	1	0.180554570237	0.905234953010	0.116879818378	0.294151338962	-0.036478452842	
14000	90.179507	1	0.208846809569	0.789151482662	0.116550256166	0.300038195080	-0.036390610006	
15000	92.460361	1	0.193264043923	0.902101250916	0.116667375059	0.294195166395	-0.036847288675	
16000	92.040078	1	0.255330003422	0.930005840054	0.117138978457	0.294029653139	-0.037203966417	
17000	88.100277	1	0.164271295456	1.097041768831	0.117305504764	0.303626689620	-0.051255423160	
18000	91.339140	1	0.247290047850	1.005875392488	0.116936650004	0.296139700351	-0.032574038946	
19000	91.990980	1	0.253902798858	0.895835369817	0.117099993574	0.294301950638	-0.039676255052	
20000	92.307055	1	0.196773986370	0.881004570843	0.116627216086	0.294656435115	-0.036380724106	
21000	90.961972	1	0.261766246871	1.003603678834	0.117331244563	0.296022156466	-0.030682240150	
22000	90.899471	1	0.216567158204	1.039556551113	0.116550729052	0.298276187957	-0.036602413787	
23000	88.545055	1	0.239236627297	1.094587508699	0.116776125266	0.303354340751	-0.029248939473	
24000	91.265008	1	0.269945549582	0.875320669722	0.117614450968	0.294830205711	-0.042429507860	
25000	92.453944	1	0.188783508493	0.914462268409	0.116730280220	0.294059374386	-0.037181379853	
26000	92.195326	1	0.236481853448	0.969156203493	0.116730897034	0.294651047893	-0.035750889852	
27000	92.455047	1	0.187915913700	0.932403502975	0.116743969682	0.294039055808	-0.037941795284	
28000	92.569448	1	0.218499755437	0.950012457973	0.116556913319	0.294222662526	-0.037390153428	
29000	91.492482	1	0.260927034236	0.975706890548	0.117304647963	0.294852363821	-0.033218079981	
30000	92.601634	1	0.221143779476	0.941988287870	0.116569308764	0.294113987524	-0.037399956844	
31000	91.272007	1	0.259157038344	0.992575908758	0.117250054347	0.295499242079	-0.031974109743	
32000	91.076197	1	0.277896607316	0.954643127967	0.117931456976	0.294304432147	-0.034063911703	
33000	92.613885	1	0.220707956125	0.909601340296	0.116566952655	0.294100919745	-0.037874453227	
34000	91.949244	1	0.244426724181	0.870566594706	0.116874744690	0.294991684528	-0.040588919713	
35000	91.426306	1	0.236508564951	1.012009822464	0.116731311892	0.296473877746	-0.033848855377	
36000	92.046134	1	0.169918064970	0.931516362523	0.117138354228	0.294035141075	-0.038039717440	
37000	92.160953	1	0.184011241329	0.885752567258	0.116811639111	0.294527382626	-0.035609789979	
38000	92.277014	1	0.246063701191	0.914708059465	0.116909483526	0.294057681793	-0.038214607351	
39000	92.568799	1	0.215297602375	0.898396101020	0.116547988368	0.294255225151	-0.037772486390	
40000	90.857090	1	0.146517817071	0.979025911364	0.117966109045	0.294965015502	-0.043578588006	
41000	89.843710	1	0.293082303080	0.850887973522	0.118651148830	0.295816432643	-0.047587494443	
42000	92.250710	1	0.180397882559	0.948814554128	0.116883092975	0.294203779888	-0.038930904270	
43000	91.718848	1	0.218500110738	0.841412584638	0.116556914679	0.296303377679	-0.038377296884	
44000	92.539607	1	0.194131644350	0.935361390910	0.116656702995	0.294055806310	-0.037971986293	
45000	92.396509	1	0.202937990309	0.967800214418	0.116576079898	0.294612861723	-0.038342428966	
46000	92.461521	1	0.188277277491	0.932081832559	0.116738208372	0.294037577211	-0.037924503735	
47000	91.020085	1	0.170525194292	1.016061043995	0.117121617136	0.296707988289	-0.044070539124	
48000	91.576107	1	0.219064007127	1.014258976640	0.116559177009	0.296602533160	-0.036490166681	
49000	87.742180	1	0.139388027461	0.775646439848	0.118289094401	0.301292123624	-0.018070692753	
50000	87.273221	1	0.097895003967	0.844498849822	0.120824769823	0.296138361324	-0.020947313172	
51000	92.189481	1	0.179871959470	0.898146045559	0.116894200908	0.294259600021	-0.036038723277	
52000	92.091276	1	0.250366684574	0.948991745594	0.117009109446	0.294206514160	-0.035999265993	
53000	92.596858	1	0.205573107884	0.905746061227	0.116561758459	0.294144796421	-0.037410922421	
54000	92.379765	1	0.215123875890	0.970981643769	0.116547694860	0.294704342689	-0.037415793388	
55000	92.643971	1	0.214288510044	0.912309568284	0.116546557621	0.294075877406	-0.037695825169	
56000	92.159657	1	0.249481777731	0.904585643228	0.116987637918	0.294159895575	-0.038912057982	
57000	90.991972	1	0.142450318890	0.938366017660	0.118146319956	0.294078646727	-0.039016528868	
58000	92.656173	1	0.215731081663	0.917558601336	0.116548806307	0.294040921992	-0.037701549386	
59000	92.422550	1	0.239386211375	0.921382915405	0.116778722420	0.294026737091	-0.037801779398	
60000	92.600622	1	0.218060678216	0.945249380746	0.116555295053	0.294153103380	-0.037459552598	
61000	90.362267	1	0.277268987679	1.003089041237	0.117904939460	0.295995994152	-0.028550499731	
62000	89.915343	1	0.158804333487	0.813055181709	0.117487088817	0.298109520596	-0.026770390686	
63000	91.100010	1	0.205770313416	1.033074229607	0.116560868295	0.297807667656	-0.038707475282	
64000	92.124385	1	0.231467791141	0.868109426731	0.116661241503	0.295080907218	-0.039460919052	
65000	90.856000	1	0.271241591224	0.852069000217	0.117663319175	0.295759831353	-0.044842716897	
66000	92.354446	1	0.182963972736	0.916883383658	0.116831474936	0.294044414347	-0.037182786663	
67000	91.767376	1	0.262901171864	0.939819859141	0.117367941490	0.294091806104	-0.036235954014	
68000	90.980264	1	0.274924429149	0.974256426321	0.117808145513	0.294805382695	-0.032073236772	
69000	91.965052	1	0.245160679184	0.973636651229	0.116890104688	0.294785725131	-0.034794298989	
70000	91.589958	1	0.191562814799	0.843426831034	0.116689722305	0.296194977884	-0.034490344044	
71000	90.096097	1	0.183371907950	1.057596980970	0.116823663622	0.299723939172	-0.043985719020	
72000	91.888480	1	0.228631337230	0.995865564296	0.116629077865	0.295646953726	-0.035561623581	
73000	91.693613	1	0.160508218677	0.908459229147	0.117428409750	0.294112910459	-0.035990107086	
74000	91.308743	1	0.274133603043	0.945449120103	0.117776302888	0.294155723965	-0.035276779812	
75000	92.436975	1	0.213093493044	0.966413854755	0.116545719708	0.294575056492	-0.037591388435	
76000	92.483757	1	0.190675652741	0.938505728409	0.116702122679	0.294079851614	-0.038145905937	
77000	89.877106	1	0.296176218326	0.862773442025	0.118816167428	0.295288184551	-0.046271821974	
78000	92.360022	1	0.183084099269	0.935763079522	0.116829163461	0.294058519871	-0.038162012904	
79000	92.219676	1	0.235531018765	0.879158050560	0.116716431774	0.294710583704	-0.039438941841	
80000	92.404893	1	0.190979504234	0.954083237106	0.116697817941	0.294293804347	-0.038716911801	
81000	89.953730	1	0.133617966676	0.997619030389	0.118574685323	0.295728562959	-0.047167063500	
82000	91.315065	1	0.240077033471	0.833192641523	0.116790905597	0.296773100345	-0.041859313346	
83000	92.665398	1	0.214630314551	0.923980780444	0.116546968088	0.294022526165	-0.037665541938	
84000	92.415591	1	0.185612645643	0.921720579430	0.116782686846	0.294025941609	-0.037459432238	
85000	91.545127	1	0.179624819415	0.852316104523	0.116899482835	0.295748103504	-0.033291608426	
86000	92.491000	1	0.221699548940	0.891538301949	0.116572492509	0.294389940815	-0.038170155194	
87000	91.892839	1	0.235828698755	0.857530147531	0.116720897225	0.295509897878	-0.040287885862	
88000	92.508753	1	0.213121695063	0.890925534592	0.116545728782	0.294403466590	-0.037667733653	
89000	88.871539	1	0.106215648027	0.935281864542	0.120226539433	0.294055281522	-0.038938191908	
90000	91.480123	1	0.221016007453	1.017671687280	0.116568605216	0.296804028757	-0.036122187628	
91000	92.614172	1	0.218230058444	0.907199075587	0.116555904468	0.294127124791	-0.037830492009	
92000	91.752736	1	0.174321709335	0.983124882910	0.117022392508	0.295114026454	-0.041397729979	
93000	91.404978	1	0.237870940919	1.011876101031	0.116753086409	0.296466332263	-0.033645272954	
