Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.837000	0.429637	471	0.781316	3.517756	529	0.886578	0.837000	0.851074	
1000	0.812000	0.478766	506	0.745059	4.373065	494	0.880567	0.812000	0.838054	
1000	0.360000	0.660459	499	0.426854	6.708409	501	0.293413	0.360000	0.718570	
1000	0.054000	1.274417	507	0.069034	6.708409	493	0.038540	0.054000	0.585683	
1000	0.071000	1.271515	505	0.120792	5.707786	495	0.020202	0.071000	0.499917	
1000	0.128000	0.669998	499	0.198397	4.223660	501	0.057884	0.128000	0.446793	
1000	0.202000	0.339186	492	0.369919	3.585132	508	0.039370	0.202000	0.416198	
1000	0.230000	0.339186	478	0.368201	2.097999	522	0.103448	0.230000	0.395512	
1000	0.226000	0.339186	487	0.365503	1.766494	513	0.093567	0.226000	0.378562	
1000	0.252000	0.339186	503	0.367793	1.491278	497	0.134809	0.252000	0.367058	
1000	0.229000	0.339186	490	0.324490	1.367708	510	0.137255	0.229000	0.355554	
1000	0.299000	0.339186	479	0.359081	0.870340	521	0.243762	0.299000	0.351204	
1000	0.305000	0.339186	518	0.386100	0.870340	482	0.217842	0.305000	0.347904	
1000	0.298000	0.339186	493	0.409736	0.870340	507	0.189349	0.298000	0.344577	
1000	0.262000	0.403385	499	0.280561	0.815907	501	0.243513	0.262000	0.339416	
1000	0.284000	0.403385	488	0.336066	0.815907	512	0.234375	0.284000	0.336157	
1000	0.286000	0.403385	513	0.313840	0.815907	487	0.256674	0.286000	0.333370	
1000	0.264000	0.403385	487	0.316222	0.815907	513	0.214425	0.264000	0.329719	
1000	0.263000	0.403385	497	0.321932	0.815907	503	0.204771	0.263000	0.326384	
1000	0.288000	0.403385	480	0.308333	0.815907	520	0.269231	0.288000	0.324556	
