Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.228947	0.228947
1	0.995007	75000	0.228590	0.457537
2	0.992517	75000	0.228304	0.685841
3	0.990030	75000	0.227929	0.913770
4	0.987547	75000	0.227527	1.141296
5	0.985067	75000	0.227244	1.368540
6	0.982592	75000	0.226850	1.595390
7	0.980120	75000	0.226480	1.821870
8	0.977652	75000	0.226145	2.048015
9	0.975187	75000	0.225888	2.273903
10	0.972726	75000	0.225486	2.499389
11	0.970269	75000	0.225128	2.724517
12	0.967816	75000	0.224757	2.949274
13	0.965367	75000	0.224445	3.173719
14	0.962921	75000	0.224069	3.397788
15	0.960479	75000	0.223761	3.621549
16	0.958040	75000	0.223345	3.844893
17	0.955606	75000	0.223052	4.067945
18	0.953175	75000	0.222666	4.290611
19	0.950747	75000	0.222390	4.513001
20	0.948324	75000	0.222029	4.735029
21	0.945904	75000	0.221692	4.956722
22	0.943488	75000	0.221242	5.177964
23	0.941076	75000	0.220931	5.398895
24	0.938667	75000	0.220599	5.619493
25	0.936262	75000	0.220277	5.839771
26	0.933861	75000	0.219935	6.059706
27	0.931463	75000	0.219586	6.279292
28	0.929069	75000	0.219220	6.498511
29	0.926679	75000	0.218847	6.717358
30	0.924293	75000	0.218527	6.935885
31	0.921910	75000	0.218156	7.154041
32	0.919531	75000	0.217859	7.371900
33	0.917155	75000	0.217550	7.589450
34	0.914783	75000	0.217106	7.806557
35	0.912415	75000	0.216814	8.023371
36	0.910051	75000	0.216526	8.239897
37	0.907690	75000	0.216169	8.456067
38	0.905333	75000	0.215785	8.671852
39	0.902980	75000	0.215452	8.887304
40	0.900630	75000	0.215068	9.102372
41	0.898284	75000	0.214739	9.317112
42	0.895942	75000	0.214386	9.531497
43	0.893603	75000	0.214071	9.745568
44	0.891268	75000	0.213783	9.959351
45	0.888937	75000	0.213414	10.172765
46	0.886609	75000	0.213075	10.385840
47	0.884285	75000	0.212663	10.598503
48	0.881965	75000	0.212433	10.810936
49	0.879648	75000	0.211983	11.022919
50	0.877335	75000	0.211714	11.234633
51	0.875026	75000	0.211376	11.446009
52	0.872720	75000	0.210925	11.656934
53	0.870418	75000	0.210682	11.867616
54	0.868120	75000	0.210317	12.077933
55	0.865825	75000	0.209935	12.287869
56	0.863534	75000	0.209645	12.497514
57	0.861246	75000	0.209279	12.706792
58	0.858962	75000	0.208977	12.915770
59	0.856682	75000	0.208613	13.124383
60	0.854405	75000	0.208289	13.332672
61	0.852132	75000	0.207882	13.540554
62	0.849863	75000	0.207638	13.748192
63	0.847597	75000	0.207231	13.955423
64	0.845335	75000	0.206913	14.162336
65	0.843077	75000	0.206582	14.368918
66	0.840822	75000	0.206237	14.575155
67	0.838571	75000	0.205928	14.781083
68	0.836323	75000	0.205590	14.986673
69	0.834079	75000	0.205258	15.191931
70	0.831839	75000	0.204986	15.396917
71	0.829602	75000	0.204572	15.601490
72	0.827369	75000	0.204164	15.805653
73	0.825140	75000	0.203896	16.009549
74	0.822914	75000	0.203509	16.213059
75	0.820691	75000	0.203155	16.416214
76	0.818473	75000	0.202865	16.619078
77	0.816258	75000	0.202531	16.821609
78	0.814046	75000	0.202195	17.023804
79	0.811838	75000	0.201889	17.225692
80	0.809634	75000	0.201589	17.427281
81	0.807433	75000	0.201192	17.628473
82	0.805236	75000	0.200848	17.829321
83	0.803043	75000	0.200505	18.029826
84	0.800853	75000	0.200219	18.230045
85	0.798667	75000	0.199833	18.429878
86	0.796484	75000	0.199513	18.629391
87	0.794305	75000	0.199167	18.828558
88	0.792129	75000	0.198884	19.027442
89	0.789957	75000	0.198550	19.225992
90	0.787789	75000	0.198172	19.424164
91	0.785624	75000	0.197782	19.621945
92	0.783463	75000	0.197508	19.819453
93	0.781305	75000	0.197143	20.016596
94	0.779151	75000	0.196816	20.213412
