Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.027000	2.762032	507	0.035503	7.466704	493	0.018256	0.027000	0.101949	
1000	0.060000	2.243135	510	0.058824	4.717313	490	0.061224	0.060000	0.087971	
1000	0.070000	1.391476	490	0.071429	4.699425	510	0.068627	0.070000	0.083479	
1000	0.074000	1.166541	487	0.092402	3.791447	513	0.056530	0.074000	0.081584	
1000	0.157000	0.591199	504	0.238095	2.877051	496	0.074597	0.157000	0.094151	
1000	0.144000	0.591199	498	0.190763	1.804056	502	0.097610	0.144000	0.101271	
1000	0.246000	0.436604	511	0.287671	1.102312	489	0.202454	0.246000	0.119360	
1000	0.257000	0.436604	475	0.296842	1.102312	525	0.220952	0.257000	0.134652	
1000	0.237000	0.436604	515	0.271845	1.102312	485	0.200000	0.237000	0.144886	
1000	0.228000	0.436604	504	0.261905	1.102312	496	0.193548	0.228000	0.152441	
1000	0.268000	0.436604	501	0.287425	0.831592	499	0.248497	0.268000	0.162070	
1000	0.269000	0.436604	522	0.289272	0.831592	478	0.246862	0.269000	0.170295	
1000	0.285000	0.436604	497	0.263581	0.831592	503	0.306163	0.285000	0.178487	
1000	0.301000	0.436604	499	0.304609	0.831592	501	0.297405	0.301000	0.186654	
1000	0.271000	0.436604	504	0.240079	0.831592	496	0.302419	0.271000	0.191926	
1000	0.275000	0.436604	488	0.268443	0.831592	512	0.281250	0.275000	0.196812	
1000	0.286000	0.436604	481	0.284823	0.831592	519	0.287091	0.286000	0.201767	
1000	0.260000	0.436604	505	0.277228	0.831592	495	0.242424	0.260000	0.204831	
1000	0.285000	0.436604	488	0.282787	0.831592	512	0.287109	0.285000	0.208840	
1000	0.264000	0.436604	496	0.268145	0.831592	504	0.259921	0.264000	0.211466	
1000	0.292000	0.436604	506	0.270751	0.831592	494	0.313765	0.292000	0.215127	
1000	0.298000	0.436604	518	0.305019	0.831592	482	0.290456	0.298000	0.218730	
1000	0.315000	0.436604	513	0.292398	0.831592	487	0.338809	0.315000	0.222741	
