Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.120693	0.120693
1	0.995007	75000	0.120497	0.241190
2	0.992517	75000	0.120331	0.361521
3	0.990030	75000	0.120187	0.481708
4	0.987547	75000	0.120033	0.601741
5	0.985067	75000	0.119776	0.721517
6	0.982592	75000	0.119562	0.841079
7	0.980120	75000	0.119419	0.960497
8	0.977652	75000	0.119234	1.079731
9	0.975187	75000	0.118995	1.198725
10	0.972726	75000	0.118837	1.317562
11	0.970269	75000	0.118668	1.436231
12	0.967816	75000	0.118440	1.554671
13	0.965367	75000	0.118301	1.672972
14	0.962921	75000	0.118028	1.791000
15	0.960479	75000	0.117909	1.908909
16	0.958040	75000	0.117702	2.026611
17	0.955606	75000	0.117500	2.144111
18	0.953175	75000	0.117361	2.261473
19	0.950747	75000	0.117114	2.378586
20	0.948324	75000	0.116953	2.495539
21	0.945904	75000	0.116818	2.612357
22	0.943488	75000	0.116543	2.728900
23	0.941076	75000	0.116458	2.845357
24	0.938667	75000	0.116251	2.961608
25	0.936262	75000	0.116056	3.077664
26	0.933861	75000	0.115806	3.193470
27	0.931463	75000	0.115648	3.309118
28	0.929069	75000	0.115476	3.424594
29	0.926679	75000	0.115334	3.539928
30	0.924293	75000	0.115180	3.655109
31	0.921910	75000	0.114887	3.769995
32	0.919531	75000	0.114743	3.884738
33	0.917155	75000	0.114495	3.999234
34	0.914783	75000	0.114364	4.113598
35	0.912415	75000	0.114223	4.227821
36	0.910051	75000	0.114039	4.341860
37	0.907690	75000	0.113813	4.455673
38	0.905333	75000	0.113693	4.569366
39	0.902980	75000	0.113478	4.682844
40	0.900630	75000	0.113314	4.796158
41	0.898284	75000	0.113149	4.909307
42	0.895942	75000	0.112933	5.022241
43	0.893603	75000	0.112690	5.134931
44	0.891268	75000	0.112545	5.247476
45	0.888937	75000	0.112342	5.359818
46	0.886609	75000	0.112194	5.472011
47	0.884285	75000	0.112030	5.584042
48	0.881965	75000	0.111730	5.695772
49	0.879648	75000	0.111609	5.807381
50	0.877335	75000	0.111434	5.918815
51	0.875026	75000	0.111257	6.030072
52	0.872720	75000	0.111079	6.141151
53	0.870418	75000	0.110888	6.252039
54	0.868120	75000	0.110686	6.362725
55	0.865825	75000	0.110542	6.473267
56	0.863534	75000	0.110373	6.583640
57	0.861246	75000	0.110150	6.693790
58	0.858962	75000	0.109955	6.803745
59	0.856682	75000	0.109778	6.913523
60	0.854405	75000	0.109620	7.023143
61	0.852132	75000	0.109485	7.132628
62	0.849863	75000	0.109220	7.241848
63	0.847597	75000	0.109102	7.350950
64	0.845335	75000	0.108864	7.459814
65	0.843077	75000	0.108719	7.568533
66	0.840822	75000	0.108511	7.677044
67	0.838571	75000	0.108332	7.785376
68	0.836323	75000	0.108111	7.893486
69	0.834079	75000	0.107927	8.001414
70	0.831839	75000	0.107780	8.109193
71	0.829602	75000	0.107645	8.216838
72	0.827369	75000	0.107426	8.324264
73	0.825140	75000	0.107279	8.431543
74	0.822914	75000	0.107068	8.538611
75	0.820691	75000	0.106860	8.645470
76	0.818473	75000	0.106689	8.752159
77	0.816258	75000	0.106561	8.858720
78	0.814046	75000	0.106322	8.965042
79	0.811838	75000	0.106175	9.071217
80	0.809634	75000	0.105961	9.177179
81	0.807433	75000	0.105848	9.283027
82	0.805236	75000	0.105538	9.388565
83	0.803043	75000	0.105463	9.494028
84	0.800853	75000	0.105288	9.599316
85	0.798667	75000	0.105065	9.704382
86	0.796484	75000	0.104881	9.809263
87	0.794305	75000	0.104745	9.914008
88	0.792129	75000	0.104545	10.018554
89	0.789957	75000	0.104335	10.122888
90	0.787789	75000	0.104163	10.227052
91	0.785624	75000	0.104018	10.331070
92	0.783463	75000	0.103891	10.434960
93	0.781305	75000	0.103730	10.538691
94	0.779151	75000	0.103438	10.642129
95	0.777000	75000	0.103256	10.745385
96	0.774853	75000	0.103065	10.848450
97	0.772710	75000	0.102983	10.951433
98	0.770570	75000	0.102866	11.054299
99	0.768433	75000	0.102558	11.156857
100	0.766301	75000	0.102401	11.259258
101	0.764172	75000	0.102222	11.361480
102	0.762046	75000	0.102040	11.463520
103	0.759924	75000	0.101848	11.565368
104	0.757805	75000	0.101707	11.667075
105	0.755690	75000	0.101467	11.768542
106	0.753579	75000	0.101281	11.869823
107	0.751471	75000	0.101116	11.970939
108	0.749366	75000	0.100982	12.071921
109	0.747266	75000	0.100836	12.172756
110	0.745168	75000	0.100613	12.273369
111	0.743075	75000	0.100466	12.373835
112	0.740984	75000	0.100201	12.474036
113	0.738898	75000	0.100120	12.574157
