Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.053000	1.929075	506	0.055336	4.317065	494	0.050607	0.053000	0.114943	
1000	0.088000	1.206405	493	0.103448	3.184717	507	0.072978	0.088000	0.105965	
1000	0.172000	0.603657	532	0.197368	1.660633	468	0.143162	0.172000	0.122469	
1000	0.245000	0.463459	520	0.275000	0.921445	480	0.212500	0.245000	0.146971	
1000	0.262000	0.463459	487	0.258727	0.921445	513	0.265107	0.262000	0.166139	
1000	0.257000	0.463459	468	0.260684	0.921445	532	0.253759	0.257000	0.179117	
1000	0.266000	0.463459	510	0.300000	0.921445	490	0.230612	0.266000	0.189976	
1000	0.278000	0.463459	507	0.293886	0.921445	493	0.261663	0.278000	0.199756	
1000	0.240000	0.463459	511	0.256360	0.921445	489	0.222904	0.240000	0.203780	
1000	0.232000	0.463459	512	0.214844	0.921445	488	0.250000	0.232000	0.206345	
1000	0.273000	0.463459	483	0.265010	0.921445	517	0.280464	0.273000	0.211899	
1000	0.262000	0.463459	493	0.243408	0.921445	507	0.280079	0.262000	0.215753	
1000	0.258000	0.463459	497	0.239437	0.921445	503	0.276342	0.258000	0.218770	
1000	0.254000	0.463459	502	0.284861	0.921445	498	0.222892	0.254000	0.221119	
1000	0.256000	0.463459	504	0.271825	0.921445	496	0.239919	0.256000	0.223299	
1000	0.261000	0.463459	499	0.270541	0.921445	501	0.251497	0.261000	0.225516	
1000	0.266000	0.463459	501	0.263473	0.921445	499	0.268537	0.266000	0.227765	
1000	0.265000	0.463459	454	0.337004	0.921445	546	0.205128	0.265000	0.229725	
1000	0.231000	0.463459	523	0.223709	0.921445	477	0.238994	0.231000	0.229789	
1000	0.259000	0.463459	470	0.276596	0.921445	530	0.243396	0.259000	0.231179	
1000	0.240000	0.463459	493	0.212982	0.921445	507	0.266272	0.240000	0.231580	
1000	0.257000	0.463459	509	0.243615	0.921445	491	0.270876	0.257000	0.232686	
1000	0.266000	0.463459	539	0.272727	0.921445	461	0.258134	0.266000	0.234074	
1000	0.280000	0.463459	521	0.318618	0.921445	479	0.237996	0.280000	0.235911	
1000	0.264000	0.463459	513	0.253411	0.921445	487	0.275154	0.264000	0.236991	
1000	0.280000	0.463459	485	0.274227	0.921445	515	0.285437	0.280000	0.238584	
1000	0.258000	0.463459	466	0.263948	0.921445	534	0.252809	0.258000	0.239277	
1000	0.259000	0.463459	502	0.256972	0.921445	498	0.261044	0.259000	0.239957	
1000	0.260000	0.463459	544	0.264706	0.921445	456	0.254386	0.260000	0.240625	
1000	0.287000	0.463459	469	0.272921	0.921445	531	0.299435	0.287000	0.242121	
1000	0.255000	0.463459	500	0.262000	0.921445	500	0.248000	0.255000	0.242524	
