Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_number_mood.txt
Log File Name:                   features_number_mood.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3235727280
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_number_mood.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	102.452627	1	0.186607049768	0.931555749397	0.116765548041	0.271375902657	-0.057961298659	
3000	102.478631	1	0.209112281446	0.946618201364	0.116549628921	0.271780617979	-0.056678932986	
4000	100.927954	1	0.195950554231	1.010557045249	0.116635918077	0.275141051587	-0.059411621262	
5000	100.900175	1	0.205304047324	0.783894105755	0.116563013760	0.275221272704	-0.054498941996	
6000	102.715825	1	0.215203938116	0.924957356508	0.116547827685	0.271245083104	-0.056293754092	
7000	102.387773	1	0.248122484376	0.903836145820	0.116955647697	0.271016704903	-0.055954432601	
8000	98.431613	1	0.263826559961	1.049591922092	0.117398483144	0.278499598668	-0.041498694890	
9000	102.728954	1	0.221141382423	0.919592837246	0.116569295468	0.271159593350	-0.056085889287	
10000	102.595860	1	0.195381202135	0.869307154421	0.116642192808	0.271268156228	-0.055500824358	
11000	101.894081	1	0.257428280760	0.935524599690	0.117198699394	0.271468226003	-0.053158149944	
12000	102.282189	1	0.249582848338	0.918247938064	0.116990064552	0.271141094896	-0.054944469915	
13000	102.073627	1	0.172574086245	0.939162633353	0.117066903596	0.271561852332	-0.059286879667	
14000	101.224129	1	0.281210784237	0.882398627431	0.118075731839	0.271081564914	-0.057989626413	
15000	102.703169	1	0.229173179885	0.881596573847	0.116634817752	0.271089791494	-0.056907460513	
16000	102.681092	1	0.213073648850	0.929403336375	0.116545713632	0.271330117356	-0.056387598392	
17000	102.225433	1	0.251825387095	0.870896800825	0.117045615240	0.271239554052	-0.058226059010	
18000	102.393448	1	0.241623777143	0.863392457804	0.116819308956	0.271389010531	-0.058163311916	
19000	100.655910	1	0.163315889918	0.998417757449	0.117335836822	0.274298585040	-0.064911651601	
20000	101.965431	1	0.163087143055	0.916597429714	0.117343187115	0.271120000492	-0.057943857461	
21000	101.828926	1	0.250804774109	0.835718389872	0.117019927782	0.272256717461	-0.060521104105	
22000	101.718977	1	0.262153787191	0.849910197754	0.117343681203	0.271749525411	-0.060496017855	
23000	102.753876	1	0.214187180046	0.875232584693	0.116546450536	0.271169894937	-0.056495639029	
24000	101.707648	1	0.270121011642	0.894042880082	0.117621002962	0.271009255402	-0.056579364091	
25000	102.455898	1	0.200551698497	0.851868638400	0.116592945221	0.271689818436	-0.055354058706	
26000	101.646477	1	0.185075071802	0.820578636348	0.116792219850	0.272942180969	-0.052316808876	
27000	102.562116	1	0.192626922983	0.869667071605	0.116675523797	0.271261536398	-0.055363438252	
28000	102.773742	1	0.211300887940	0.878693225127	0.116546204203	0.271123068904	-0.056389894255	
29000	102.245109	1	0.221754931450	0.835437434072	0.116572820775	0.272268080519	-0.057350508006	
30000	101.514200	1	0.272833023447	0.916917298057	0.117724819470	0.271123950189	-0.054053764931	
31000	102.197039	1	0.251576195327	0.866279942219	0.117039280912	0.271327168692	-0.058534248441	
32000	101.764709	1	0.268163353041	0.904053710369	0.117549035753	0.271017578592	-0.055569440839	
33000	102.397851	1	0.185031024887	0.934403711209	0.116793009281	0.271441113927	-0.058188213452	
34000	102.645819	1	0.206597292126	0.864223949332	0.116557410807	0.271370646439	-0.056038273958	
35000	100.154638	1	0.259107292442	1.009518032747	0.117248549423	0.275065193978	-0.046454459413	
36000	102.397434	1	0.190980072090	0.856559667701	0.116697809952	0.271556945621	-0.054725582235	
37000	100.449073	1	0.159852961274	0.802763699672	0.117450752339	0.273939660545	-0.046841750930	
38000	102.387837	1	0.214490734814	0.952356213418	0.116546791291	0.271973602096	-0.056160000238	
39000	102.671230	1	0.191354907491	0.904444011396	0.116692582425	0.271019223095	-0.056670482883	
40000	99.497919	1	0.306428138262	0.838784372598	0.119407457072	0.272136052612	-0.065633220613	
41000	101.995033	1	0.190545525708	0.967239460000	0.116703984582	0.272573958420	-0.059042019638	
42000	102.769169	1	0.220143816089	0.880631600664	0.116564086279	0.271100243559	-0.056669802971	
43000	102.508048	1	0.243006494745	0.888586728772	0.116846017339	0.271032159139	-0.056882648803	
44000	101.986863	1	0.175946922250	0.952251645102	0.116982781521	0.271969893651	-0.059884047236	
45000	101.748520	1	0.226269282960	0.813203022171	0.116606286283	0.273330114471	-0.058296307114	
46000	102.765725	1	0.201351034399	0.910266361168	0.116586883380	0.271055516772	-0.056690273616	
47000	101.227491	1	0.205198013962	1.002553568793	0.116563521391	0.274574847351	-0.057487776906	
48000	100.418113	1	0.184077061857	0.779026270676	0.116810416257	0.275589465196	-0.049772409545	
49000	102.422175	1	0.212167258151	0.845173446704	0.116545709119	0.271904246588	-0.056311861679	
50000	101.151398	1	0.142228234310	0.899820433083	0.118156469197	0.271006106276	-0.056324152301	
51000	102.067564	1	0.227721539166	0.964793409698	0.116619869560	0.272465398376	-0.054431527042	
52000	101.374244	1	0.175301123275	0.983047806567	0.116998315786	0.273369392054	-0.061879720697	
53000	101.545742	1	0.169824025806	0.834096268217	0.117140968101	0.272323030413	-0.051208014362	
54000	101.876465	1	0.244402050842	0.830493174039	0.116874234420	0.272476447996	-0.060113138770	
55000	102.262149	1	0.230232289151	0.840169341813	0.116646588518	0.272083550159	-0.058164088471	
56000	102.719012	1	0.229492698934	0.887111393930	0.116638291995	0.271041677418	-0.056750876160	
57000	99.556670	1	0.115566602726	0.933535999814	0.119607963708	0.271420686772	-0.061941986376	
58000	102.790853	1	0.222998610256	0.899250321801	0.116580717706	0.271005451688	-0.056411433828	
59000	102.447175	1	0.206590614079	0.848128282352	0.116557436946	0.271806017833	-0.055815885371	
60000	101.519578	1	0.180884560745	0.819092025743	0.116872974167	0.273017525249	-0.051616845015	
61000	102.665919	1	0.211127492349	0.931094402479	0.116546361912	0.271365835385	-0.056500884947	
62000	101.472343	1	0.152490871341	0.872818604089	0.117720972860	0.271207169710	-0.053414806976	
63000	102.357854	1	0.249724955300	0.898817236583	0.116993487677	0.271005095702	-0.056268963076	
64000	101.573981	1	0.269100919965	0.858408222854	0.117583191493	0.271508516285	-0.060192674192	
65000	102.628696	1	0.235680061770	0.884486110892	0.116718660341	0.271062115118	-0.056960454656	
66000	102.128386	1	0.257810679682	0.900624743616	0.117209891637	0.271007389214	-0.056052259912	
67000	100.442614	1	0.295986814187	0.873434368817	0.118805886398	0.271197301520	-0.059564119539	
68000	101.946919	1	0.181419694714	0.961847706367	0.116862025685	0.272339827159	-0.059876394213	
69000	102.674137	1	0.232987442209	0.886588418501	0.116680625871	0.271045391260	-0.056827779158	
70000	99.174679	1	0.268486742572	0.758716874031	0.117560752312	0.277291888013	-0.069555181489	
71000	102.822073	1	0.209540229122	0.902631291526	0.116548714275	0.271012423742	-0.056473912953	
72000	102.103191	1	0.217551540429	0.827368496741	0.116553575549	0.272616330368	-0.056913355019	
73000	102.363218	1	0.178819312724	0.923629893517	0.116916973990	0.271222185930	-0.057931533999	
74000	102.100706	1	0.257719700260	0.909829149871	0.117207220185	0.271052025846	-0.055291350988	
75000	100.776465	1	0.286549603321	0.929092566144	0.118323165934	0.271323755674	-0.051786813093	
76000	99.770131	1	0.301984926390	0.839326840449	0.119142798335	0.272115339727	-0.065147740360	
77000	102.348402	1	0.222456772485	0.841691370275	0.116577153571	0.272027290630	-0.057342287733	
78000	102.768876	1	0.199577165501	0.895500020933	0.116600897784	0.271006414159	-0.056380456234	
79000	101.061685	1	0.223037335707	1.005806613023	0.116580979747	0.274799958498	-0.054002505903	
80000	102.800486	1	0.219008716722	0.887460957612	0.116558946043	0.271039294212	-0.056561928562	
81000	100.774624	1	0.290398493298	0.899990329136	0.118513045810	0.271006342227	-0.055664079288	
82000	102.221912	1	0.221977715280	0.834218020309	0.116574161422	0.272317993744	-0.057391105295	
83000	100.832261	1	0.276435981125	0.826981206635	0.117870139778	0.272634110440	-0.064156994156	
84000	102.717582	1	0.222584626419	0.919812121546	0.116577977367	0.271162721032	-0.056021878022	
85000	102.590656	1	0.237608815995	0.882492428918	0.116748803155	0.271080630126	-0.057089069445	
86000	101.320547	1	0.177496893764	0.987242701099	0.116946604620	0.273607752333	-0.061793826886	
87000	101.792422	1	0.164073614668	0.942243473927	0.117311731996	0.271647869745	-0.060128884155	
88000	102.571729	1	0.185158655106	0.901743661271	0.116790725297	0.271009873693	-0.056587731760	
89000	102.502303	1	0.242822931267	0.905568190387	0.116842400078	0.271024513331	-0.055943869458	
90000	102.575149	1	0.214908634640	0.856170434128	0.116547358437	0.271567426169	-0.056563757742	
91000	100.671064	1	0.155406283789	0.817628141752	0.117609749317	0.273093122115	-0.047658890841	
92000	101.841729	1	0.256762458992	0.846765458162	0.117179438727	0.271850617258	-0.060310005435	
93000	102.438390	1	0.245849973641	0.884934577610	0.116904849033	0.271058306398	-0.057135014445	
94000	101.348887	1	0.202460186243	0.998130454259	0.116579160314	0.274279807075	-0.057954831602	
95000	101.397816	1	0.185511733543	0.810119740781	0.116784462031	0.273502770700	-0.051810531403	
96000	102.563894	1	0.240414178052	0.891973216048	0.116796964091	0.271015664410	-0.056680750633	
97000	102.135297	1	0.213343752159	0.966496808517	0.116545818304	0.272540586898	-0.056197157115	
98000	101.696847	1	0.159580511362	0.867369442721	0.117460124364	0.271305243521	-0.053260257605	
99000	102.601148	1	0.230365092309	0.867633158834	0.116648115939	0.271300052520	-0.057370477294	
100000	101.851323	1	0.260064144010	0.855457868412	0.117277778533	0.271586868077	-0.059869308747	
101000	102.576688	1	0.238736004155	0.883943950149	0.116767539037	0.271066894194	-0.057048106849	
102000	102.303651	1	0.210903987503	0.838131288105	0.116546594041	0.272161243021	-0.056141778558	
103000	100.673137	1	0.287463902498	0.933998648161	0.118367399242	0.271431517234	-0.051048743011	
104000	102.249853	1	0.252733080140	0.909085573877	0.117069029780	0.271046374233	-0.055488776081	
105000	102.337600	1	0.208738189546	0.955671910764	0.116550526021	0.272094878546	-0.056743392066	
106000	102.582995	1	0.221527934472	0.935584271959	0.116571487973	0.271469692264	-0.055777313887	
107000	102.724045	1	0.195765709978	0.891939889786	0.116637932103	0.271015790398	-0.056245017891	
