Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.032000	8.134497	471	0.019108	5.874985	529	0.043478	0.032000	0.057971	
1000	0.025000	5.672406	491	0.012220	5.016454	509	0.037328	0.025000	0.046984	
1000	0.046000	5.250698	518	0.030888	3.430392	482	0.062241	0.046000	0.046738	
1000	0.053000	5.111763	490	0.028571	2.788933	510	0.076471	0.053000	0.047990	
1000	0.069000	3.497329	533	0.024390	1.854542	467	0.119914	0.069000	0.051491	
1000	0.099000	1.937919	519	0.065511	1.267918	481	0.135135	0.099000	0.058277	
1000	0.115000	1.722358	494	0.068826	1.149860	506	0.160079	0.115000	0.065367	
1000	0.167000	1.562728	491	0.075356	0.706181	509	0.255403	0.167000	0.076658	
1000	0.175000	1.129614	509	0.106090	0.706181	491	0.246436	0.175000	0.086491	
1000	0.193000	0.968295	497	0.128773	0.706181	503	0.256461	0.193000	0.096173	
1000	0.199000	0.781106	519	0.136802	0.706181	481	0.266112	0.199000	0.104741	
1000	0.258000	0.544557	476	0.239496	0.706181	524	0.274809	0.258000	0.116529	
1000	0.237000	0.544557	509	0.220039	0.706181	491	0.254582	0.237000	0.125134	
1000	0.241000	0.544557	501	0.225549	0.706181	499	0.256513	0.241000	0.132858	
1000	0.245000	0.544557	496	0.219758	0.706181	504	0.269841	0.245000	0.139866	
1000	0.243000	0.544557	488	0.241803	0.706181	512	0.244141	0.243000	0.145933	
1000	0.256000	0.544557	535	0.242991	0.706181	465	0.270968	0.256000	0.152047	
1000	0.263000	0.544557	461	0.245119	0.706181	539	0.278293	0.263000	0.157886	
1000	0.233000	0.544557	507	0.234714	0.706181	493	0.231237	0.233000	0.161642	
1000	0.247000	0.544557	504	0.253968	0.706181	496	0.239919	0.247000	0.165706	
1000	0.245000	0.544557	493	0.253550	0.706181	507	0.236686	0.245000	0.169310	
1000	0.277000	0.544557	516	0.281008	0.706181	484	0.272727	0.277000	0.173992	
1000	0.255000	0.544557	519	0.221580	0.706181	481	0.291060	0.255000	0.177368	
1000	0.249000	0.544557	470	0.206383	0.706181	530	0.286792	0.249000	0.180233	
1000	0.238000	0.544557	488	0.206967	0.706181	512	0.267578	0.238000	0.182455	
1000	0.249000	0.544557	514	0.254864	0.706181	486	0.242798	0.249000	0.184919	
1000	0.277000	0.544557	531	0.274953	0.706181	469	0.279318	0.277000	0.188208	
1000	0.244000	0.544557	472	0.194915	0.706181	528	0.287879	0.244000	0.190131	
1000	0.303000	0.388777	498	0.341365	0.706181	502	0.264940	0.303000	0.193894	
1000	0.285000	0.388777	521	0.314779	0.706181	479	0.252610	0.285000	0.196832	
1000	0.276000	0.388777	487	0.299795	0.706181	513	0.253411	0.276000	0.199306	
1000	0.297000	0.388777	479	0.311065	0.706181	521	0.284069	0.297000	0.202267	
1000	0.290000	0.388777	529	0.311909	0.706181	471	0.265393	0.290000	0.204847	
1000	0.299000	0.388777	501	0.343313	0.706181	499	0.254509	0.299000	0.207537	
1000	0.281000	0.388777	518	0.314672	0.706181	482	0.244813	0.281000	0.209578	
1000	0.302000	0.388777	505	0.308911	0.706181	495	0.294949	0.302000	0.212075	
1000	0.287000	0.388777	484	0.293388	0.706181	516	0.281008	0.287000	0.214047	
1000	0.296000	0.388777	511	0.311155	0.706181	489	0.280164	0.296000	0.216148	
1000	0.287000	0.388777	491	0.303462	0.706181	509	0.271120	0.287000	0.217920	
1000	0.261000	0.388777	483	0.300207	0.706181	517	0.224371	0.261000	0.218970	
1000	0.280000	0.388777	452	0.314159	0.706181	548	0.251825	0.280000	0.220423	
1000	0.303000	0.388777	485	0.317526	0.706181	515	0.289320	0.303000	0.222344	
1000	0.280000	0.388777	484	0.324380	0.706181	516	0.238372	0.280000	0.223654	
1000	0.288000	0.388777	498	0.309237	0.706181	502	0.266932	0.288000	0.225084	
1000	0.280000	0.388777	498	0.295181	0.706181	502	0.264940	0.280000	0.226278	
1000	0.279000	0.388777	524	0.295802	0.706181	476	0.260504	0.279000	0.227399	
1000	0.312000	0.388777	491	0.313646	0.706181	509	0.310413	0.312000	0.229162	
1000	0.294000	0.388777	507	0.311637	0.706181	493	0.275862	0.294000	0.230485	
1000	0.307000	0.388777	485	0.340206	0.706181	515	0.275728	0.307000	0.232015	
1000	0.280000	0.388777	498	0.329317	0.706181	502	0.231076	0.280000	0.232956	
1000	0.317000	0.388777	482	0.352697	0.706181	518	0.283784	0.317000	0.234572	
1000	0.298000	0.388777	468	0.348291	0.706181	532	0.253759	0.298000	0.235769	
1000	0.310000	0.388777	507	0.355030	0.706181	493	0.263692	0.310000	0.237144	
1000	0.296000	0.388777	515	0.306796	0.706181	485	0.284536	0.296000	0.238214	
