Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.035000	2.293100	484	0.043388	7.152332	516	0.027132	0.035000	0.062969	
1000	0.066000	1.814412	485	0.092784	4.401664	515	0.040777	0.066000	0.063979	
1000	0.066000	1.464756	516	0.083333	2.914455	484	0.047521	0.066000	0.064484	
1000	0.082000	1.095937	501	0.111776	2.471832	499	0.052104	0.082000	0.067986	
1000	0.157000	0.576851	510	0.235294	1.350141	490	0.075510	0.157000	0.082820	
1000	0.194000	0.576851	473	0.234672	0.755137	527	0.157495	0.194000	0.098700	
1000	0.275000	0.576851	506	0.241107	0.384004	494	0.309717	0.275000	0.120735	
1000	0.265000	0.576851	469	0.202559	0.384004	531	0.320151	0.265000	0.136763	
1000	0.267000	0.576851	530	0.211321	0.384004	470	0.329787	0.267000	0.149785	
1000	0.264000	0.576851	512	0.205078	0.384004	488	0.325820	0.264000	0.160167	
1000	0.280000	0.576851	475	0.248421	0.384004	525	0.308571	0.280000	0.170152	
1000	0.266000	0.576851	506	0.211462	0.384004	494	0.321862	0.266000	0.177525	
1000	0.274000	0.576851	508	0.188976	0.384004	492	0.361789	0.274000	0.184415	
1000	0.362000	0.298976	516	0.428295	0.384004	484	0.291322	0.362000	0.196254	
1000	0.295000	0.397165	506	0.300395	0.384004	494	0.289474	0.295000	0.202425	
1000	0.333000	0.397165	516	0.319767	0.384004	484	0.347107	0.333000	0.210105	
1000	0.308000	0.397165	535	0.314019	0.384004	465	0.301075	0.308000	0.215544	
1000	0.291000	0.397165	491	0.297352	0.384004	509	0.284872	0.291000	0.219515	
1000	0.289000	0.397165	488	0.313525	0.384004	512	0.265625	0.289000	0.222989	
1000	0.305000	0.397165	510	0.309804	0.384004	490	0.300000	0.305000	0.226894	
1000	0.304000	0.397165	521	0.318618	0.384004	479	0.288100	0.304000	0.230399	
1000	0.305000	0.397165	505	0.302970	0.384004	495	0.307071	0.305000	0.233642	
1000	0.313000	0.397165	495	0.284848	0.384004	505	0.340594	0.313000	0.236948	
1000	0.271000	0.397165	481	0.299376	0.384004	519	0.244701	0.271000	0.238310	
1000	0.305000	0.397165	505	0.299010	0.384004	495	0.311111	0.305000	0.240875	
1000	0.321000	0.397165	535	0.310280	0.384004	465	0.333333	0.321000	0.243843	
1000	0.293000	0.397165	506	0.292490	0.384004	494	0.293522	0.293000	0.245598	
1000	0.324000	0.397165	538	0.306691	0.384004	462	0.344156	0.324000	0.248302	
1000	0.273000	0.397165	481	0.276507	0.384004	519	0.269750	0.273000	0.249125	
1000	0.298000	0.397165	512	0.310547	0.384004	488	0.284836	0.298000	0.250702	
1000	0.319000	0.397165	514	0.319066	0.384004	486	0.318930	0.319000	0.252836	
1000	0.308000	0.397165	499	0.298597	0.384004	501	0.317365	0.308000	0.254507	
1000	0.309000	0.397165	475	0.315789	0.384004	525	0.302857	0.309000	0.256110	
1000	0.305000	0.397165	484	0.280992	0.384004	516	0.327519	0.305000	0.257507	
1000	0.278000	0.397165	474	0.299578	0.384004	526	0.258555	0.278000	0.258076	
1000	0.322000	0.397165	507	0.362919	0.384004	493	0.279919	0.322000	0.259804	
1000	0.280000	0.397165	528	0.274621	0.384004	472	0.286017	0.280000	0.260335	
1000	0.365000	0.397165	489	0.345603	0.384004	511	0.383562	0.365000	0.263019	
1000	0.318000	0.397165	495	0.329293	0.384004	505	0.306931	0.318000	0.264393	
1000	0.308000	0.397165	509	0.296660	0.384004	491	0.319756	0.308000	0.265457	
1000	0.307000	0.397165	474	0.286920	0.384004	526	0.325095	0.307000	0.266446	
1000	0.322000	0.397165	502	0.310757	0.384004	498	0.333333	0.322000	0.267738	
1000	0.320000	0.397165	487	0.347023	0.384004	513	0.294347	0.320000	0.268926	
1000	0.316000	0.397165	514	0.321012	0.384004	486	0.310700	0.316000	0.269972	
1000	0.309000	0.397165	499	0.278557	0.384004	501	0.339321	0.309000	0.270820	
1000	0.318000	0.397165	544	0.306985	0.384004	456	0.331140	0.318000	0.271824	
1000	0.282000	0.397165	498	0.287149	0.384004	502	0.276892	0.282000	0.272036	
1000	0.314000	0.397165	526	0.304183	0.384004	474	0.324895	0.314000	0.272892	
1000	0.315000	0.397165	495	0.290909	0.384004	505	0.338614	0.315000	0.273735	
1000	0.315000	0.397165	515	0.297087	0.384004	485	0.334021	0.315000	0.274544	
1000	0.323000	0.397165	500	0.324000	0.384004	500	0.322000	0.323000	0.275475	
1000	0.297000	0.397165	510	0.266667	0.384004	490	0.328571	0.297000	0.275882	
1000	0.305000	0.397165	521	0.297505	0.384004	479	0.313152	0.305000	0.276421	
1000	0.319000	0.397165	502	0.316733	0.384004	498	0.321285	0.319000	0.277195	
1000	0.319000	0.397165	506	0.300395	0.384004	494	0.338057	0.319000	0.277941	
1000	0.307000	0.397165	488	0.297131	0.384004	512	0.316406	0.307000	0.278451	
1000	0.303000	0.397165	487	0.295688	0.384004	513	0.309942	0.303000	0.278875	
1000	0.334000	0.397165	516	0.329457	0.384004	484	0.338843	0.334000	0.279809	
1000	0.312000	0.397165	514	0.289883	0.384004	486	0.335391	0.312000	0.280345	
1000	0.308000	0.397165	503	0.328032	0.384004	497	0.287726	0.308000	0.280799	
1000	0.297000	0.397165	495	0.272727	0.384004	505	0.320792	0.297000	0.281060	
1000	0.309000	0.397165	449	0.302895	0.384004	551	0.313975	0.309000	0.281503	
1000	0.310000	0.397165	512	0.308594	0.384004	488	0.311475	0.310000	0.281949	
1000	0.295000	0.397165	510	0.280392	0.384004	490	0.310204	0.295000	0.282150	
1000	0.318000	0.397165	495	0.335354	0.384004	505	0.300990	0.318000	0.282693	
1000	0.320000	0.397165	498	0.309237	0.384004	502	0.330677	0.320000	0.283250	
1000	0.334000	0.397165	535	0.317757	0.384004	465	0.352688	0.334000	0.283996	
1000	0.338000	0.397165	479	0.342380	0.384004	521	0.333973	0.338000	0.284778	
1000	0.320000	0.397165	524	0.339695	0.384004	476	0.298319	0.320000	0.285282	
1000	0.322000	0.397165	485	0.296907	0.384004	515	0.345631	0.322000	0.285799	
1000	0.291000	0.397165	486	0.296296	0.384004	514	0.285992	0.291000	0.285871	
1000	0.314000	0.397165	499	0.310621	0.384004	501	0.317365	0.314000	0.286256	
1000	0.308000	0.397165	509	0.308448	0.384004	491	0.307536	0.308000	0.286550	
1000	0.319000	0.397165	493	0.312373	0.384004	507	0.325444	0.319000	0.286983	
1000	0.310000	0.397165	488	0.313525	0.384004	512	0.306641	0.310000	0.287286	
1000	0.297000	0.397165	483	0.318841	0.384004	517	0.276596	0.297000	0.287412	
1000	0.336000	0.397165	526	0.346008	0.384004	474	0.324895	0.336000	0.288035	
1000	0.312000	0.397165	513	0.311891	0.384004	487	0.312115	0.312000	0.288338	
1000	0.329000	0.397165	493	0.365112	0.384004	507	0.293886	0.329000	0.288846	
1000	0.304000	0.397165	472	0.315678	0.384004	528	0.293561	0.304000	0.289033	
1000	0.329000	0.397165	487	0.340862	0.384004	513	0.317739	0.329000	0.289521	
1000	0.309000	0.397165	517	0.272727	0.384004	483	0.347826	0.309000	0.289756	
1000	0.290000	0.397165	491	0.303462	0.384004	509	0.277014	0.290000	0.289758	
1000	0.303000	0.397165	474	0.297468	0.384004	526	0.307985	0.303000	0.289914	
1000	0.310000	0.397165	494	0.315789	0.384004	506	0.304348	0.310000	0.290148	
1000	0.288000	0.397165	506	0.276680	0.384004	494	0.299595	0.288000	0.290123	
1000	0.323000	0.397165	526	0.311787	0.384004	474	0.335443	0.323000	0.290497	
1000	0.294000	0.397165	512	0.306641	0.384004	488	0.280738	0.294000	0.290536	
1000	0.306000	0.397165	521	0.324376	0.384004	479	0.286013	0.306000	0.290708	
1000	0.329000	0.397165	475	0.336842	0.384004	525	0.321905	0.329000	0.291129	
1000	0.332000	0.397165	481	0.338877	0.384004	519	0.325626	0.332000	0.291573	
1000	0.319000	0.397165	497	0.325956	0.384004	503	0.312127	0.319000	0.291868	
1000	0.324000	0.397165	491	0.334012	0.384004	509	0.314342	0.324000	0.292210	
1000	0.301000	0.397165	495	0.290909	0.384004	505	0.310891	0.301000	0.292302	
1000	0.323000	0.397165	499	0.308617	0.384004	501	0.337325	0.323000	0.292622	
1000	0.326000	0.397165	495	0.333333	0.384004	505	0.318812	0.326000	0.292966	
1000	0.338000	0.397165	466	0.321888	0.384004	534	0.352060	0.338000	0.293426	
1000	0.323000	0.397165	534	0.294007	0.384004	466	0.356223	0.323000	0.293724	
1000	0.338000	0.397165	492	0.353659	0.384004	508	0.322835	0.338000	0.294167	
1000	0.321000	0.397165	504	0.307540	0.384004	496	0.334677	0.321000	0.294433	
1000	0.312000	0.397165	493	0.288032	0.384004	507	0.335306	0.312000	0.294605	
1000	0.299000	0.397165	534	0.307116	0.384004	466	0.289700	0.299000	0.294648	
1000	0.324000	0.397165	503	0.316103	0.384004	497	0.331992	0.324000	0.294930	
1000	0.271000	0.397165	493	0.247465	0.384004	507	0.293886	0.271000	0.294702	
1000	0.332000	0.397165	499	0.326653	0.384004	501	0.337325	0.332000	0.295054	
1000	0.309000	0.397165	492	0.313008	0.384004	508	0.305118	0.309000	0.295184	
1000	0.312000	0.397165	518	0.285714	0.384004	482	0.340249	0.312000	0.295340	
1000	0.338000	0.397165	492	0.323171	0.384004	508	0.352362	0.338000	0.295731	
1000	0.344000	0.397165	490	0.346939	0.384004	510	0.341176	0.344000	0.296170	
1000	0.321000	0.397165	496	0.336694	0.384004	504	0.305556	0.321000	0.296394	
1000	0.286000	0.397165	520	0.253846	0.384004	480	0.320833	0.286000	0.296301	
1000	0.310000	0.397165	504	0.289683	0.384004	496	0.330645	0.310000	0.296422	
1000	0.314000	0.397165	488	0.321721	0.384004	512	0.306641	0.314000	0.296576	
1000	0.323000	0.397165	507	0.319527	0.384004	493	0.326572	0.323000	0.296806	
1000	0.306000	0.397165	492	0.304878	0.384004	508	0.307087	0.306000	0.296885	
1000	0.310000	0.397165	463	0.298056	0.384004	537	0.320298	0.310000	0.296997	
1000	0.355000	0.397165	500	0.372000	0.384004	500	0.338000	0.355000	0.297489	
1000	0.329000	0.397165	515	0.330097	0.384004	485	0.327835	0.329000	0.297754	
1000	0.317000	0.397165	498	0.303213	0.384004	502	0.330677	0.317000	0.297914	
1000	0.309000	0.397165	487	0.314168	0.384004	513	0.304094	0.309000	0.298006	
1000	0.325000	0.397165	486	0.314815	0.384004	514	0.334630	0.325000	0.298227	
1000	0.327000	0.397165	509	0.320236	0.384004	491	0.334012	0.327000	0.298461	
