Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.510137	0.510137
1	0.995007	75000	0.509359	1.019496
2	0.992517	75000	0.508610	1.528106
3	0.990030	75000	0.507783	2.035889
4	0.987547	75000	0.507052	2.542941
5	0.985067	75000	0.506324	3.049264
6	0.982592	75000	0.505474	3.554739
7	0.980120	75000	0.504726	4.059464
8	0.977652	75000	0.503961	4.563425
9	0.975187	75000	0.503186	5.066612
10	0.972726	75000	0.502449	5.569061
11	0.970269	75000	0.501689	6.070750
12	0.967816	75000	0.500849	6.571598
13	0.965367	75000	0.500136	7.071735
14	0.962921	75000	0.499334	7.571069
15	0.960479	75000	0.498621	8.069690
16	0.958040	75000	0.497857	8.567547
17	0.955606	75000	0.497117	9.064665
18	0.953175	75000	0.496241	9.560905
19	0.950747	75000	0.495470	10.056376
20	0.948324	75000	0.494711	10.551087
21	0.945904	75000	0.493984	11.045071
22	0.943488	75000	0.493248	11.538319
23	0.941076	75000	0.492449	12.030769
24	0.938667	75000	0.491726	12.522495
25	0.936262	75000	0.490913	13.013407
26	0.933861	75000	0.490224	13.503632
27	0.931463	75000	0.489401	13.993033
28	0.929069	75000	0.488670	14.481702
29	0.926679	75000	0.487890	14.969593
30	0.924293	75000	0.487131	15.456724
31	0.921910	75000	0.486363	15.943086
32	0.919531	75000	0.485610	16.428696
33	0.917155	75000	0.484817	16.913514
34	0.914783	75000	0.484126	17.397640
35	0.912415	75000	0.483381	17.881021
36	0.910051	75000	0.482593	18.363614
37	0.907690	75000	0.481799	18.845414
38	0.905333	75000	0.481048	19.326461
39	0.902980	75000	0.480324	19.806785
40	0.900630	75000	0.479565	20.286350
41	0.898284	75000	0.478805	20.765155
42	0.895942	75000	0.477987	21.243142
43	0.893603	75000	0.477282	21.720424
44	0.891268	75000	0.476551	22.196974
45	0.888937	75000	0.475817	22.672791
46	0.886609	75000	0.475032	23.147823
47	0.884285	75000	0.474269	23.622092
48	0.881965	75000	0.473523	24.095614
49	0.879648	75000	0.472689	24.568304
50	0.877335	75000	0.471993	25.040297
51	0.875026	75000	0.471253	25.511550
52	0.872720	75000	0.470505	25.982055
53	0.870418	75000	0.469664	26.451719
54	0.868120	75000	0.468996	26.920715
55	0.865825	75000	0.468165	27.388880
56	0.863534	75000	0.467482	27.856362
57	0.861246	75000	0.466749	28.323111
58	0.858962	75000	0.465932	28.789043
59	0.856682	75000	0.465309	29.254352
60	0.854405	75000	0.464422	29.718774
61	0.852132	75000	0.463750	30.182523
62	0.849863	75000	0.463057	30.645580
63	0.847597	75000	0.462245	31.107825
64	0.845335	75000	0.461521	31.569346
65	0.843077	75000	0.460656	32.030002
66	0.840822	75000	0.460054	32.490056
67	0.838571	75000	0.459364	32.949419
68	0.836323	75000	0.458511	33.407930
69	0.834079	75000	0.457780	33.865710
70	0.831839	75000	0.457032	34.322742
71	0.829602	75000	0.456281	34.779023
72	0.827369	75000	0.455571	35.234594
73	0.825140	75000	0.454862	35.689456
74	0.822914	75000	0.454058	36.143514
75	0.820691	75000	0.453238	36.596752
76	0.818473	75000	0.452574	37.049326
77	0.816258	75000	0.451848	37.501173
78	0.814046	75000	0.451048	37.952221
79	0.811838	75000	0.450306	38.402527
80	0.809634	75000	0.449641	38.852168
81	0.807433	75000	0.448848	39.301016
82	0.805236	75000	0.448135	39.749151
83	0.803043	75000	0.447438	40.196589
84	0.800853	75000	0.446609	40.643198
85	0.798667	75000	0.445934	41.089132
86	0.796484	75000	0.445137	41.534269
87	0.794305	75000	0.444452	41.978721
88	0.792129	75000	0.443670	42.422390
89	0.789957	75000	0.442926	42.865317
90	0.787789	75000	0.442231	43.307548
91	0.785624	75000	0.441531	43.749079
92	0.783463	75000	0.440782	44.189861
93	0.781305	75000	0.440034	44.629895
94	0.779151	75000	0.439239	45.069134
95	0.777000	75000	0.438464	45.507598
96	0.774853	75000	0.437768	45.945367
97	0.772710	75000	0.437112	46.382479
98	0.770570	75000	0.436384	46.818863
99	0.768433	75000	0.435603	47.254466
100	0.766301	75000	0.434838	47.689303
101	0.764172	75000	0.434132	48.123435
102	0.762046	75000	0.433409	48.556844
103	0.759924	75000	0.432694	48.989539
104	0.757805	75000	0.431971	49.421510
105	0.755690	75000	0.431181	49.852691
106	0.753579	75000	0.430498	50.283189
107	0.751471	75000	0.429747	50.712937
108	0.749366	75000	0.429023	51.141960
109	0.747266	75000	0.428253	51.570213
110	0.745168	75000	0.427497	51.997709
111	0.743075	75000	0.426794	52.424504
112	0.740984	75000	0.426041	52.850545
113	0.738898	75000	0.425424	53.275969
114	0.736815	75000	0.424656	53.700625
115	0.734735	75000	0.423846	54.124470
116	0.732659	75000	0.423168	54.547638
117	0.730586	75000	0.422464	54.970102
118	0.728517	75000	0.421738	55.391840
119	0.726452	75000	0.421007	55.812847
120	0.724390	75000	0.420326	56.233173
121	0.722331	75000	0.419533	56.652706
122	0.720276	75000	0.418831	57.071537
123	0.718225	75000	0.418118	57.489655
124	0.716177	75000	0.417345	57.907000
125	0.714132	75000	0.416669	58.323669
126	0.712091	75000	0.415904	58.739574
127	0.710054	75000	0.415205	59.154779
128	0.708020	75000	0.414440	59.569219
129	0.705989	75000	0.413830	59.983049
130	0.703962	75000	0.413017	60.396066
131	0.701939	75000	0.412387	60.808453
132	0.699919	75000	0.411606	61.220059
133	0.697902	75000	0.410870	61.630929
134	0.695889	75000	0.410154	62.041083
135	0.693880	75000	0.409443	62.450526
136	0.691874	75000	0.408705	62.859231
137	0.689871	75000	0.407999	63.267230
138	0.687872	75000	0.407345	63.674575
139	0.685877	75000	0.406603	64.081178
140	0.683885	75000	0.405861	64.487039
141	0.681896	75000	0.405163	64.892202
142	0.679911	75000	0.404456	65.296658
143	0.677929	75000	0.403701	65.700359
144	0.675951	75000	0.403048	66.103407
145	0.673976	75000	0.402335	66.505742
146	0.672005	75000	0.401571	66.907313
147	0.670037	75000	0.400899	67.308212
148	0.668073	75000	0.400142	67.708354
149	0.666112	75000	0.399393	68.107748
150	0.664155	75000	0.398715	68.506463
151	0.662201	75000	0.398040	68.904503
152	0.660250	75000	0.397367	69.301870
153	0.658303	75000	0.396576	69.698447
154	0.656359	75000	0.395872	70.094318
155	0.654419	75000	0.395173	70.489491
156	0.652483	75000	0.394484	70.883975
157	0.650549	75000	0.393722	71.277696
158	0.648619	75000	0.393053	71.670749
159	0.646693	75000	0.392346	72.063095
160	0.644770	75000	0.391525	72.454620
161	0.642851	75000	0.390880	72.845501
162	0.640934	75000	0.390168	73.235669
163	0.639022	75000	0.389395	73.625064
164	0.637113	75000	0.388728	74.013792
165	0.635207	75000	0.388048	74.401840
166	0.633304	75000	0.387338	74.789178
167	0.631405	75000	0.386661	75.175839
168	0.629510	75000	0.386031	75.561870
169	0.627618	75000	0.385292	75.947162
170	0.625729	75000	0.384505	76.331667
171	0.623844	75000	0.383804	76.715472
172	0.621962	75000	0.383141	77.098613
173	0.620083	75000	0.382388	77.481002
174	0.618208	75000	0.381669	77.862670
175	0.616337	75000	0.380995	78.243665
176	0.614468	75000	0.380329	78.623994
177	0.612604	75000	0.379617	79.003611
178	0.610742	75000	0.378967	79.382579
179	0.608884	75000	0.378253	79.760832
180	0.607029	75000	0.377551	80.138384
181	0.605178	75000	0.376716	80.515100
182	0.603330	75000	0.376062	80.891162
183	0.601486	75000	0.375438	81.266600
184	0.599645	75000	0.374654	81.641254
185	0.597807	75000	0.373969	82.015223
186	0.595973	75000	0.373396	82.388619
187	0.594142	75000	0.372638	82.761257
188	0.592314	75000	0.371924	83.133181
189	0.590490	75000	0.371207	83.504388
190	0.588669	75000	0.370522	83.874911
191	0.586852	75000	0.369829	84.244739
192	0.585038	75000	0.369164	84.613904
193	0.583227	75000	0.368450	84.982354
194	0.581420	75000	0.367766	85.350120
195	0.579616	75000	0.367090	85.717210
196	0.577815	75000	0.366377	86.083587
197	0.576018	75000	0.365727	86.449314
198	0.574224	75000	0.364999	86.814313
199	0.572433	75000	0.364301	87.178614
200	0.570646	75000	0.363652	87.542266
201	0.568862	75000	0.362916	87.905182
202	0.567082	75000	0.362189	88.267370
203	0.565305	75000	0.361542	88.628912
204	0.563531	75000	0.360853	88.989765
205	0.561761	75000	0.360122	89.349887
206	0.559993	75000	0.359370	89.709257
207	0.558230	75000	0.358758	90.068015
208	0.556469	75000	0.358072	90.426086
209	0.554712	75000	0.357391	90.783477
210	0.552958	75000	0.356738	91.140216
211	0.551208	75000	0.355976	91.496191
212	0.549461	75000	0.355314	91.851505
213	0.547717	75000	0.354575	92.206080
214	0.545977	75000	0.353929	92.560009
215	0.544240	75000	0.353199	92.913208
216	0.542506	75000	0.352577	93.265785
217	0.540775	75000	0.351875	93.617660
218	0.539048	75000	0.351189	93.968849
219	0.537324	75000	0.350560	94.319409
220	0.535604	75000	0.349868	94.669278
221	0.533887	75000	0.349069	95.018347
222	0.532173	75000	0.348491	95.366838
223	0.530462	75000	0.347754	95.714592
224	0.528755	75000	0.347098	96.061690
225	0.527051	75000	0.346377	96.408067
226	0.525350	75000	0.345721	96.753788
227	0.523653	75000	0.345033	97.098821
228	0.521958	75000	0.344328	97.443148
229	0.520268	75000	0.343715	97.786863
230	0.518580	75000	0.343022	98.129885
231	0.516896	75000	0.342377	98.472262
232	0.515215	75000	0.341627	98.813889
233	0.513537	75000	0.340948	99.154837
234	0.511863	75000	0.340253	99.495090
235	0.510192	75000	0.339570	99.834660
236	0.508524	75000	0.339003	100.173663
237	0.506859	75000	0.338293	100.511956
238	0.505198	75000	0.337505	100.849461
239	0.503540	75000	0.336901	101.186362
240	0.501885	75000	0.336239	101.522601
241	0.500234	75000	0.335563	101.858164
242	0.498586	75000	0.334822	102.192986
243	0.496941	75000	0.334226	102.527212
244	0.495299	75000	0.333636	102.860848
245	0.493660	75000	0.332911	103.193759
246	0.492025	75000	0.332259	103.526018
247	0.490393	75000	0.331440	103.857458
248	0.488765	75000	0.330894	104.188352
249	0.487139	75000	0.330133	104.518485
250	0.485517	75000	0.329565	104.848051
251	0.483898	75000	0.328894	105.176945
252	0.482283	75000	0.328198	105.505143
253	0.480670	75000	0.327478	105.832621
254	0.479061	75000	0.326756	106.159377
255	0.477455	75000	0.326146	106.485523
256	0.475852	75000	0.325554	106.811077
257	0.474253	75000	0.324789	107.135866
258	0.472656	75000	0.324201	107.460067
259	0.471063	75000	0.323467	107.783534
260	0.469474	75000	0.322823	108.106357
