Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.073930	-0.073930
1	0.995007	75000	-0.073840	-0.147770
2	0.992517	75000	-0.073736	-0.221506
3	0.990030	75000	-0.073608	-0.295115
4	0.987547	75000	-0.073533	-0.368648
5	0.985067	75000	-0.073437	-0.442085
6	0.982592	75000	-0.073348	-0.515432
7	0.980120	75000	-0.073247	-0.588679
8	0.977652	75000	-0.073135	-0.661814
9	0.975187	75000	-0.073009	-0.734823
10	0.972726	75000	-0.072868	-0.807692
11	0.970269	75000	-0.072803	-0.880495
12	0.967816	75000	-0.072673	-0.953168
13	0.965367	75000	-0.072518	-1.025686
14	0.962921	75000	-0.072542	-1.098228
15	0.960479	75000	-0.072363	-1.170591
16	0.958040	75000	-0.072214	-1.242805
17	0.955606	75000	-0.072124	-1.314928
18	0.953175	75000	-0.072113	-1.387041
19	0.950747	75000	-0.071961	-1.459002
20	0.948324	75000	-0.071883	-1.530885
21	0.945904	75000	-0.071773	-1.602658
22	0.943488	75000	-0.071676	-1.674334
23	0.941076	75000	-0.071583	-1.745917
24	0.938667	75000	-0.071432	-1.817349
25	0.936262	75000	-0.071372	-1.888720
26	0.933861	75000	-0.071248	-1.959968
27	0.931463	75000	-0.071140	-2.031109
28	0.929069	75000	-0.071037	-2.102146
29	0.926679	75000	-0.070973	-2.173119
30	0.924293	75000	-0.070869	-2.243988
31	0.921910	75000	-0.070746	-2.314734
32	0.919531	75000	-0.070671	-2.385405
33	0.917155	75000	-0.070505	-2.455909
34	0.914783	75000	-0.070421	-2.526330
35	0.912415	75000	-0.070293	-2.596623
36	0.910051	75000	-0.070211	-2.666834
37	0.907690	75000	-0.070135	-2.736969
38	0.905333	75000	-0.069989	-2.806958
39	0.902980	75000	-0.069881	-2.876839
40	0.900630	75000	-0.069790	-2.946629
41	0.898284	75000	-0.069742	-3.016372
42	0.895942	75000	-0.069624	-3.085996
43	0.893603	75000	-0.069473	-3.155469
44	0.891268	75000	-0.069402	-3.224872
45	0.888937	75000	-0.069287	-3.294158
46	0.886609	75000	-0.069226	-3.363385
47	0.884285	75000	-0.069121	-3.432505
48	0.881965	75000	-0.069004	-3.501510
49	0.879648	75000	-0.068911	-3.570421
50	0.877335	75000	-0.068824	-3.639244
51	0.875026	75000	-0.068665	-3.707909
52	0.872720	75000	-0.068614	-3.776523
53	0.870418	75000	-0.068527	-3.845050
54	0.868120	75000	-0.068381	-3.913431
55	0.865825	75000	-0.068290	-3.981721
56	0.863534	75000	-0.068212	-4.049933
57	0.861246	75000	-0.068068	-4.118001
58	0.858962	75000	-0.068011	-4.186013
59	0.856682	75000	-0.067906	-4.253918
60	0.854405	75000	-0.067804	-4.321722
61	0.852132	75000	-0.067686	-4.389408
62	0.849863	75000	-0.067545	-4.456953
63	0.847597	75000	-0.067538	-4.524491
64	0.845335	75000	-0.067354	-4.591846
65	0.843077	75000	-0.067289	-4.659135
66	0.840822	75000	-0.067187	-4.726321
67	0.838571	75000	-0.067046	-4.793367
68	0.836323	75000	-0.066969	-4.860336
69	0.834079	75000	-0.066844	-4.927180
70	0.831839	75000	-0.066779	-4.993958
71	0.829602	75000	-0.066661	-5.060619
72	0.827369	75000	-0.066556	-5.127175
73	0.825140	75000	-0.066473	-5.193649
74	0.822914	75000	-0.066447	-5.260096
75	0.820691	75000	-0.066310	-5.326405
76	0.818473	75000	-0.066169	-5.392574
77	0.816258	75000	-0.066112	-5.458686
78	0.814046	75000	-0.065977	-5.524664
79	0.811838	75000	-0.065837	-5.590500
80	0.809634	75000	-0.065818	-5.656319
81	0.807433	75000	-0.065657	-5.721976
82	0.805236	75000	-0.065546	-5.787522
83	0.803043	75000	-0.065414	-5.852936
84	0.800853	75000	-0.065363	-5.918299
85	0.798667	75000	-0.065264	-5.983564
86	0.796484	75000	-0.065183	-6.048747
87	0.794305	75000	-0.065054	-6.113801
88	0.792129	75000	-0.065005	-6.178806
89	0.789957	75000	-0.064890	-6.243697
90	0.787789	75000	-0.064750	-6.308447
91	0.785624	75000	-0.064622	-6.373069
92	0.783463	75000	-0.064586	-6.437655
93	0.781305	75000	-0.064544	-6.502199
94	0.779151	75000	-0.064361	-6.566560
95	0.777000	75000	-0.064307	-6.630867
96	0.774853	75000	-0.064192	-6.695059
97	0.772710	75000	-0.064116	-6.759176
98	0.770570	75000	-0.063994	-6.823170
99	0.768433	75000	-0.063871	-6.887041
100	0.766301	75000	-0.063777	-6.950818
101	0.764172	75000	-0.063729	-7.014547
102	0.762046	75000	-0.063570	-7.078117
103	0.759924	75000	-0.063472	-7.141589
104	0.757805	75000	-0.063387	-7.204976
105	0.755690	75000	-0.063318	-7.268294
106	0.753579	75000	-0.063178	-7.331472
107	0.751471	75000	-0.063056	-7.394528
108	0.749366	75000	-0.062949	-7.457477
109	0.747266	75000	-0.062913	-7.520389
110	0.745168	75000	-0.062835	-7.583225
111	0.743075	75000	-0.062626	-7.645850
112	0.740984	75000	-0.062608	-7.708459
113	0.738898	75000	-0.062497	-7.770956
114	0.736815	75000	-0.062420	-7.833377
115	0.734735	75000	-0.062200	-7.895576
116	0.732659	75000	-0.062205	-7.957781
117	0.730586	75000	-0.062123	-8.019904
118	0.728517	75000	-0.062062	-8.081967
119	0.726452	75000	-0.061876	-8.143843
120	0.724390	75000	-0.061806	-8.205648
121	0.722331	75000	-0.061738	-8.267386
122	0.720276	75000	-0.061624	-8.329010
123	0.718225	75000	-0.061611	-8.390621
124	0.716177	75000	-0.061411	-8.452032
125	0.714132	75000	-0.061327	-8.513359
126	0.712091	75000	-0.061275	-8.574634
127	0.710054	75000	-0.061145	-8.635779
128	0.708020	75000	-0.061074	-8.696852
129	0.705989	75000	-0.060947	-8.757799
130	0.703962	75000	-0.060882	-8.818682
131	0.701939	75000	-0.060733	-8.879415
132	0.699919	75000	-0.060665	-8.940081
133	0.697902	75000	-0.060586	-9.000666
134	0.695889	75000	-0.060484	-9.061150
135	0.693880	75000	-0.060359	-9.121509
136	0.691874	75000	-0.060253	-9.181761
137	0.689871	75000	-0.060131	-9.241892
138	0.687872	75000	-0.060171	-9.302063
139	0.685877	75000	-0.059910	-9.361974
140	0.683885	75000	-0.059917	-9.421891
141	0.681896	75000	-0.059788	-9.481679
142	0.679911	75000	-0.059654	-9.541333
143	0.677929	75000	-0.059577	-9.600910
144	0.675951	75000	-0.059517	-9.660427
145	0.673976	75000	-0.059446	-9.719873
146	0.672005	75000	-0.059308	-9.779181
147	0.670037	75000	-0.059249	-9.838430
148	0.668073	75000	-0.059113	-9.897543
149	0.666112	75000	-0.058999	-9.956543
150	0.664155	75000	-0.059001	-10.015544
151	0.662201	75000	-0.058829	-10.074373
152	0.660250	75000	-0.058774	-10.133147
153	0.658303	75000	-0.058665	-10.191813
154	0.656359	75000	-0.058575	-10.250387
155	0.654419	75000	-0.058469	-10.308856
156	0.652483	75000	-0.058351	-10.367208
157	0.650549	75000	-0.058271	-10.425479
158	0.648619	75000	-0.058161	-10.483641
159	0.646693	75000	-0.058030	-10.541670
160	0.644770	75000	-0.057911	-10.599581
161	0.642851	75000	-0.057917	-10.657498
162	0.640934	75000	-0.057718	-10.715216
163	0.639022	75000	-0.057769	-10.772984
164	0.637113	75000	-0.057583	-10.830568
165	0.635207	75000	-0.057500	-10.888068
166	0.633304	75000	-0.057435	-10.945503
167	0.631405	75000	-0.057412	-11.002914
168	0.629510	75000	-0.057223	-11.060137
169	0.627618	75000	-0.057196	-11.117333
170	0.625729	75000	-0.056961	-11.174294
171	0.623844	75000	-0.057009	-11.231303
172	0.621962	75000	-0.056902	-11.288205
173	0.620083	75000	-0.056696	-11.344901
174	0.618208	75000	-0.056732	-11.401633
175	0.616337	75000	-0.056701	-11.458333
176	0.614468	75000	-0.056505	-11.514838
177	0.612604	75000	-0.056411	-11.571249
178	0.610742	75000	-0.056308	-11.627556
179	0.608884	75000	-0.056263	-11.683819
180	0.607029	75000	-0.056110	-11.739929
181	0.605178	75000	-0.056073	-11.796002
182	0.603330	75000	-0.055909	-11.851911
183	0.601486	75000	-0.055861	-11.907773
184	0.599645	75000	-0.055702	-11.963475
185	0.597807	75000	-0.055675	-12.019150
186	0.595973	75000	-0.055519	-12.074669
187	0.594142	75000	-0.055430	-12.130100
188	0.592314	75000	-0.055371	-12.185471
189	0.590490	75000	-0.055254	-12.240725
