Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.053000	7.015046	502	0.003984	2.231471	498	0.102410	0.053000	0.075962	
1000	0.053000	4.882293	504	0.025794	1.654789	496	0.080645	0.053000	0.068311	
1000	0.089000	3.827259	527	0.034156	1.042994	473	0.150106	0.089000	0.073482	
1000	0.075000	2.699150	487	0.030801	1.037355	513	0.116959	0.075000	0.073785	
1000	0.124000	1.474217	493	0.079108	0.972915	507	0.167653	0.124000	0.082153	
1000	0.162000	0.824089	513	0.138402	0.817187	487	0.186858	0.162000	0.093558	
1000	0.230000	0.783223	506	0.181818	0.539296	494	0.279352	0.230000	0.110611	
1000	0.244000	0.485029	480	0.233333	0.539296	520	0.253846	0.244000	0.125431	
1000	0.262000	0.485029	505	0.227723	0.539296	495	0.296970	0.262000	0.139086	
1000	0.266000	0.485029	474	0.238397	0.539296	526	0.290875	0.266000	0.150623	
1000	0.267000	0.485029	494	0.251012	0.539296	506	0.282609	0.267000	0.160320	
1000	0.272000	0.485029	488	0.247951	0.539296	512	0.294922	0.272000	0.168910	
1000	0.279000	0.485029	497	0.279678	0.539296	503	0.278330	0.279000	0.176773	
1000	0.296000	0.485029	495	0.286869	0.539296	505	0.304950	0.296000	0.184721	
1000	0.282000	0.485029	515	0.273786	0.539296	485	0.290722	0.282000	0.190801	
1000	0.263000	0.485029	483	0.265010	0.539296	517	0.261122	0.263000	0.195047	
1000	0.256000	0.485029	543	0.250460	0.539296	457	0.262582	0.256000	0.198433	
1000	0.262000	0.485029	506	0.258893	0.539296	494	0.265182	0.262000	0.201779	
1000	0.245000	0.485029	502	0.227092	0.539296	498	0.263052	0.245000	0.203940	
1000	0.278000	0.485029	515	0.229126	0.539296	485	0.329897	0.278000	0.207466	
1000	0.297000	0.485029	513	0.255361	0.539296	487	0.340862	0.297000	0.211536	
1000	0.259000	0.485029	484	0.229339	0.539296	516	0.286822	0.259000	0.213599	
1000	0.282000	0.485029	522	0.258621	0.539296	478	0.307531	0.282000	0.216449	
1000	0.259000	0.485029	478	0.219665	0.539296	522	0.295019	0.259000	0.218151	
1000	0.279000	0.485029	488	0.280738	0.539296	512	0.277344	0.279000	0.220492	
1000	0.255000	0.485029	510	0.268627	0.539296	490	0.240816	0.255000	0.221770	
1000	0.275000	0.485029	490	0.275510	0.539296	510	0.274510	0.275000	0.223671	
1000	0.269000	0.485029	478	0.257322	0.539296	522	0.279693	0.269000	0.225234	
1000	0.284000	0.485029	465	0.268817	0.539296	535	0.297196	0.284000	0.227192	
1000	0.286000	0.485029	513	0.255361	0.539296	487	0.318275	0.286000	0.229089	
1000	0.276000	0.485029	472	0.250000	0.539296	528	0.299242	0.276000	0.230555	
1000	0.279000	0.485029	470	0.261702	0.539296	530	0.294340	0.279000	0.232023	
1000	0.298000	0.485029	511	0.307241	0.539296	489	0.288344	0.298000	0.233964	
1000	0.294000	0.485029	522	0.287356	0.539296	478	0.301255	0.294000	0.235679	
1000	0.275000	0.485029	482	0.263485	0.539296	518	0.285714	0.275000	0.236771	
1000	0.260000	0.485029	507	0.230769	0.539296	493	0.290061	0.260000	0.237399	
1000	0.272000	0.485029	477	0.255765	0.539296	523	0.286807	0.272000	0.238310	
1000	0.276000	0.485029	484	0.239669	0.539296	516	0.310078	0.276000	0.239276	
1000	0.273000	0.485029	522	0.245211	0.539296	478	0.303347	0.273000	0.240119	
1000	0.255000	0.485029	487	0.238193	0.539296	513	0.270955	0.255000	0.240482	
1000	0.257000	0.485029	476	0.262605	0.539296	524	0.251908	0.257000	0.240875	
1000	0.303000	0.485029	528	0.240530	0.539296	472	0.372881	0.303000	0.242320	
