Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_possession_arguments.txt
Log File Name:                   features_possession_arguments.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2678999282
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_possession_arguments.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-141.072662	1	0.387939019075	0.590689089066	0.425505542513	0.557474155869	0.141679717825	
3000	-140.263188	1	0.490784134772	0.784561073142	0.423213249343	0.556048874885	0.137011704758	
4000	-141.834760	1	0.600567123357	0.627463072637	0.428356448374	0.555325333817	0.129248664556	
5000	-140.430419	1	0.391903754730	0.654829751455	0.425289700472	0.554296964834	0.138323058467	
6000	-142.407162	1	0.331856457360	0.570984952164	0.429653704679	0.558987384013	0.146684346215	
7000	-143.311790	1	0.278469577779	0.639987334802	0.435502774330	0.554794260865	0.141855579026	
8000	-140.941689	1	0.497750791266	0.576703176987	0.423306723090	0.558522234415	0.133739823814	
9000	-140.153966	1	0.467120393989	0.773432425779	0.423131429400	0.555469421127	0.135785962833	
10000	-140.254599	1	0.532658612591	0.759782455753	0.424250389502	0.554868662562	0.138412532906	
11000	-140.452666	1	0.546009301232	0.766266099657	0.424820793645	0.555138910761	0.139144062674	
12000	-141.908271	1	0.356989222460	0.792858360620	0.427541827911	0.556533313207	0.127974733911	
13000	-140.504724	1	0.564416006179	0.714593804158	0.425797284895	0.553744373030	0.136848142273	
14000	-142.791385	1	0.445957010212	0.898130470224	0.423366729325	0.566567119731	0.131073901531	
15000	-142.825782	1	0.644262657376	0.651390773549	0.432584141328	0.554399436565	0.129360255357	
16000	-141.636174	1	0.537783735160	0.564124033116	0.424455651151	0.559573548723	0.129630181312	
17000	-143.634474	1	0.677932451504	0.756980185893	0.436688803403	0.554760320789	0.141902287225	
18000	-141.919270	1	0.594171055917	0.825150694975	0.427841783778	0.558844900334	0.145067779184	
19000	-143.263401	1	0.333718865340	0.522497005560	0.429483116764	0.563786266856	0.150413252128	
20000	-140.368278	1	0.553222613346	0.735247738093	0.425177212284	0.554093471347	0.137888480970	
21000	-141.242115	1	0.594353718691	0.763211559589	0.427856112842	0.555008187051	0.140592056878	
22000	-141.036402	1	0.476504131272	0.833242477585	0.423120303680	0.559530390373	0.135875941693	
23000	-140.047301	1	0.440862363325	0.747788938221	0.423466870954	0.554440811247	0.135109210311	
24000	-140.344427	1	0.403746777742	0.733908748114	0.424705834050	0.554062429995	0.134392744746	
25000	-147.287801	1	0.394636609613	0.372412527346	0.425146874118	0.588330766924	0.148712037975	
26000	-141.290287	1	0.345306520346	0.661588933389	0.428472418705	0.554117973979	0.138623086842	
27000	-140.009896	1	0.473845371176	0.760431946398	0.423117642163	0.554894502231	0.136192886649	
28000	-141.548664	1	0.397145974495	0.819378989995	0.425020005282	0.558381971915	0.129304774070	
29000	-139.936290	1	0.432264892684	0.668595431152	0.423674141670	0.553963795077	0.137051325316	
