Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.141000	0.794687	492	0.241870	9.730896	508	0.043307	0.141000	0.296352	
1000	0.178000	0.794687	518	0.272201	5.354633	482	0.076763	0.178000	0.256914	
1000	0.191000	0.794687	505	0.283168	3.497710	495	0.096970	0.191000	0.240440	
1000	0.229000	0.794687	490	0.316327	2.028733	510	0.145098	0.229000	0.238152	
1000	0.257000	0.794687	514	0.330739	1.561212	486	0.179012	0.257000	0.241293	
1000	0.271000	0.794687	481	0.326403	1.290781	519	0.219653	0.271000	0.245536	
1000	0.271000	0.794687	496	0.318548	1.290781	504	0.224206	0.271000	0.248719	
1000	0.250000	0.794687	511	0.291585	1.290781	489	0.206544	0.250000	0.248861	
1000	0.258000	0.794687	490	0.300000	1.290781	510	0.217647	0.258000	0.249775	
1000	0.258000	0.794687	514	0.285992	1.290781	486	0.228395	0.258000	0.250523	
1000	0.274000	0.794687	491	0.313646	1.290781	509	0.235756	0.274000	0.252479	
1000	0.256000	0.794687	490	0.283673	1.290781	510	0.229412	0.256000	0.252750	
1000	0.269000	0.794687	488	0.313525	1.290781	512	0.226562	0.269000	0.253910	
1000	0.262000	0.794687	504	0.331349	1.290781	496	0.191532	0.262000	0.254450	
1000	0.286000	0.794687	527	0.328273	1.169513	473	0.238901	0.286000	0.256421	
1000	0.277000	0.794687	500	0.324000	1.169513	500	0.230000	0.277000	0.257632	
1000	0.255000	0.794687	511	0.279843	1.169513	489	0.229039	0.255000	0.257486	
1000	0.270000	0.794687	503	0.296223	1.169513	497	0.243461	0.270000	0.258144	
1000	0.270000	0.794687	454	0.337004	1.169513	546	0.214286	0.270000	0.258737	
1000	0.250000	0.794687	512	0.287109	1.169513	488	0.211066	0.250000	0.258321	
1000	0.251000	0.794687	488	0.274590	1.169513	512	0.228516	0.251000	0.257988	
1000	0.280000	0.794687	470	0.304255	1.169513	530	0.258491	0.280000	0.258945	
1000	0.274000	0.794687	525	0.323810	1.169513	475	0.218947	0.274000	0.259573	
1000	0.262000	0.794687	525	0.300952	1.169513	475	0.218947	0.262000	0.259670	
1000	0.261000	0.794687	501	0.297405	1.169513	499	0.224449	0.261000	0.259721	
1000	0.262000	0.794687	518	0.283784	1.169513	482	0.238589	0.262000	0.259805	
1000	0.292000	0.794687	485	0.321649	1.169513	515	0.264078	0.292000	0.260955	
1000	0.266000	0.794687	512	0.306641	1.169513	488	0.223361	0.266000	0.261129	
1000	0.253000	0.794687	494	0.287449	1.169513	506	0.219368	0.253000	0.260858	
1000	0.248000	0.794687	482	0.298755	1.169513	518	0.200772	0.248000	0.260443	
1000	0.260000	0.794687	481	0.295218	1.169513	519	0.227360	0.260000	0.260429	
1000	0.260000	0.794687	516	0.273256	1.169513	484	0.245868	0.260000	0.260416	
1000	0.266000	0.794687	532	0.281955	1.169513	468	0.247863	0.266000	0.260581	
1000	0.271000	0.794687	488	0.305328	1.169513	512	0.238281	0.271000	0.260878	
1000	0.250000	0.794687	491	0.256619	1.169513	509	0.243615	0.250000	0.260576	
1000	0.254000	0.794687	492	0.280488	1.169513	508	0.228346	0.254000	0.260398	
1000	0.234000	0.794687	478	0.255230	1.169513	522	0.214559	0.234000	0.259704	
1000	0.267000	0.794687	485	0.294845	1.169513	515	0.240777	0.267000	0.259891	
1000	0.266000	0.794687	489	0.288344	1.169513	511	0.244618	0.266000	0.260043	
1000	0.263000	0.794687	466	0.300429	1.169513	534	0.230337	0.263000	0.260116	
1000	0.266000	0.794687	509	0.296660	1.169513	491	0.234216	0.266000	0.260256	
1000	0.254000	0.794687	526	0.281369	1.169513	474	0.223629	0.254000	0.260110	
1000	0.274000	0.794687	497	0.311871	1.169513	503	0.236581	0.274000	0.260426	
1000	0.249000	0.794687	487	0.287474	1.169513	513	0.212476	0.249000	0.260172	
1000	0.242000	0.794687	505	0.247525	1.169513	495	0.236364	0.242000	0.259777	
1000	0.259000	0.794687	500	0.308000	1.169513	500	0.210000	0.259000	0.259760	
1000	0.244000	0.794687	478	0.265690	1.169513	522	0.224138	0.244000	0.259432	
1000	0.255000	0.794687	533	0.251407	1.169513	467	0.259101	0.255000	0.259342	
1000	0.264000	0.794687	537	0.301676	1.169513	463	0.220302	0.264000	0.259435	
1000	0.276000	0.794687	509	0.290766	1.169513	491	0.260692	0.276000	0.259760	
1000	0.249000	0.794687	496	0.294355	1.169513	504	0.204365	0.249000	0.259553	
1000	0.250000	0.794687	487	0.291581	1.169513	513	0.210526	0.250000	0.259372	
1000	0.264000	0.794687	548	0.304745	1.169513	452	0.214602	0.264000	0.259458	
1000	0.255000	0.794687	515	0.291262	1.169513	485	0.216495	0.255000	0.259377	
1000	0.264000	0.794687	496	0.312500	1.169513	504	0.216270	0.264000	0.259460	
1000	0.245000	0.794687	494	0.297571	1.169513	506	0.193676	0.245000	0.259206	
1000	0.272000	0.794687	469	0.321962	1.109169	531	0.227872	0.272000	0.259427	
1000	0.278000	0.794687	564	0.312057	1.109169	436	0.233945	0.278000	0.259741	
1000	0.256000	0.794687	480	0.279167	1.109169	520	0.234615	0.256000	0.259679	
1000	0.292000	0.794687	501	0.317365	1.109169	499	0.266533	0.292000	0.260209	
1000	0.276000	0.794687	480	0.312500	1.109169	520	0.242308	0.276000	0.260464	
1000	0.247000	0.794687	485	0.270103	1.109169	515	0.225243	0.247000	0.260250	
1000	0.271000	0.794687	470	0.287234	1.109169	530	0.256604	0.271000	0.260418	
1000	0.264000	0.794687	472	0.298729	1.109169	528	0.232955	0.264000	0.260473	
1000	0.253000	0.794687	496	0.318548	1.109169	504	0.188492	0.253000	0.260360	
1000	0.321000	0.794687	514	0.344358	0.974768	486	0.296296	0.321000	0.261265	
1000	0.298000	0.794687	505	0.312871	0.974768	495	0.282828	0.298000	0.261805	
1000	0.282000	0.794687	519	0.285164	0.974768	481	0.278586	0.282000	0.262098	
1000	0.304000	0.794687	501	0.311377	0.974768	499	0.296593	0.304000	0.262696	
1000	0.268000	0.794687	537	0.281192	0.974768	463	0.252700	0.268000	0.262771	
1000	0.300000	0.794687	492	0.302846	0.974768	508	0.297244	0.300000	0.263288	
1000	0.288000	0.794687	478	0.288703	0.974768	522	0.287356	0.288000	0.263627	
1000	0.261000	0.794687	492	0.278455	0.974768	508	0.244094	0.261000	0.263591	
1000	0.302000	0.794687	520	0.321154	0.974768	480	0.281250	0.302000	0.264103	
1000	0.289000	0.794687	479	0.334029	0.974768	521	0.247601	0.289000	0.264431	
1000	0.267000	0.794687	485	0.274227	0.974768	515	0.260194	0.267000	0.264464	
1000	0.275000	0.794687	495	0.296970	0.974768	505	0.253465	0.275000	0.264599	
1000	0.268000	0.794687	494	0.307692	0.974768	506	0.229249	0.268000	0.264642	
1000	0.284000	0.794687	513	0.311891	0.974768	487	0.254620	0.284000	0.264884	
1000	0.279000	0.794687	491	0.285132	0.974768	509	0.273084	0.279000	0.265058	
1000	0.292000	0.794687	472	0.300847	0.974768	528	0.284091	0.292000	0.265387	
1000	0.276000	0.794687	502	0.300797	0.974768	498	0.251004	0.276000	0.265515	
