Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.357267	-0.357267
1	0.995007	75000	-0.356789	-0.714056
2	0.992517	75000	-0.356271	-1.070327
3	0.990030	75000	-0.355730	-1.426058
4	0.987547	75000	-0.355248	-1.781306
5	0.985067	75000	-0.354643	-2.135949
6	0.982592	75000	-0.354151	-2.490099
7	0.980120	75000	-0.353635	-2.843734
8	0.977652	75000	-0.353071	-3.196805
9	0.975187	75000	-0.352519	-3.549324
10	0.972726	75000	-0.351994	-3.901319
11	0.970269	75000	-0.351513	-4.252832
12	0.967816	75000	-0.350924	-4.603757
13	0.965367	75000	-0.350407	-4.954164
14	0.962921	75000	-0.349948	-5.304112
15	0.960479	75000	-0.349423	-5.653534
16	0.958040	75000	-0.348897	-6.002431
17	0.955606	75000	-0.348354	-6.350785
18	0.953175	75000	-0.347830	-6.698615
19	0.950747	75000	-0.347283	-7.045898
20	0.948324	75000	-0.346807	-7.392705
21	0.945904	75000	-0.346219	-7.738925
22	0.943488	75000	-0.345696	-8.084620
23	0.941076	75000	-0.345195	-8.429816
24	0.938667	75000	-0.344678	-8.774494
25	0.936262	75000	-0.344127	-9.118621
26	0.933861	75000	-0.343596	-9.462217
27	0.931463	75000	-0.343030	-9.805247
28	0.929069	75000	-0.342531	-10.147777
29	0.926679	75000	-0.342135	-10.489912
30	0.924293	75000	-0.341534	-10.831446
31	0.921910	75000	-0.341070	-11.172516
32	0.919531	75000	-0.340488	-11.513005
33	0.917155	75000	-0.339950	-11.852954
34	0.914783	75000	-0.339470	-12.192424
35	0.912415	75000	-0.338909	-12.531333
36	0.910051	75000	-0.338386	-12.869720
37	0.907690	75000	-0.337891	-13.207610
38	0.905333	75000	-0.337361	-13.544971
39	0.902980	75000	-0.336874	-13.881845
40	0.900630	75000	-0.336392	-14.218238
41	0.898284	75000	-0.335780	-14.554018
42	0.895942	75000	-0.335230	-14.889248
43	0.893603	75000	-0.334771	-15.224019
44	0.891268	75000	-0.334201	-15.558220
45	0.888937	75000	-0.333752	-15.891972
46	0.886609	75000	-0.333235	-16.225207
47	0.884285	75000	-0.332701	-16.557908
48	0.881965	75000	-0.332091	-16.889999
49	0.879648	75000	-0.331673	-17.221672
50	0.877335	75000	-0.331104	-17.552776
51	0.875026	75000	-0.330595	-17.883371
52	0.872720	75000	-0.330138	-18.213509
53	0.870418	75000	-0.329574	-18.543083
54	0.868120	75000	-0.329136	-18.872219
55	0.865825	75000	-0.328631	-19.200850
56	0.863534	75000	-0.328045	-19.528895
57	0.861246	75000	-0.327547	-19.856442
58	0.858962	75000	-0.327049	-20.183491
59	0.856682	75000	-0.326453	-20.509944
60	0.854405	75000	-0.326006	-20.835949
61	0.852132	75000	-0.325493	-21.161442
62	0.849863	75000	-0.324956	-21.486398
63	0.847597	75000	-0.324498	-21.810896
64	0.845335	75000	-0.323985	-22.134881
65	0.843077	75000	-0.323413	-22.458294
66	0.840822	75000	-0.322960	-22.781254
67	0.838571	75000	-0.322408	-23.103662
68	0.836323	75000	-0.321831	-23.425493
69	0.834079	75000	-0.321379	-23.746873
70	0.831839	75000	-0.320950	-24.067823
71	0.829602	75000	-0.320387	-24.388210
72	0.827369	75000	-0.319834	-24.708044
73	0.825140	75000	-0.319415	-25.027459
74	0.822914	75000	-0.318930	-25.346389
75	0.820691	75000	-0.318407	-25.664796
76	0.818473	75000	-0.317739	-25.982535
77	0.816258	75000	-0.317320	-26.299855
78	0.814046	75000	-0.316849	-26.616705
79	0.811838	75000	-0.316286	-26.932991
80	0.809634	75000	-0.315755	-27.248746
81	0.807433	75000	-0.315253	-27.563999
82	0.805236	75000	-0.314776	-27.878776
83	0.803043	75000	-0.314265	-28.193041
84	0.800853	75000	-0.313773	-28.506814
85	0.798667	75000	-0.313164	-28.819977
86	0.796484	75000	-0.312770	-29.132747
87	0.794305	75000	-0.312244	-29.444990
88	0.792129	75000	-0.311793	-29.756783
89	0.789957	75000	-0.311308	-30.068091
90	0.787789	75000	-0.310721	-30.378812
91	0.785624	75000	-0.310288	-30.689100
92	0.783463	75000	-0.309710	-30.998810
93	0.781305	75000	-0.309225	-31.308035
94	0.779151	75000	-0.308738	-31.616774
95	0.777000	75000	-0.308188	-31.924961
96	0.774853	75000	-0.307739	-32.232700
97	0.772710	75000	-0.307152	-32.539852
98	0.770570	75000	-0.306654	-32.846506
99	0.768433	75000	-0.306175	-33.152681
100	0.766301	75000	-0.305672	-33.458353
101	0.764172	75000	-0.305186	-33.763538
102	0.762046	75000	-0.304659	-34.068197
103	0.759924	75000	-0.304253	-34.372450
104	0.757805	75000	-0.303627	-34.676077
105	0.755690	75000	-0.303217	-34.979294
106	0.753579	75000	-0.302740	-35.282033
107	0.751471	75000	-0.302221	-35.584254
108	0.749366	75000	-0.301675	-35.885929
109	0.747266	75000	-0.301175	-36.187103
110	0.745168	75000	-0.300691	-36.487794
111	0.743075	75000	-0.300241	-36.788035
112	0.740984	75000	-0.299725	-37.087760
