Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.096964	-0.096964
1	0.995007	75000	-0.096865	-0.193829
2	0.992517	75000	-0.096662	-0.290491
3	0.990030	75000	-0.096492	-0.386983
4	0.987547	75000	-0.096377	-0.483360
5	0.985067	75000	-0.096241	-0.579601
6	0.982592	75000	-0.096080	-0.675681
7	0.980120	75000	-0.095961	-0.771642
8	0.977652	75000	-0.095803	-0.867445
9	0.975187	75000	-0.095678	-0.963123
10	0.972726	75000	-0.095548	-1.058671
11	0.970269	75000	-0.095326	-1.153997
12	0.967816	75000	-0.095244	-1.249240
13	0.965367	75000	-0.095177	-1.344417
14	0.962921	75000	-0.094945	-1.439362
15	0.960479	75000	-0.094852	-1.534214
16	0.958040	75000	-0.094731	-1.628945
17	0.955606	75000	-0.094566	-1.723511
18	0.953175	75000	-0.094416	-1.817927
19	0.950747	75000	-0.094323	-1.912249
20	0.948324	75000	-0.094155	-2.006404
21	0.945904	75000	-0.094052	-2.100456
22	0.943488	75000	-0.093920	-2.194376
23	0.941076	75000	-0.093742	-2.288117
24	0.938667	75000	-0.093581	-2.381699
25	0.936262	75000	-0.093490	-2.475189
26	0.933861	75000	-0.093360	-2.568549
27	0.931463	75000	-0.093151	-2.661700
28	0.929069	75000	-0.093075	-2.754775
29	0.926679	75000	-0.092926	-2.847702
30	0.924293	75000	-0.092769	-2.940470
31	0.921910	75000	-0.092621	-3.033091
32	0.919531	75000	-0.092534	-3.125625
33	0.917155	75000	-0.092367	-3.217992
34	0.914783	75000	-0.092267	-3.310259
35	0.912415	75000	-0.092113	-3.402372
36	0.910051	75000	-0.091921	-3.494293
37	0.907690	75000	-0.091870	-3.586163
38	0.905333	75000	-0.091659	-3.677822
39	0.902980	75000	-0.091555	-3.769377
40	0.900630	75000	-0.091441	-3.860819
41	0.898284	75000	-0.091317	-3.952136
42	0.895942	75000	-0.091113	-4.043249
43	0.893603	75000	-0.091041	-4.134290
44	0.891268	75000	-0.090895	-4.225185
45	0.888937	75000	-0.090814	-4.315998
46	0.886609	75000	-0.090625	-4.406624
47	0.884285	75000	-0.090446	-4.497069
48	0.881965	75000	-0.090306	-4.587376
49	0.879648	75000	-0.090202	-4.677578
50	0.877335	75000	-0.090078	-4.767656
51	0.875026	75000	-0.089982	-4.857638
52	0.872720	75000	-0.089883	-4.947521
53	0.870418	75000	-0.089714	-5.037235
54	0.868120	75000	-0.089514	-5.126749
55	0.865825	75000	-0.089384	-5.216133
56	0.863534	75000	-0.089260	-5.305393
57	0.861246	75000	-0.089116	-5.394509
58	0.858962	75000	-0.089005	-5.483514
59	0.856682	75000	-0.088868	-5.572382
60	0.854405	75000	-0.088669	-5.661050
61	0.852132	75000	-0.088641	-5.749691
62	0.849863	75000	-0.088441	-5.838133
63	0.847597	75000	-0.088286	-5.926419
64	0.845335	75000	-0.088192	-6.014611
65	0.843077	75000	-0.088059	-6.102669
66	0.840822	75000	-0.087973	-6.190642
67	0.838571	75000	-0.087774	-6.278416
68	0.836323	75000	-0.087629	-6.366045
69	0.834079	75000	-0.087528	-6.453573
70	0.831839	75000	-0.087391	-6.540964
71	0.829602	75000	-0.087200	-6.628165
72	0.827369	75000	-0.087088	-6.715252
73	0.825140	75000	-0.086958	-6.802210
74	0.822914	75000	-0.086873	-6.889083
75	0.820691	75000	-0.086659	-6.975742
76	0.818473	75000	-0.086552	-7.062294
77	0.816258	75000	-0.086438	-7.148733
78	0.814046	75000	-0.086383	-7.235116
79	0.811838	75000	-0.086164	-7.321280
80	0.809634	75000	-0.086044	-7.407324
81	0.807433	75000	-0.085924	-7.493248
82	0.805236	75000	-0.085804	-7.579051
83	0.803043	75000	-0.085623	-7.664675
84	0.800853	75000	-0.085532	-7.750207
85	0.798667	75000	-0.085383	-7.835590
86	0.796484	75000	-0.085217	-7.920807
87	0.794305	75000	-0.085141	-8.005948
88	0.792129	75000	-0.084990	-8.090938
89	0.789957	75000	-0.084881	-8.175819
90	0.787789	75000	-0.084702	-8.260521
91	0.785624	75000	-0.084576	-8.345098
92	0.783463	75000	-0.084358	-8.429455
93	0.781305	75000	-0.084284	-8.513740
94	0.779151	75000	-0.084211	-8.597951
95	0.777000	75000	-0.084110	-8.682061
96	0.774853	75000	-0.083913	-8.765974
97	0.772710	75000	-0.083773	-8.849747
