Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.141688	-0.141688
1	0.995007	75000	-0.141514	-0.283202
2	0.992517	75000	-0.141244	-0.424446
3	0.990030	75000	-0.141062	-0.565508
4	0.987547	75000	-0.140802	-0.706310
5	0.985067	75000	-0.140634	-0.846945
6	0.982592	75000	-0.140445	-0.987389
7	0.980120	75000	-0.140187	-1.127576
8	0.977652	75000	-0.139946	-1.267522
9	0.975187	75000	-0.139794	-1.407316
10	0.972726	75000	-0.139530	-1.546846
11	0.970269	75000	-0.139437	-1.686283
12	0.967816	75000	-0.139234	-1.825518
13	0.965367	75000	-0.139032	-1.964550
14	0.962921	75000	-0.138746	-2.103295
15	0.960479	75000	-0.138608	-2.241903
16	0.958040	75000	-0.138368	-2.380271
17	0.955606	75000	-0.138173	-2.518444
18	0.953175	75000	-0.137979	-2.656423
19	0.950747	75000	-0.137742	-2.794166
20	0.948324	75000	-0.137568	-2.931733
21	0.945904	75000	-0.137386	-3.069119
22	0.943488	75000	-0.137142	-3.206261
23	0.941076	75000	-0.136963	-3.343225
24	0.938667	75000	-0.136720	-3.479945
25	0.936262	75000	-0.136559	-3.616504
26	0.933861	75000	-0.136293	-3.752798
27	0.931463	75000	-0.136147	-3.888945
28	0.929069	75000	-0.135910	-4.024855
29	0.926679	75000	-0.135652	-4.160507
30	0.924293	75000	-0.135576	-4.296082
31	0.921910	75000	-0.135308	-4.431390
32	0.919531	75000	-0.135135	-4.566525
33	0.917155	75000	-0.134965	-4.701489
34	0.914783	75000	-0.134698	-4.836187
35	0.912415	75000	-0.134583	-4.970770
36	0.910051	75000	-0.134329	-5.105100
37	0.907690	75000	-0.134113	-5.239213
38	0.905333	75000	-0.133893	-5.373106
39	0.902980	75000	-0.133687	-5.506793
40	0.900630	75000	-0.133526	-5.640319
41	0.898284	75000	-0.133307	-5.773627
42	0.895942	75000	-0.133167	-5.906794
43	0.893603	75000	-0.132871	-6.039665
44	0.891268	75000	-0.132737	-6.172402
45	0.888937	75000	-0.132492	-6.304894
46	0.886609	75000	-0.132296	-6.437189
47	0.884285	75000	-0.132093	-6.569282
48	0.881965	75000	-0.131904	-6.701186
49	0.879648	75000	-0.131761	-6.832947
