Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.070000	2.613689	496	0.098790	4.178477	504	0.041667	0.070000	0.128936	
1000	0.100000	1.672735	490	0.157143	2.924778	510	0.045098	0.100000	0.119294	
1000	0.123000	1.576103	485	0.123711	1.743130	515	0.122330	0.123000	0.120220	
1000	0.209000	0.914409	544	0.244485	1.145980	456	0.166667	0.209000	0.137972	
1000	0.260000	0.914409	501	0.287425	0.963458	499	0.232465	0.260000	0.158307	
1000	0.208000	0.914409	521	0.230326	0.963458	479	0.183716	0.208000	0.165405	
1000	0.292000	0.914409	511	0.270059	0.544097	489	0.314928	0.292000	0.181227	
1000	0.320000	0.914409	498	0.261044	0.544097	502	0.378486	0.320000	0.196645	
1000	0.312000	0.914409	505	0.247525	0.544097	495	0.377778	0.312000	0.208179	
1000	0.319000	0.914409	496	0.245968	0.544097	504	0.390873	0.319000	0.218253	
1000	0.283000	0.914409	504	0.230159	0.544097	496	0.336694	0.283000	0.223648	
1000	0.290000	0.914409	530	0.249057	0.544097	470	0.336170	0.290000	0.228752	
1000	0.286000	0.914409	497	0.223340	0.544097	503	0.347913	0.286000	0.232841	
1000	0.301000	0.914409	464	0.252155	0.544097	536	0.343284	0.301000	0.237384	
1000	0.289000	0.914409	518	0.247104	0.544097	482	0.334025	0.289000	0.240610	
1000	0.298000	0.914409	503	0.248509	0.544097	497	0.348089	0.298000	0.243986	
1000	0.302000	0.914409	504	0.234127	0.544097	496	0.370968	0.302000	0.247208	
1000	0.315000	0.914409	520	0.267308	0.544097	480	0.366667	0.315000	0.250776	
1000	0.296000	0.914409	490	0.238776	0.544097	510	0.350980	0.296000	0.253037	
1000	0.289000	0.914409	491	0.252546	0.544097	509	0.324165	0.289000	0.254750	
1000	0.307000	0.914409	508	0.257874	0.544097	492	0.357724	0.307000	0.257125	
1000	0.283000	0.914409	521	0.234165	0.544097	479	0.336117	0.283000	0.258250	
1000	0.366000	0.914409	499	0.318637	0.544097	501	0.413174	0.366000	0.262739	
1000	0.288000	0.914409	498	0.277108	0.626085	502	0.298805	0.288000	0.263749	
1000	0.298000	0.914409	502	0.298805	0.626085	498	0.297189	0.298000	0.265067	
1000	0.281000	0.914409	502	0.276892	0.626085	498	0.285141	0.281000	0.265657	
1000	0.274000	0.914409	526	0.241445	0.626085	474	0.310127	0.274000	0.265955	
1000	0.282000	0.914409	540	0.250000	0.626085	460	0.319565	0.282000	0.266508	
1000	0.282000	0.914409	496	0.243952	0.626085	504	0.319444	0.282000	0.267024	
1000	0.261000	0.914409	530	0.226415	0.626085	470	0.300000	0.261000	0.266830	
1000	0.277000	0.914409	508	0.273622	0.626085	492	0.280488	0.277000	0.267148	
1000	0.289000	0.914409	481	0.230769	0.626085	519	0.342967	0.289000	0.267810	
1000	0.287000	0.914409	470	0.242553	0.626085	530	0.326415	0.287000	0.268374	
1000	0.256000	0.914409	520	0.205769	0.626085	480	0.310417	0.256000	0.268021	
1000	0.267000	0.914409	522	0.258621	0.626085	478	0.276151	0.267000	0.267993	
1000	0.255000	0.914409	462	0.225108	0.626085	538	0.280669	0.255000	0.267641	
1000	0.288000	0.914409	493	0.259635	0.626085	507	0.315582	0.288000	0.268177	
1000	0.270000	0.914409	491	0.240326	0.626085	509	0.298625	0.270000	0.268224	
1000	0.298000	0.914409	501	0.257485	0.626085	499	0.338677	0.298000	0.268968	
1000	0.282000	0.914409	517	0.228240	0.626085	483	0.339545	0.282000	0.269286	
1000	0.301000	0.914409	494	0.253036	0.626085	506	0.347826	0.301000	0.270041	
1000	0.320000	0.914409	490	0.310204	0.626085	510	0.329412	0.320000	0.271203	
1000	0.301000	0.914409	516	0.282946	0.626085	484	0.320248	0.301000	0.271880	
1000	0.265000	0.914409	522	0.250958	0.626085	478	0.280335	0.265000	0.271727	
1000	0.278000	0.914409	508	0.263780	0.626085	492	0.292683	0.278000	0.271864	
1000	0.279000	0.914409	516	0.228682	0.626085	484	0.332645	0.279000	0.272015	
1000	0.290000	0.914409	495	0.252525	0.626085	505	0.326733	0.290000	0.272390	
