Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.059000	7.045728	516	0.021318	2.351001	484	0.099174	0.059000	0.088956	
1000	0.087000	4.372942	512	0.048828	1.565554	488	0.127049	0.087000	0.088304	
1000	0.131000	3.482697	494	0.068826	1.202228	506	0.191700	0.131000	0.098975	
1000	0.232000	2.836377	515	0.071845	0.618641	485	0.402062	0.232000	0.125575	
1000	0.191000	1.921184	508	0.102362	0.823293	492	0.282520	0.191000	0.136477	
1000	0.256000	0.995779	529	0.234405	0.823293	471	0.280255	0.256000	0.153549	
1000	0.254000	0.995779	466	0.248927	0.823293	534	0.258427	0.254000	0.166104	
1000	0.247000	0.995779	506	0.237154	0.823293	494	0.257085	0.247000	0.175092	
1000	0.257000	0.995779	520	0.228846	0.823293	480	0.287500	0.257000	0.183282	
1000	0.273000	0.995779	498	0.232932	0.823293	502	0.312749	0.273000	0.191437	
1000	0.259000	0.995779	496	0.227823	0.823293	504	0.289683	0.259000	0.197067	
1000	0.259000	0.995779	503	0.226640	0.823293	497	0.291751	0.259000	0.201831	
1000	0.293000	0.995779	506	0.266798	0.823293	494	0.319838	0.293000	0.208342	
1000	0.275000	0.995779	504	0.222222	0.823293	496	0.328629	0.275000	0.212786	
1000	0.269000	0.995779	495	0.230303	0.823293	505	0.306931	0.269000	0.216299	
1000	0.277000	0.995779	505	0.271287	0.823293	495	0.282828	0.277000	0.219869	
1000	0.248000	0.995779	512	0.228516	0.823293	488	0.268443	0.248000	0.221432	
1000	0.286000	0.995779	481	0.243243	0.823293	519	0.325626	0.286000	0.224830	
1000	0.246000	0.995779	517	0.220503	0.823293	483	0.273292	0.246000	0.225889	
1000	0.245000	0.995779	494	0.220648	0.823293	506	0.268775	0.245000	0.226799	
1000	0.256000	0.995779	517	0.226306	0.823293	483	0.287785	0.256000	0.228126	
1000	0.220000	0.995779	486	0.170782	0.823293	514	0.266537	0.220000	0.227773	
1000	0.320000	0.655008	488	0.334016	0.823293	512	0.306641	0.320000	0.231615	
1000	0.306000	0.655008	505	0.356436	0.823293	495	0.254545	0.306000	0.234591	
1000	0.334000	0.655008	465	0.367742	0.823293	535	0.304673	0.334000	0.238414	
1000	0.325000	0.655008	512	0.353516	0.823293	488	0.295082	0.325000	0.241621	
1000	0.321000	0.655008	522	0.371648	0.823293	478	0.265690	0.321000	0.244456	
1000	0.319000	0.655008	477	0.356394	0.823293	523	0.284895	0.319000	0.247026	
1000	0.319000	0.655008	484	0.363636	0.823293	516	0.277132	0.319000	0.249425	
1000	0.300000	0.655008	508	0.328740	0.823293	492	0.270325	0.300000	0.251056	
1000	0.326000	0.655008	488	0.368852	0.823293	512	0.285156	0.326000	0.253398	
1000	0.311000	0.655008	519	0.356455	0.823293	481	0.261954	0.311000	0.255144	
1000	0.332000	0.655008	514	0.350195	0.823293	486	0.312757	0.332000	0.257404	
1000	0.318000	0.655008	497	0.396378	0.823293	503	0.240557	0.318000	0.259135	
1000	0.324000	0.655008	479	0.361169	0.823293	521	0.289827	0.324000	0.260937	
1000	0.289000	0.655008	458	0.338428	0.823293	542	0.247232	0.289000	0.261696	
1000	0.326000	0.655008	498	0.353414	0.823293	502	0.298805	0.326000	0.263388	
1000	0.308000	0.655008	493	0.326572	0.823293	507	0.289941	0.308000	0.264532	
1000	0.321000	0.655008	525	0.358095	0.823293	475	0.280000	0.321000	0.265943	
1000	0.300000	0.655008	505	0.336634	0.823293	495	0.262626	0.300000	0.266774	
1000	0.312000	0.655008	484	0.332645	0.823293	516	0.292636	0.312000	0.267851	
1000	0.294000	0.655008	541	0.332717	0.823293	459	0.248366	0.294000	0.268459	
1000	0.296000	0.655008	504	0.351190	0.823293	496	0.239919	0.296000	0.269085	
1000	0.325000	0.655008	493	0.346856	0.823293	507	0.303748	0.325000	0.270327	
1000	0.301000	0.655008	524	0.320611	0.823293	476	0.279412	0.301000	0.270994	
1000	0.316000	0.655008	495	0.359596	0.823293	505	0.273267	0.316000	0.271952	
1000	0.304000	0.655008	478	0.336820	0.823293	522	0.273946	0.304000	0.272619	
1000	0.291000	0.655008	475	0.338947	0.823293	525	0.247619	0.291000	0.272994	
1000	0.311000	0.655008	485	0.338144	0.823293	515	0.285437	0.311000	0.273755	
1000	0.321000	0.655008	500	0.362000	0.823293	500	0.280000	0.321000	0.274681	
1000	0.300000	0.655008	494	0.317814	0.823293	506	0.282609	0.300000	0.275168	
1000	0.339000	0.655008	484	0.367769	0.823293	516	0.312016	0.339000	0.276372	
1000	0.312000	0.655008	524	0.330153	0.823293	476	0.292017	0.312000	0.277032	
1000	0.300000	0.655008	465	0.354839	0.823293	535	0.252336	0.300000	0.277450	
1000	0.327000	0.655008	513	0.346979	0.823293	487	0.305955	0.327000	0.278334	
1000	0.346000	0.655008	472	0.411017	0.823293	528	0.287879	0.346000	0.279521	
1000	0.269000	0.815037	485	0.241237	0.823293	515	0.295146	0.269000	0.279340	
1000	0.273000	0.815037	487	0.273101	0.823293	513	0.272904	0.273000	0.279233	
1000	0.289000	0.815037	497	0.291751	0.823293	503	0.286282	0.289000	0.279395	
1000	0.276000	0.815037	530	0.267925	0.823293	470	0.285106	0.276000	0.279340	
1000	0.292000	0.815037	491	0.315682	0.823293	509	0.269155	0.292000	0.279544	
1000	0.299000	0.815037	526	0.298479	0.823293	474	0.299578	0.299000	0.279853	
1000	0.299000	0.815037	496	0.296371	0.823293	504	0.301587	0.299000	0.280152	
1000	0.294000	0.815037	492	0.347561	0.823293	508	0.242126	0.294000	0.280365	
1000	0.279000	0.815037	494	0.297571	0.823293	506	0.260870	0.279000	0.280344	
1000	0.272000	0.815037	496	0.274194	0.823293	504	0.269841	0.272000	0.280220	
1000	0.296000	0.815037	520	0.311538	0.823293	480	0.279167	0.296000	0.280452	
1000	0.264000	0.815037	502	0.260956	0.823293	498	0.267068	0.264000	0.280213	
1000	0.288000	0.815037	487	0.289528	0.823293	513	0.286550	0.288000	0.280325	
1000	0.259000	0.815037	513	0.265107	0.823293	487	0.252567	0.259000	0.280024	
1000	0.267000	0.815037	462	0.287879	0.823293	538	0.249071	0.267000	0.279843	
1000	0.275000	0.815037	503	0.250497	0.823293	497	0.299799	0.275000	0.279777	
1000	0.288000	0.815037	483	0.302277	0.823293	517	0.274662	0.288000	0.279888	
1000	0.301000	0.815037	497	0.315895	0.823293	503	0.286282	0.301000	0.280170	
1000	0.286000	0.815037	510	0.268627	0.823293	490	0.304082	0.286000	0.280246	
1000	0.280000	0.815037	523	0.265774	0.823293	477	0.295597	0.280000	0.280243	
1000	0.290000	0.815037	530	0.292453	0.823293	470	0.287234	0.290000	0.280368	
1000	0.291000	0.815037	505	0.285149	0.823293	495	0.296970	0.291000	0.280503	
1000	0.262000	0.815037	514	0.254864	0.823293	486	0.269547	0.262000	0.280271	
1000	0.266000	0.815037	482	0.253112	0.823293	518	0.277992	0.266000	0.280095	
1000	0.276000	0.815037	533	0.262664	0.823293	467	0.291221	0.276000	0.280045	
1000	0.296000	0.815037	495	0.276768	0.823293	505	0.314851	0.296000	0.280238	
1000	0.310000	0.815037	524	0.324427	0.823293	476	0.294118	0.310000	0.280592	
1000	0.305000	0.815037	501	0.297405	0.823293	499	0.312625	0.305000	0.280879	
1000	0.304000	0.815037	506	0.312253	0.823293	494	0.295547	0.304000	0.281148	
1000	0.257000	0.815037	504	0.248016	0.823293	496	0.266129	0.257000	0.280870	
1000	0.309000	0.815037	479	0.315240	0.823293	521	0.303263	0.309000	0.281190	
1000	0.255000	0.815037	509	0.255403	0.823293	491	0.254582	0.255000	0.280896	
1000	0.284000	0.815037	498	0.291165	0.823293	502	0.276892	0.284000	0.280930	
1000	0.304000	0.815037	508	0.303150	0.823293	492	0.304878	0.304000	0.281184	
1000	0.286000	0.815037	519	0.294798	0.823293	481	0.276507	0.286000	0.281236	
1000	0.258000	0.815037	482	0.253112	0.823293	518	0.262548	0.258000	0.280986	
1000	0.321000	0.815037	510	0.335294	0.823293	490	0.306122	0.321000	0.281412	
1000	0.268000	0.815037	505	0.267327	0.823293	495	0.268687	0.268000	0.281271	
1000	0.291000	0.815037	506	0.300395	0.823293	494	0.281377	0.291000	0.281372	
1000	0.309000	0.815037	500	0.338000	0.823293	500	0.280000	0.309000	0.281657	
1000	0.284000	0.815037	502	0.302789	0.823293	498	0.265060	0.284000	0.281681	
1000	0.292000	0.815037	502	0.308765	0.823293	498	0.275100	0.292000	0.281785	
1000	0.289000	0.815037	508	0.267717	0.823293	492	0.310976	0.289000	0.281857	
1000	0.284000	0.815037	510	0.301961	0.823293	490	0.265306	0.284000	0.281878	
1000	0.272000	0.815037	498	0.242972	0.823293	502	0.300797	0.272000	0.281782	
1000	0.281000	0.815037	483	0.291925	0.823293	517	0.270793	0.281000	0.281774	
1000	0.271000	0.815037	496	0.272177	0.823293	504	0.269841	0.271000	0.281670	
1000	0.261000	0.815037	514	0.268482	0.823293	486	0.253086	0.261000	0.281474	
1000	0.305000	0.815037	498	0.291165	0.823293	502	0.318725	0.305000	0.281695	
1000	0.253000	0.815037	471	0.242038	0.823293	529	0.262760	0.253000	0.281427	
1000	0.284000	0.815037	485	0.292784	0.823293	515	0.275728	0.284000	0.281451	
1000	0.298000	0.815037	483	0.304348	0.823293	517	0.292070	0.298000	0.281603	
1000	0.289000	0.815037	505	0.281188	0.823293	495	0.296970	0.289000	0.281670	
1000	0.272000	0.815037	519	0.262042	0.823293	481	0.282744	0.272000	0.281583	
1000	0.285000	0.815037	536	0.285448	0.823293	464	0.284483	0.285000	0.281614	
1000	0.282000	0.815037	519	0.265896	0.823293	481	0.299376	0.282000	0.281617	
1000	0.259000	0.815037	505	0.235644	0.823293	495	0.282828	0.259000	0.281419	
1000	0.292000	0.815037	517	0.303675	0.823293	483	0.279503	0.292000	0.281511	
1000	0.284000	0.815037	498	0.275100	0.823293	502	0.292829	0.284000	0.281532	
1000	0.275000	0.815037	506	0.306324	0.823293	494	0.242915	0.275000	0.281476	
1000	0.310000	0.815037	501	0.305389	0.823293	499	0.314629	0.310000	0.281718	
1000	0.299000	0.815037	500	0.310000	0.823293	500	0.288000	0.299000	0.281863	
1000	0.295000	0.815037	468	0.318376	0.823293	532	0.274436	0.295000	0.281973	
1000	0.288000	0.815037	484	0.301653	0.823293	516	0.275194	0.288000	0.282022	
1000	0.308000	0.815037	469	0.289979	0.823293	531	0.323917	0.308000	0.282235	
1000	0.282000	0.815037	503	0.290258	0.823293	497	0.273642	0.282000	0.282233	
1000	0.263000	0.815037	485	0.253608	0.823293	515	0.271845	0.263000	0.282078	
1000	0.265000	0.815037	517	0.251451	0.823293	483	0.279503	0.265000	0.281942	
1000	0.308000	0.815037	506	0.341897	0.823293	494	0.273279	0.308000	0.282149	
1000	0.262000	0.815037	528	0.234848	0.823293	472	0.292373	0.262000	0.281990	
1000	0.280000	0.815037	497	0.289738	0.823293	503	0.270378	0.280000	0.281974	
1000	0.295000	0.815037	500	0.304000	0.823293	500	0.286000	0.295000	0.282075	
1000	0.283000	0.815037	474	0.280591	0.823293	526	0.285171	0.283000	0.282082	
1000	0.286000	0.815037	534	0.297753	0.823293	466	0.272532	0.286000	0.282112	
1000	0.274000	0.815037	494	0.259109	0.823293	506	0.288538	0.274000	0.282051	
1000	0.265000	0.815037	498	0.257028	0.823293	502	0.272908	0.265000	0.281923	
1000	0.310000	0.815037	513	0.317739	0.823293	487	0.301848	0.310000	0.282132	
1000	0.282000	0.815037	501	0.283433	0.823293	499	0.280561	0.282000	0.282131	
1000	0.289000	0.815037	466	0.315451	0.823293	534	0.265918	0.289000	0.282182	
1000	0.327000	0.815037	483	0.310559	0.823293	517	0.342360	0.327000	0.282509	
1000	0.265000	0.815037	511	0.273973	0.823293	489	0.255624	0.265000	0.282382	
1000	0.303000	0.815037	488	0.307377	0.823293	512	0.298828	0.303000	0.282530	
1000	0.287000	0.815037	522	0.285441	0.823293	478	0.288703	0.287000	0.282562	
1000	0.300000	0.815037	519	0.319846	0.823293	481	0.278586	0.300000	0.282686	
1000	0.304000	0.815037	504	0.281746	0.823293	496	0.326613	0.304000	0.282836	
1000	0.287000	0.815037	499	0.306613	0.823293	501	0.267465	0.287000	0.282865	
1000	0.285000	0.815037	515	0.275728	0.823293	485	0.294845	0.285000	0.282880	
1000	0.288000	0.815037	500	0.288000	0.823293	500	0.288000	0.288000	0.282915	
1000	0.269000	0.815037	503	0.294235	0.823293	497	0.243461	0.269000	0.282820	
1000	0.290000	0.815037	502	0.292829	0.823293	498	0.287149	0.290000	0.282869	
1000	0.329000	0.815037	501	0.373253	0.823293	499	0.284569	0.329000	0.283181	
1000	0.301000	0.815037	487	0.310062	0.823293	513	0.292398	0.301000	0.283300	
1000	0.290000	0.815037	528	0.297348	0.823293	472	0.281780	0.290000	0.283345	
