Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.044000	3.486326	521	0.038388	4.463348	479	0.050104	0.044000	0.104948	
1000	0.082000	2.741729	504	0.083333	2.503894	496	0.080645	0.082000	0.097301	
1000	0.092000	2.410805	521	0.103647	2.085995	479	0.079332	0.092000	0.095976	
1000	0.106000	2.298074	507	0.094675	1.232072	493	0.117647	0.106000	0.097980	
1000	0.158000	1.277985	481	0.141372	1.212429	519	0.173410	0.158000	0.107982	
1000	0.210000	0.953386	521	0.278311	1.065205	479	0.135699	0.210000	0.122554	
1000	0.232000	0.953386	484	0.258264	0.941379	516	0.207364	0.232000	0.136233	
1000	0.227000	0.953386	483	0.238095	0.941379	517	0.216634	0.227000	0.146317	
1000	0.199000	0.953386	501	0.207585	0.941379	499	0.190381	0.199000	0.151585	
1000	0.307000	0.953386	477	0.241090	0.505089	523	0.367113	0.307000	0.165712	
1000	0.300000	0.953386	511	0.227006	0.505089	489	0.376278	0.300000	0.176902	
1000	0.302000	0.953386	471	0.235669	0.505089	529	0.361059	0.302000	0.186524	
1000	0.305000	0.953386	514	0.256809	0.505089	486	0.355967	0.305000	0.194986	
1000	0.295000	0.953386	500	0.216000	0.505089	500	0.374000	0.295000	0.201653	
1000	0.292000	0.953386	497	0.249497	0.505089	503	0.333996	0.292000	0.207300	
1000	0.278000	0.953386	503	0.216700	0.505089	497	0.340040	0.278000	0.211458	
1000	0.303000	0.953386	523	0.237094	0.505089	477	0.375262	0.303000	0.216544	
1000	0.315000	0.953386	484	0.274793	0.505089	516	0.352713	0.315000	0.221725	
1000	0.314000	0.953386	474	0.232068	0.505089	526	0.387833	0.314000	0.226339	
1000	0.297000	0.953386	533	0.264540	0.505089	467	0.334047	0.297000	0.229703	
1000	0.295000	0.953386	508	0.240157	0.505089	492	0.351626	0.295000	0.232671	
1000	0.291000	0.953386	493	0.208925	0.505089	507	0.370809	0.291000	0.235207	
1000	0.292000	0.953386	505	0.239604	0.505089	495	0.345455	0.292000	0.237573	
1000	0.296000	0.953386	512	0.255859	0.505089	488	0.338115	0.296000	0.239910	
1000	0.293000	0.953386	541	0.229205	0.505089	459	0.368192	0.293000	0.241952	
1000	0.300000	0.953386	472	0.277542	0.505089	528	0.320076	0.300000	0.244102	
1000	0.292000	0.953386	517	0.232108	0.505089	483	0.356108	0.292000	0.245813	
1000	0.308000	0.953386	494	0.267206	0.505089	506	0.347826	0.308000	0.247957	
1000	0.303000	0.953386	491	0.248473	0.505089	509	0.355599	0.303000	0.249792	
1000	0.297000	0.953386	504	0.250000	0.505089	496	0.344758	0.297000	0.251314	
1000	0.312000	0.953386	532	0.246241	0.505089	468	0.386752	0.312000	0.253211	
1000	0.309000	0.953386	509	0.282908	0.505089	491	0.336049	0.309000	0.254901	
1000	0.281000	0.953386	491	0.201629	0.505089	509	0.357564	0.281000	0.255669	
1000	0.298000	0.953386	501	0.209581	0.505089	499	0.386774	0.298000	0.256878	
1000	0.322000	0.953386	499	0.292585	0.505089	501	0.351297	0.322000	0.258687	
1000	0.297000	0.953386	509	0.216110	0.505089	491	0.380855	0.297000	0.259723	
1000	0.310000	0.953386	489	0.267894	0.505089	511	0.350294	0.310000	0.261046	
1000	0.303000	0.953386	485	0.220619	0.505089	515	0.380583	0.303000	0.262121	
1000	0.330000	0.953386	477	0.276730	0.505089	523	0.378585	0.330000	0.263818	
1000	0.295000	0.953386	509	0.253438	0.505089	491	0.338086	0.295000	0.264579	
1000	0.304000	0.953386	483	0.277433	0.505089	517	0.328820	0.304000	0.265517	
1000	0.287000	0.953386	520	0.234615	0.505089	480	0.343750	0.287000	0.266017	
1000	0.294000	0.953386	510	0.223529	0.505089	490	0.367347	0.294000	0.266653	
1000	0.307000	0.953386	472	0.230932	0.505089	528	0.375000	0.307000	0.267550	
1000	0.323000	0.953386	483	0.244306	0.505089	517	0.396518	0.323000	0.268755	
1000	0.285000	0.953386	490	0.224490	0.505089	510	0.343137	0.285000	0.269101	
1000	0.314000	0.953386	484	0.276860	0.505089	516	0.348837	0.314000	0.270036	
1000	0.298000	0.953386	484	0.221074	0.505089	516	0.370155	0.298000	0.270607	
1000	0.309000	0.953386	509	0.259332	0.505089	491	0.360489	0.309000	0.271375	
1000	0.279000	0.953386	546	0.203297	0.505089	454	0.370044	0.279000	0.271524	
1000	0.341000	0.953386	503	0.244533	0.505089	497	0.438632	0.341000	0.272860	
1000	0.210000	0.953386	512	0.232422	0.977189	488	0.186475	0.210000	0.271674	
1000	0.237000	0.953386	552	0.250000	0.958446	448	0.220982	0.237000	0.271032	
1000	0.248000	0.953386	490	0.244898	0.958446	510	0.250980	0.248000	0.270613	
1000	0.240000	0.953386	517	0.259188	0.958446	483	0.219462	0.240000	0.270067	
1000	0.235000	0.953386	501	0.273453	0.958446	499	0.196393	0.235000	0.269451	
1000	0.298000	0.953386	531	0.248588	0.481707	469	0.353945	0.298000	0.269944	
1000	0.318000	0.953386	514	0.250973	0.481707	486	0.388889	0.318000	0.270758	
1000	0.284000	0.953386	513	0.194932	0.481707	487	0.377823	0.284000	0.270979	
1000	0.329000	0.807771	488	0.288934	0.481707	512	0.367188	0.329000	0.271930	
1000	0.320000	0.807771	505	0.259406	0.481707	495	0.381818	0.320000	0.272705	
1000	0.332000	0.807771	518	0.305019	0.481707	482	0.360996	0.332000	0.273646	
1000	0.336000	0.807771	502	0.286853	0.481707	498	0.385542	0.336000	0.274621	
1000	0.303000	0.807771	500	0.264000	0.481707	500	0.342000	0.303000	0.275057	
1000	0.340000	0.807771	506	0.314229	0.481707	494	0.366397	0.340000	0.276041	
1000	0.308000	0.807771	496	0.268145	0.481707	504	0.347222	0.308000	0.276518	
1000	0.334000	0.807771	527	0.284630	0.481707	473	0.389006	0.334000	0.277364	
1000	0.362000	0.807771	514	0.313230	0.481707	486	0.413580	0.362000	0.278590	
1000	0.240000	0.807771	520	0.248077	0.897153	480	0.231250	0.240000	0.278039	
1000	0.253000	0.807771	504	0.307540	0.897153	496	0.197581	0.253000	0.277686	
1000	0.278000	0.807771	482	0.304979	0.715515	518	0.252896	0.278000	0.277691	
1000	0.259000	0.807771	498	0.271084	0.715515	502	0.247012	0.259000	0.277435	
1000	0.274000	0.807771	501	0.315369	0.715515	499	0.232465	0.274000	0.277388	
1000	0.284000	0.807771	510	0.327451	0.715515	490	0.238776	0.284000	0.277476	
1000	0.294000	0.807771	431	0.303944	0.715515	569	0.286467	0.294000	0.277694	
1000	0.275000	0.807771	502	0.282869	0.715515	498	0.267068	0.275000	0.277659	
1000	0.302000	0.807771	516	0.317829	0.715515	484	0.285124	0.302000	0.277971	
1000	0.278000	0.807771	489	0.274029	0.715515	511	0.281800	0.278000	0.277971	
1000	0.287000	0.807771	523	0.273423	0.715515	477	0.301887	0.287000	0.278084	
1000	0.293000	0.807771	487	0.355236	0.715515	513	0.233918	0.293000	0.278268	
1000	0.273000	0.807771	513	0.276803	0.715515	487	0.268994	0.273000	0.278204	
1000	0.273000	0.807771	495	0.272727	0.715515	505	0.273267	0.273000	0.278141	
1000	0.267000	0.807771	493	0.263692	0.715515	507	0.270217	0.267000	0.278009	
1000	0.288000	0.807771	521	0.284069	0.715515	479	0.292276	0.288000	0.278126	
1000	0.278000	0.807771	516	0.269380	0.715515	484	0.287190	0.278000	0.278125	
1000	0.285000	0.807771	472	0.298729	0.715515	528	0.272727	0.285000	0.278204	
1000	0.271000	0.807771	481	0.288981	0.715515	519	0.254335	0.271000	0.278122	
1000	0.269000	0.807771	506	0.272727	0.715515	494	0.265182	0.269000	0.278019	
1000	0.266000	0.807771	510	0.250980	0.715515	490	0.281633	0.266000	0.277886	
1000	0.266000	0.807771	527	0.269450	0.715515	473	0.262156	0.266000	0.277755	
1000	0.239000	0.807771	492	0.237805	0.715515	508	0.240157	0.239000	0.277334	
1000	0.246000	0.807771	485	0.212371	0.715515	515	0.277670	0.246000	0.276997	
1000	0.262000	0.807771	462	0.277056	0.715515	538	0.249071	0.262000	0.276837	
1000	0.288000	0.807771	519	0.277457	0.715515	481	0.299376	0.288000	0.276955	
1000	0.275000	0.807771	484	0.305785	0.715515	516	0.246124	0.275000	0.276935	
1000	0.252000	0.807771	502	0.266932	0.715515	498	0.236948	0.252000	0.276678	
1000	0.269000	0.807771	504	0.293651	0.715515	496	0.243952	0.269000	0.276599	
1000	0.279000	0.807771	501	0.299401	0.715515	499	0.258517	0.279000	0.276623	
1000	0.282000	0.807771	520	0.317308	0.715515	480	0.243750	0.282000	0.276677	
1000	0.265000	0.807771	498	0.263052	0.715515	502	0.266932	0.265000	0.276562	
1000	0.258000	0.807771	507	0.278107	0.715515	493	0.237323	0.258000	0.276380	
1000	0.287000	0.807771	546	0.269231	0.715515	454	0.308370	0.287000	0.276483	
1000	0.266000	0.807771	511	0.260274	0.715515	489	0.271984	0.266000	0.276382	
1000	0.282000	0.807771	519	0.296724	0.715515	481	0.266112	0.282000	0.276435	
1000	0.274000	0.807771	510	0.286275	0.715515	490	0.261224	0.274000	0.276412	
1000	0.305000	0.807771	520	0.342308	0.715515	480	0.264583	0.305000	0.276680	
1000	0.280000	0.807771	497	0.261569	0.715515	503	0.298211	0.280000	0.276710	
1000	0.306000	0.807771	508	0.324803	0.715515	492	0.286585	0.306000	0.276979	
1000	0.272000	0.807771	467	0.263383	0.715515	533	0.279550	0.272000	0.276934	
1000	0.257000	0.807771	505	0.283168	0.715515	495	0.230303	0.257000	0.276754	
1000	0.280000	0.807771	513	0.296296	0.715515	487	0.262834	0.280000	0.276783	
1000	0.322000	0.807771	499	0.360721	0.715515	501	0.283433	0.322000	0.277183	
1000	0.288000	0.807771	478	0.288703	0.715515	522	0.287356	0.288000	0.277278	
1000	0.280000	0.807771	548	0.288321	0.715515	452	0.269912	0.280000	0.277302	
1000	0.288000	0.807771	528	0.284091	0.715515	472	0.292373	0.288000	0.277394	
1000	0.302000	0.807771	504	0.295635	0.715515	496	0.308468	0.302000	0.277604	
1000	0.277000	0.807771	529	0.310019	0.715515	471	0.239915	0.277000	0.277599	
1000	0.291000	0.807771	482	0.302905	0.715515	518	0.279923	0.291000	0.277712	
1000	0.291000	0.807771	499	0.306613	0.715515	501	0.275449	0.291000	0.277823	
