Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.138208	-0.138208
1	0.995007	75000	-0.138022	-0.276230
2	0.992517	75000	-0.137766	-0.413996
3	0.990030	75000	-0.137497	-0.551493
4	0.987547	75000	-0.137416	-0.688909
5	0.985067	75000	-0.137210	-0.826119
6	0.982592	75000	-0.136961	-0.963079
7	0.980120	75000	-0.136735	-1.099814
8	0.977652	75000	-0.136587	-1.236401
9	0.975187	75000	-0.136364	-1.372765
10	0.972726	75000	-0.136143	-1.508908
11	0.970269	75000	-0.135979	-1.644887
12	0.967816	75000	-0.135748	-1.780635
13	0.965367	75000	-0.135584	-1.916220
14	0.962921	75000	-0.135359	-2.051579
15	0.960479	75000	-0.135191	-2.186769
16	0.958040	75000	-0.135037	-2.321806
17	0.955606	75000	-0.134753	-2.456559
18	0.953175	75000	-0.134585	-2.591144
19	0.950747	75000	-0.134430	-2.725574
20	0.948324	75000	-0.134187	-2.859761
21	0.945904	75000	-0.133983	-2.993744
22	0.943488	75000	-0.133748	-3.127492
23	0.941076	75000	-0.133523	-3.261015
24	0.938667	75000	-0.133391	-3.394406
25	0.936262	75000	-0.133256	-3.527662
26	0.933861	75000	-0.132995	-3.660658
27	0.931463	75000	-0.132865	-3.793522
28	0.929069	75000	-0.132563	-3.926086
29	0.926679	75000	-0.132401	-4.058487
30	0.924293	75000	-0.132192	-4.190679
31	0.921910	75000	-0.132026	-4.322705
32	0.919531	75000	-0.131720	-4.454425
33	0.917155	75000	-0.131562	-4.585987
34	0.914783	75000	-0.131447	-4.717434
35	0.912415	75000	-0.131217	-4.848651
36	0.910051	75000	-0.131019	-4.979670
37	0.907690	75000	-0.130848	-5.110518
38	0.905333	75000	-0.130622	-5.241140
39	0.902980	75000	-0.130456	-5.371596
40	0.900630	75000	-0.130224	-5.501820
41	0.898284	75000	-0.129993	-5.631813
42	0.895942	75000	-0.129885	-5.761698
43	0.893603	75000	-0.129598	-5.891295
44	0.891268	75000	-0.129503	-6.020798
45	0.888937	75000	-0.129203	-6.150001
46	0.886609	75000	-0.129059	-6.279060
47	0.884285	75000	-0.128830	-6.407890
48	0.881965	75000	-0.128664	-6.536554
49	0.879648	75000	-0.128452	-6.665006
50	0.877335	75000	-0.128308	-6.793314
51	0.875026	75000	-0.128136	-6.921450
52	0.872720	75000	-0.127915	-7.049364
53	0.870418	75000	-0.127703	-7.177067
54	0.868120	75000	-0.127461	-7.304528
55	0.865825	75000	-0.127246	-7.431774
56	0.863534	75000	-0.127153	-7.558927
57	0.861246	75000	-0.126866	-7.685793
58	0.858962	75000	-0.126739	-7.812532
59	0.856682	75000	-0.126540	-7.939071
60	0.854405	75000	-0.126290	-8.065361
61	0.852132	75000	-0.126141	-8.191503
62	0.849863	75000	-0.125911	-8.317414
63	0.847597	75000	-0.125782	-8.443196
64	0.845335	75000	-0.125560	-8.568756
65	0.843077	75000	-0.125307	-8.694063
66	0.840822	75000	-0.125159	-8.819222
67	0.838571	75000	-0.124969	-8.944191
68	0.836323	75000	-0.124785	-9.068976
69	0.834079	75000	-0.124574	-9.193550
70	0.831839	75000	-0.124378	-9.317928
71	0.829602	75000	-0.124236	-9.442164
72	0.827369	75000	-0.123984	-9.566148
73	0.825140	75000	-0.123785	-9.689932
74	0.822914	75000	-0.123593	-9.813526
75	0.820691	75000	-0.123415	-9.936941
76	0.818473	75000	-0.123252	-10.060192
77	0.816258	75000	-0.123058	-10.183250
78	0.814046	75000	-0.122869	-10.306120
79	0.811838	75000	-0.122637	-10.428757
80	0.809634	75000	-0.122475	-10.551232
81	0.807433	75000	-0.122258	-10.673490
82	0.805236	75000	-0.122082	-10.795572
83	0.803043	75000	-0.121926	-10.917498
84	0.800853	75000	-0.121709	-11.039206
85	0.798667	75000	-0.121527	-11.160733
86	0.796484	75000	-0.121334	-11.282067
87	0.794305	75000	-0.121137	-11.403204
88	0.792129	75000	-0.120909	-11.524113
89	0.789957	75000	-0.120781	-11.644894
90	0.787789	75000	-0.120583	-11.765477
91	0.785624	75000	-0.120435	-11.885912
92	0.783463	75000	-0.120133	-12.006045
93	0.781305	75000	-0.119962	-12.126007
94	0.779151	75000	-0.119782	-12.245789
95	0.777000	75000	-0.119642	-12.365431
96	0.774853	75000	-0.119384	-12.484815
97	0.772710	75000	-0.119233	-12.604048
98	0.770570	75000	-0.119029	-12.723077
99	0.768433	75000	-0.118805	-12.841882
100	0.766301	75000	-0.118665	-12.960546
101	0.764172	75000	-0.118408	-13.078955
102	0.762046	75000	-0.118224	-13.197179
103	0.759924	75000	-0.118109	-13.315288
104	0.757805	75000	-0.117912	-13.433200
105	0.755690	75000	-0.117614	-13.550814
106	0.753579	75000	-0.117460	-13.668274
107	0.751471	75000	-0.117313	-13.785587
108	0.749366	75000	-0.117140	-13.902726
109	0.747266	75000	-0.116916	-14.019642
110	0.745168	75000	-0.116769	-14.136411
111	0.743075	75000	-0.116536	-14.252947
112	0.740984	75000	-0.116408	-14.369355
113	0.738898	75000	-0.116279	-14.485635
