Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.085000	4.182695	493	0.068966	2.175359	507	0.100592	0.085000	0.153423	
1000	0.079000	2.198929	514	0.087549	1.831680	486	0.069959	0.079000	0.128624	
1000	0.140000	1.546630	492	0.150407	1.545404	508	0.129921	0.140000	0.131467	
1000	0.167000	1.226272	491	0.226069	1.431468	509	0.110020	0.167000	0.138572	
1000	0.185000	1.226272	514	0.200389	1.315029	486	0.168724	0.185000	0.146309	
1000	0.192000	1.226272	519	0.200385	1.114674	481	0.182952	0.192000	0.152835	
1000	0.262000	1.226272	485	0.212371	0.607391	515	0.308738	0.262000	0.166479	
1000	0.235000	1.226272	486	0.211934	0.607391	514	0.256809	0.235000	0.174092	
1000	0.240000	1.226272	485	0.167010	0.607391	515	0.308738	0.240000	0.180682	
1000	0.250000	1.107451	498	0.188755	0.607391	502	0.310757	0.250000	0.186983	
1000	0.287000	0.880373	493	0.255578	0.607391	507	0.317554	0.287000	0.195317	
1000	0.267000	0.880373	502	0.256972	0.607391	498	0.277108	0.267000	0.200831	
1000	0.285000	0.880373	480	0.258333	0.607391	520	0.309615	0.285000	0.206842	
1000	0.293000	0.880373	474	0.272152	0.607391	526	0.311787	0.293000	0.212586	
1000	0.285000	0.880373	487	0.250513	0.607391	513	0.317739	0.285000	0.217111	
1000	0.285000	0.880373	475	0.267368	0.607391	525	0.300952	0.285000	0.221105	
1000	0.291000	0.880373	520	0.275000	0.607391	480	0.308333	0.291000	0.224988	
1000	0.289000	0.880373	496	0.276210	0.607391	504	0.301587	0.289000	0.228356	
1000	0.271000	0.880373	518	0.218147	0.607391	482	0.327801	0.271000	0.230488	
1000	0.295000	0.880373	508	0.295276	0.607391	492	0.294715	0.295000	0.233560	
1000	0.260000	0.880373	529	0.247637	0.607391	471	0.273885	0.260000	0.234762	
1000	0.280000	0.880373	512	0.259766	0.607391	488	0.301230	0.280000	0.236729	
1000	0.277000	0.880373	522	0.300766	0.607391	478	0.251046	0.277000	0.238407	
1000	0.283000	0.880373	496	0.252016	0.607391	504	0.313492	0.283000	0.240190	
1000	0.267000	0.880373	520	0.263462	0.607391	480	0.270833	0.267000	0.241221	
1000	0.276000	0.880373	480	0.241667	0.607391	520	0.307692	0.276000	0.242510	
1000	0.265000	0.880373	509	0.233792	0.607391	491	0.297352	0.265000	0.243313	
1000	0.285000	0.880373	474	0.276371	0.607391	526	0.292776	0.285000	0.244750	
1000	0.261000	0.880373	496	0.243952	0.607391	504	0.277778	0.261000	0.245292	
1000	0.319000	0.880373	497	0.336016	0.607391	503	0.302187	0.319000	0.247669	
1000	0.289000	0.880373	503	0.270378	0.607391	497	0.307847	0.289000	0.248961	
1000	0.310000	0.880373	502	0.296813	0.607391	498	0.323293	0.310000	0.250811	
1000	0.268000	0.880373	493	0.267748	0.607391	507	0.268245	0.268000	0.251316	
1000	0.292000	0.880373	511	0.234834	0.607391	489	0.351738	0.292000	0.252479	
1000	0.300000	0.880373	457	0.264770	0.607391	543	0.329650	0.300000	0.253799	
1000	0.292000	0.880373	518	0.289575	0.607391	482	0.294606	0.292000	0.254831	
1000	0.263000	0.880373	482	0.226141	0.607391	518	0.297297	0.263000	0.255046	
1000	0.286000	0.880373	496	0.247984	0.607391	504	0.323413	0.286000	0.255840	
1000	0.286000	0.880373	507	0.238659	0.607391	493	0.334686	0.286000	0.256594	
1000	0.305000	0.880373	480	0.304167	0.607391	520	0.305769	0.305000	0.257774	
1000	0.283000	0.880373	485	0.251546	0.607391	515	0.312621	0.283000	0.258375	
1000	0.274000	0.880373	501	0.245509	0.607391	499	0.302605	0.274000	0.258738	
1000	0.321000	0.880373	473	0.308668	0.607391	527	0.332068	0.321000	0.260153	
1000	0.276000	0.880373	484	0.264463	0.607391	516	0.286822	0.276000	0.260505	
1000	0.292000	0.880373	498	0.267068	0.607391	502	0.316733	0.292000	0.261190	
1000	0.295000	0.880373	480	0.277083	0.607391	520	0.311538	0.295000	0.261909	
1000	0.320000	0.880373	499	0.304609	0.607391	501	0.335329	0.320000	0.263120	
1000	0.264000	0.880373	496	0.231855	0.607391	504	0.295635	0.264000	0.263137	
1000	0.283000	0.880373	487	0.281314	0.607391	513	0.284600	0.283000	0.263535	
1000	0.284000	0.880373	493	0.279919	0.607391	507	0.287968	0.284000	0.263936	
1000	0.267000	0.880373	481	0.249480	0.607391	519	0.283237	0.267000	0.263995	
1000	0.265000	0.880373	507	0.250493	0.607391	493	0.279919	0.265000	0.264014	
1000	0.267000	0.880373	508	0.261811	0.607391	492	0.272358	0.267000	0.264069	
1000	0.304000	0.880373	493	0.290061	0.607391	507	0.317554	0.304000	0.264795	
1000	0.293000	0.880373	494	0.259109	0.607391	506	0.326087	0.293000	0.265299	
1000	0.267000	0.880373	485	0.288660	0.607391	515	0.246602	0.267000	0.265329	
1000	0.303000	0.880373	497	0.291751	0.607391	503	0.314115	0.303000	0.265978	
1000	0.296000	0.880373	478	0.253138	0.607391	522	0.335249	0.296000	0.266487	
1000	0.277000	0.880373	496	0.252016	0.607391	504	0.301587	0.277000	0.266662	
1000	0.296000	0.880373	493	0.249493	0.607391	507	0.341223	0.296000	0.267143	
