Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.123206	0.123206
1	0.995007	75000	0.123103	0.246310
2	0.992517	75000	0.122927	0.369237
3	0.990030	75000	0.122734	0.491971
4	0.987547	75000	0.122519	0.614490
5	0.985067	75000	0.122371	0.736861
6	0.982592	75000	0.122103	0.858964
7	0.980120	75000	0.121951	0.980915
8	0.977652	75000	0.121747	1.102663
9	0.975187	75000	0.121612	1.224274
10	0.972726	75000	0.121356	1.345631
11	0.970269	75000	0.121268	1.466899
12	0.967816	75000	0.121067	1.587966
13	0.965367	75000	0.120817	1.708783
14	0.962921	75000	0.120584	1.829367
15	0.960479	75000	0.120463	1.949830
16	0.958040	75000	0.120233	2.070063
17	0.955606	75000	0.120054	2.190117
18	0.953175	75000	0.119909	2.310026
19	0.950747	75000	0.119687	2.429714
20	0.948324	75000	0.119457	2.549171
21	0.945904	75000	0.119313	2.668483
22	0.943488	75000	0.119093	2.787576
23	0.941076	75000	0.118926	2.906502
24	0.938667	75000	0.118704	3.025206
25	0.936262	75000	0.118529	3.143735
26	0.933861	75000	0.118324	3.262059
27	0.931463	75000	0.118188	3.380248
28	0.929069	75000	0.117977	3.498225
29	0.926679	75000	0.117816	3.616041
30	0.924293	75000	0.117587	3.733628
31	0.921910	75000	0.117345	3.850973
32	0.919531	75000	0.117254	3.968227
33	0.917155	75000	0.117039	4.085266
34	0.914783	75000	0.116846	4.202112
35	0.912415	75000	0.116664	4.318776
36	0.910051	75000	0.116467	4.435243
37	0.907690	75000	0.116265	4.551508
38	0.905333	75000	0.116012	4.667520
39	0.902980	75000	0.115855	4.783375
40	0.900630	75000	0.115687	4.899062
41	0.898284	75000	0.115519	5.014581
42	0.895942	75000	0.115365	5.129946
43	0.893603	75000	0.115086	5.245032
44	0.891268	75000	0.114979	5.360010
45	0.888937	75000	0.114698	5.474709
46	0.886609	75000	0.114584	5.589293
47	0.884285	75000	0.114400	5.703693
48	0.881965	75000	0.114186	5.817879
49	0.879648	75000	0.114005	5.931883
50	0.877335	75000	0.113789	6.045673
51	0.875026	75000	0.113613	6.159286
52	0.872720	75000	0.113378	6.272665
53	0.870418	75000	0.113291	6.385955
54	0.868120	75000	0.113065	6.499021
55	0.865825	75000	0.112930	6.611950
56	0.863534	75000	0.112681	6.724631
57	0.861246	75000	0.112500	6.837131
58	0.858962	75000	0.112295	6.949427
59	0.856682	75000	0.112176	7.061602
60	0.854405	75000	0.111961	7.173563
61	0.852132	75000	0.111771	7.285334
62	0.849863	75000	0.111555	7.396890
63	0.847597	75000	0.111442	7.508332
64	0.845335	75000	0.111239	7.619570
65	0.843077	75000	0.111096	7.730667
66	0.840822	75000	0.110878	7.841545
67	0.838571	75000	0.110692	7.952237
68	0.836323	75000	0.110479	8.062716
69	0.834079	75000	0.110269	8.172985
70	0.831839	75000	0.110083	8.283068
71	0.829602	75000	0.109913	8.392981
72	0.827369	75000	0.109688	8.502669
73	0.825140	75000	0.109603	8.612272
74	0.822914	75000	0.109332	8.721604
75	0.820691	75000	0.109196	8.830800
76	0.818473	75000	0.109050	8.939850
77	0.816258	75000	0.108786	9.048637
78	0.814046	75000	0.108673	9.157310
79	0.811838	75000	0.108485	9.265795
80	0.809634	75000	0.108281	9.374076
81	0.807433	75000	0.108057	9.482134
82	0.805236	75000	0.107895	9.590028
83	0.803043	75000	0.107667	9.697695
84	0.800853	75000	0.107506	9.805201
85	0.798667	75000	0.107321	9.912522
86	0.796484	75000	0.107138	10.019660
87	0.794305	75000	0.106926	10.126586
88	0.792129	75000	0.106840	10.233426
89	0.789957	75000	0.106569	10.339995
90	0.787789	75000	0.106452	10.446447
91	0.785624	75000	0.106312	10.552758
92	0.783463	75000	0.106047	10.658806
93	0.781305	75000	0.105875	10.764681
94	0.779151	75000	0.105730	10.870411
95	0.777000	75000	0.105498	10.975909
96	0.774853	75000	0.105354	11.081263
97	0.772710	75000	0.105126	11.186390
98	0.770570	75000	0.104930	11.291319
99	0.768433	75000	0.104824	11.396144
100	0.766301	75000	0.104559	11.500703
101	0.764172	75000	0.104369	11.605072
102	0.762046	75000	0.104250	11.709322
103	0.759924	75000	0.104005	11.813328
104	0.757805	75000	0.103884	11.917212
105	0.755690	75000	0.103657	12.020869
106	0.753579	75000	0.103467	12.124337
107	0.751471	75000	0.103340	12.227677
108	0.749366	75000	0.103221	12.330898
109	0.747266	75000	0.103008	12.433907
110	0.745168	75000	0.102742	12.536648
111	0.743075	75000	0.102634	12.639282
112	0.740984	75000	0.102388	12.741670
113	0.738898	75000	0.102272	12.843942
114	0.736815	75000	0.102073	12.946015
115	0.734735	75000	0.101870	13.047886
116	0.732659	75000	0.101700	13.149586
117	0.730586	75000	0.101478	13.251064
118	0.728517	75000	0.101293	13.352357
119	0.726452	75000	0.101111	13.453468
120	0.724390	75000	0.100901	13.554370
121	0.722331	75000	0.100763	13.655133
122	0.720276	75000	0.100633	13.755766
123	0.718225	75000	0.100410	13.856176
124	0.716177	75000	0.100288	13.956464
125	0.714132	75000	0.100045	14.056509
126	0.712091	75000	0.099907	14.156416
127	0.710054	75000	0.099752	14.256169
128	0.708020	75000	0.099586	14.355755
129	0.705989	75000	0.099396	14.455151
130	0.703962	75000	0.099227	14.554379
131	0.701939	75000	0.099011	14.653390
132	0.699919	75000	0.098753	14.752143
133	0.697902	75000	0.098613	14.850756
134	0.695889	75000	0.098344	14.949100
135	0.693880	75000	0.098276	15.047377
136	0.691874	75000	0.098049	15.145426
137	0.689871	75000	0.097913	15.243339
138	0.687872	75000	0.097702	15.341041
139	0.685877	75000	0.097561	15.438602
140	0.683885	75000	0.097386	15.535988
141	0.681896	75000	0.097251	15.633239
142	0.679911	75000	0.096987	15.730226
143	0.677929	75000	0.096866	15.827092
144	0.675951	75000	0.096678	15.923770
145	0.673976	75000	0.096529	16.020299
146	0.672005	75000	0.096294	16.116593
147	0.670037	75000	0.096141	16.212734
148	0.668073	75000	0.095954	16.308688
149	0.666112	75000	0.095717	16.404405
150	0.664155	75000	0.095623	16.500028
151	0.662201	75000	0.095412	16.595440
152	0.660250	75000	0.095275	16.690715
153	0.658303	75000	0.095039	16.785754
154	0.656359	75000	0.094806	16.880560
155	0.654419	75000	0.094702	16.975261
156	0.652483	75000	0.094488	17.069749
157	0.650549	75000	0.094365	17.164114
158	0.648619	75000	0.094193	17.258307
159	0.646693	75000	0.093963	17.352270
160	0.644770	75000	0.093789	17.446059
161	0.642851	75000	0.093672	17.539731
162	0.640934	75000	0.093539	17.633270
163	0.639022	75000	0.093301	17.726570
164	0.637113	75000	0.093108	17.819678
165	0.635207	75000	0.092937	17.912615
166	0.633304	75000	0.092755	18.005370
167	0.631405	75000	0.092566	18.097936
168	0.629510	75000	0.092414	18.190351
169	0.627618	75000	0.092323	18.282673
170	0.625729	75000	0.092080	18.374753
171	0.623844	75000	0.091870	18.466623
172	0.621962	75000	0.091777	18.558401
173	0.620083	75000	0.091551	18.649951
174	0.618208	75000	0.091350	18.741301
175	0.616337	75000	0.091198	18.832499
176	0.614468	75000	0.091015	18.923514
177	0.612604	75000	0.090834	19.014349
178	0.610742	75000	0.090694	19.105043
179	0.608884	75000	0.090492	19.195535
180	0.607029	75000	0.090318	19.285853
181	0.605178	75000	0.090057	19.375910
182	0.603330	75000	0.090058	19.465969
183	0.601486	75000	0.089759	19.555728
184	0.599645	75000	0.089634	19.645362
185	0.597807	75000	0.089479	19.734841
186	0.595973	75000	0.089326	19.824167
187	0.594142	75000	0.089162	19.913329
188	0.592314	75000	0.088978	20.002307
189	0.590490	75000	0.088740	20.091048
190	0.588669	75000	0.088518	20.179566
191	0.586852	75000	0.088365	20.267930
192	0.585038	75000	0.088211	20.356142
193	0.583227	75000	0.088075	20.444217
194	0.581420	75000	0.087817	20.532034
195	0.579616	75000	0.087719	20.619753
196	0.577815	75000	0.087484	20.707237
197	0.576018	75000	0.087335	20.794572
198	0.574224	75000	0.087107	20.881679
199	0.572433	75000	0.087002	20.968682
200	0.570646	75000	0.086757	21.055439
201	0.568862	75000	0.086680	21.142118
202	0.567082	75000	0.086499	21.228617
203	0.565305	75000	0.086251	21.314868
204	0.563531	75000	0.086156	21.401024
205	0.561761	75000	0.085918	21.486942
206	0.559993	75000	0.085733	21.572676
207	0.558230	75000	0.085600	21.658276
208	0.556469	75000	0.085523	21.743799
209	0.554712	75000	0.085273	21.829072
210	0.552958	75000	0.085132	21.914204
211	0.551208	75000	0.084981	21.999185
212	0.549461	75000	0.084708	22.083894
213	0.547717	75000	0.084645	22.168539
214	0.545977	75000	0.084478	22.253017
215	0.544240	75000	0.084269	22.337286
216	0.542506	75000	0.084065	22.421351
217	0.540775	75000	0.083945	22.505296
218	0.539048	75000	0.083770	22.589066
219	0.537324	75000	0.083546	22.672611
220	0.535604	75000	0.083382	22.755994
221	0.533887	75000	0.083177	22.839170
222	0.532173	75000	0.083012	22.922183
223	0.530462	75000	0.082884	23.005066
224	0.528755	75000	0.082690	23.087757
225	0.527051	75000	0.082583	23.170339
226	0.525350	75000	0.082353	23.252692
227	0.523653	75000	0.082220	23.334912
228	0.521958	75000	0.082096	23.417008
229	0.520268	75000	0.081849	23.498857
230	0.518580	75000	0.081685	23.580542
231	0.516896	75000	0.081534	23.662077
232	0.515215	75000	0.081328	23.743404
233	0.513537	75000	0.081060	23.824464
234	0.511863	75000	0.081055	23.905519
235	0.510192	75000	0.080830	23.986349
236	0.508524	75000	0.080690	24.067039
237	0.506859	75000	0.080518	24.147556
238	0.505198	75000	0.080303	24.227860
239	0.503540	75000	0.080179	24.308038
240	0.501885	75000	0.080053	24.388092
241	0.500234	75000	0.079847	24.467939
242	0.498586	75000	0.079692	24.547631
243	0.496941	75000	0.079440	24.627072
244	0.495299	75000	0.079269	24.706340
245	0.493660	75000	0.079214	24.785554
246	0.492025	75000	0.078997	24.864551
247	0.490393	75000	0.078828	24.943379
248	0.488765	75000	0.078669	25.022048
249	0.487139	75000	0.078421	25.100469
250	0.485517	75000	0.078303	25.178772
251	0.483898	75000	0.078123	25.256895
252	0.482283	75000	0.077907	25.334802
253	0.480670	75000	0.077838	25.412640
254	0.479061	75000	0.077545	25.490185
255	0.477455	75000	0.077494	25.567678
256	0.475852	75000	0.077347	25.645025
257	0.474253	75000	0.077122	25.722147
258	0.472656	75000	0.076930	25.799077
259	0.471063	75000	0.076722	25.875799
260	0.469474	75000	0.076646	25.952445
261	0.467887	75000	0.076391	26.028837
262	0.466304	75000	0.076298	26.105135
263	0.464723	75000	0.076151	26.181287
264	0.463146	75000	0.075916	26.257203
265	0.461573	75000	0.075689	26.332892
266	0.460002	75000	0.075565	26.408457
267	0.458435	75000	0.075472	26.483929
268	0.456871	75000	0.075251	26.559180
269	0.455310	75000	0.075135	26.634315
270	0.453752	75000	0.074975	26.709290
271	0.452198	75000	0.074778	26.784069
272	0.450647	75000	0.074596	26.858665
273	0.449098	75000	0.074470	26.933135
274	0.447554	75000	0.074363	27.007499
275	0.446012	75000	0.074148	27.081647
276	0.444473	75000	0.073947	27.155594
277	0.442938	75000	0.073748	27.229342
278	0.441406	75000	0.073586	27.302928
279	0.439877	75000	0.073488	27.376416
280	0.438351	75000	0.073370	27.449786
281	0.436829	75000	0.073153	27.522939
282	0.435309	75000	0.073019	27.595959
283	0.433793	75000	0.072787	27.668745
284	0.432280	75000	0.072617	27.741362
285	0.430770	75000	0.072482	27.813845
286	0.429263	75000	0.072386	27.886230
287	0.427760	75000	0.072187	27.958418
288	0.426259	75000	0.071994	28.030412
289	0.424762	75000	0.071882	28.102293
290	0.423268	75000	0.071673	28.173966
291	0.421777	75000	0.071486	28.245452
292	0.420289	75000	0.071452	28.316904
293	0.418805	75000	0.071116	28.388021
294	0.417323	75000	0.071015	28.459036
295	0.415845	75000	0.070764	28.529799
296	0.414370	75000	0.070709	28.600508
297	0.412898	75000	0.070541	28.671049
298	0.411429	75000	0.070218	28.741267
299	0.409963	75000	0.070151	28.811417
300	0.408501	75000	0.070048	28.881465
301	0.407041	75000	0.069907	28.951372
302	0.405585	75000	0.069672	29.021044
303	0.404132	75000	0.069538	29.090581
304	0.402682	75000	0.069395	29.159976
305	0.401235	75000	0.069191	29.229167
306	0.399791	75000	0.069075	29.298242
307	0.398350	75000	0.068875	29.367117
308	0.396913	75000	0.068648	29.435765
309	0.395478	75000	0.068699	29.504464
310	0.394047	75000	0.068311	29.572776
311	0.392619	75000	0.068203	29.640978
312	0.391194	75000	0.067971	29.708950
313	0.389772	75000	0.067896	29.776845
314	0.388353	75000	0.067795	29.844641
315	0.386937	75000	0.067566	29.912207
316	0.385524	75000	0.067458	29.979665
317	0.384115	75000	0.067231	30.046896
318	0.382708	75000	0.067131	30.114027
319	0.381305	75000	0.067015	30.181042
320	0.379904	75000	0.066744	30.247786
321	0.378507	75000	0.066594	30.314380
322	0.377113	75000	0.066410	30.380790
323	0.375722	75000	0.066307	30.447097
324	0.374334	75000	0.066140	30.513237
325	0.372949	75000	0.065874	30.579111
326	0.371567	75000	0.065813	30.644925
327	0.370189	75000	0.065638	30.710563
328	0.368813	75000	0.065381	30.775944
329	0.367440	75000	0.065321	30.841265
330	0.366071	75000	0.065118	30.906384
331	0.364705	75000	0.064997	30.971381
332	0.363341	75000	0.064833	31.036213
333	0.361981	75000	0.064757	31.100970
334	0.360624	75000	0.064481	31.165451
335	0.359269	75000	0.064326	31.229777
336	0.357918	75000	0.064218	31.293996
337	0.356570	75000	0.063977	31.357973
338	0.355225	75000	0.063835	31.421808
339	0.353883	75000	0.063723	31.485530
340	0.352544	75000	0.063601	31.549131
341	0.351208	75000	0.063417	31.612548
342	0.349875	75000	0.063186	31.675734
343	0.348546	75000	0.063118	31.738852
344	0.347219	75000	0.062926	31.801779
345	0.345895	75000	0.062761	31.864540
346	0.344574	75000	0.062623	31.927163
347	0.343257	75000	0.062415	31.989578
348	0.341942	75000	0.062314	32.051892
349	0.340630	75000	0.062096	32.113988
350	0.339322	75000	0.061923	32.175911
351	0.338016	75000	0.061817	32.237728
352	0.336714	75000	0.061572	32.299300
353	0.335414	75000	0.061616	32.360916
354	0.334118	75000	0.061335	32.422251
355	0.332824	75000	0.061135	32.483387
356	0.331534	75000	0.060968	32.544355
357	0.330246	75000	0.060856	32.605210
358	0.328962	75000	0.060676	32.665887
359	0.327680	75000	0.060601	32.726488
360	0.326401	75000	0.060367	32.786855
361	0.325126	75000	0.060284	32.847139
362	0.323853	75000	0.060001	32.907140
363	0.322584	75000	0.059883	32.967023
364	0.321317	75000	0.059733	33.026757
365	0.320054	75000	0.059592	33.086349
366	0.318793	75000	0.059491	33.145840
367	0.317536	75000	0.059367	33.205206
368	0.316281	75000	0.059089	33.264295
369	0.315030	75000	0.059027	33.323322
370	0.313781	75000	0.058816	33.382139
371	0.312535	75000	0.058695	33.440834
372	0.311293	75000	0.058563	33.499396
373	0.310053	75000	0.058418	33.557814
374	0.308816	75000	0.058221	33.616035
375	0.307582	75000	0.057946	33.673981
376	0.306352	75000	0.057816	33.731797
377	0.305124	75000	0.057595	33.789393
378	0.303899	75000	0.057599	33.846991
379	0.302677	75000	0.057381	33.904372
380	0.301458	75000	0.057303	33.961675
381	0.300242	75000	0.057071	34.018746
382	0.299029	75000	0.056910	34.075656
383	0.297819	75000	0.056728	34.132384
384	0.296611	75000	0.056614	34.188998
385	0.295407	75000	0.056400	34.245397
386	0.294206	75000	0.056322	34.301719
387	0.293007	75000	0.056117	34.357836
388	0.291812	75000	0.055992	34.413828
389	0.290619	75000	0.055726	34.469554
390	0.289430	75000	0.055743	34.525297
391	0.288243	75000	0.055597	34.580893
392	0.287059	75000	0.055490	34.636384
393	0.285879	75000	0.055198	34.691581
394	0.284701	75000	0.055132	34.746713
395	0.283526	75000	0.054965	34.801678
396	0.282354	75000	0.054866	34.856543
397	0.281184	75000	0.054667	34.911211
398	0.280018	75000	0.054461	34.965672
399	0.278855	75000	0.054298	35.019970
400	0.277694	75000	0.054112	35.074082
401	0.276537	75000	0.054022	35.128103
402	0.275382	75000	0.053816	35.181919
403	0.274230	75000	0.053731	35.235650
404	0.273082	75000	0.053617	35.289267
405	0.271936	75000	0.053371	35.342638
406	0.270793	75000	0.053167	35.395805
407	0.269652	75000	0.053080	35.448885
408	0.268515	75000	0.052946	35.501831
