Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.117121	0.117121
1	0.995007	75000	0.117021	0.234142
2	0.992517	75000	0.116762	0.350904
3	0.990030	75000	0.116607	0.467511
4	0.987547	75000	0.116432	0.583944
5	0.985067	75000	0.116213	0.700157
6	0.982592	75000	0.116102	0.816259
7	0.980120	75000	0.115934	0.932193
8	0.977652	75000	0.115762	1.047955
9	0.975187	75000	0.115557	1.163512
10	0.972726	75000	0.115382	1.278894
11	0.970269	75000	0.115185	1.394079
12	0.967816	75000	0.115002	1.509081
13	0.965367	75000	0.114815	1.623896
14	0.962921	75000	0.114614	1.738510
15	0.960479	75000	0.114447	1.852957
16	0.958040	75000	0.114256	1.967212
17	0.955606	75000	0.114092	2.081304
18	0.953175	75000	0.113934	2.195238
19	0.950747	75000	0.113699	2.308937
20	0.948324	75000	0.113515	2.422452
21	0.945904	75000	0.113338	2.535790
22	0.943488	75000	0.113149	2.648940
23	0.941076	75000	0.112960	2.761900
24	0.938667	75000	0.112807	2.874706
25	0.936262	75000	0.112594	2.987300
26	0.933861	75000	0.112496	3.099796
27	0.931463	75000	0.112319	3.212115
28	0.929069	75000	0.112079	3.324194
29	0.926679	75000	0.111917	3.436111
30	0.924293	75000	0.111742	3.547853
31	0.921910	75000	0.111619	3.659473
32	0.919531	75000	0.111416	3.770889
33	0.917155	75000	0.111215	3.882104
34	0.914783	75000	0.111076	3.993180
35	0.912415	75000	0.110778	4.103958
36	0.910051	75000	0.110701	4.214659
37	0.907690	75000	0.110511	4.325170
38	0.905333	75000	0.110298	4.435469
39	0.902980	75000	0.110146	4.545615
40	0.900630	75000	0.109947	4.655561
41	0.898284	75000	0.109731	4.765293
42	0.895942	75000	0.109604	4.874897
43	0.893603	75000	0.109504	4.984401
44	0.891268	75000	0.109220	5.093622
45	0.888937	75000	0.109044	5.202666
46	0.886609	75000	0.108867	5.311532
47	0.884285	75000	0.108613	5.420145
48	0.881965	75000	0.108477	5.528622
49	0.879648	75000	0.108312	5.636934
50	0.877335	75000	0.108169	5.745103
51	0.875026	75000	0.107924	5.853027
52	0.872720	75000	0.107815	5.960843
53	0.870418	75000	0.107664	6.068507
54	0.868120	75000	0.107479	6.175985
55	0.865825	75000	0.107223	6.283208
56	0.863534	75000	0.107119	6.390327
57	0.861246	75000	0.106977	6.497304
58	0.858962	75000	0.106704	6.604008
59	0.856682	75000	0.106601	6.710609
60	0.854405	75000	0.106383	6.816992
61	0.852132	75000	0.106226	6.923219
62	0.849863	75000	0.105955	7.029174
63	0.847597	75000	0.105852	7.135026
64	0.845335	75000	0.105658	7.240683
65	0.843077	75000	0.105528	7.346212
66	0.840822	75000	0.105312	7.451524
67	0.838571	75000	0.105188	7.556712
68	0.836323	75000	0.105008	7.661720
69	0.834079	75000	0.104850	7.766570
70	0.831839	75000	0.104581	7.871151
71	0.829602	75000	0.104465	7.975616
72	0.827369	75000	0.104276	8.079892
73	0.825140	75000	0.104135	8.184026
74	0.822914	75000	0.103975	8.288002
75	0.820691	75000	0.103716	8.391718
76	0.818473	75000	0.103535	8.495253
77	0.816258	75000	0.103317	8.598569
78	0.814046	75000	0.103213	8.701782
79	0.811838	75000	0.103038	8.804820
80	0.809634	75000	0.102837	8.907657
81	0.807433	75000	0.102678	9.010335
82	0.805236	75000	0.102463	9.112798
83	0.803043	75000	0.102371	9.215170
84	0.800853	75000	0.102103	9.317272
85	0.798667	75000	0.102004	9.419276
86	0.796484	75000	0.101863	9.521139
87	0.794305	75000	0.101706	9.622845
88	0.792129	75000	0.101467	9.724312
89	0.789957	75000	0.101308	9.825620
90	0.787789	75000	0.101122	9.926742
91	0.785624	75000	0.100969	10.027711
92	0.783463	75000	0.100787	10.128498
93	0.781305	75000	0.100629	10.229127
94	0.779151	75000	0.100382	10.329509
95	0.777000	75000	0.100207	10.429716
96	0.774853	75000	0.100023	10.529739
97	0.772710	75000	0.099888	10.629628
98	0.770570	75000	0.099691	10.729318
99	0.768433	75000	0.099545	10.828864
100	0.766301	75000	0.099397	10.928260
101	0.764172	75000	0.099205	11.027465
102	0.762046	75000	0.099056	11.126522
103	0.759924	75000	0.098821	11.225343
104	0.757805	75000	0.098641	11.323984
105	0.755690	75000	0.098537	11.422521
106	0.753579	75000	0.098313	11.520834
107	0.751471	75000	0.098136	11.618969
108	0.749366	75000	0.098017	11.716986
109	0.747266	75000	0.097764	11.814750
110	0.745168	75000	0.097594	11.912344
111	0.743075	75000	0.097483	12.009827
112	0.740984	75000	0.097212	12.107039
113	0.738898	75000	0.097117	12.204156
114	0.736815	75000	0.097028	12.301184
115	0.734735	75000	0.096758	12.397942
116	0.732659	75000	0.096633	12.494575
117	0.730586	75000	0.096387	12.590963
118	0.728517	75000	0.096310	12.687272
119	0.726452	75000	0.096049	12.783322
120	0.724390	75000	0.095964	12.879286
121	0.722331	75000	0.095779	12.975065
122	0.720276	75000	0.095516	13.070581
123	0.718225	75000	0.095394	13.165975
124	0.716177	75000	0.095212	13.261187
125	0.714132	75000	0.095055	13.356242
126	0.712091	75000	0.094890	13.451131
127	0.710054	75000	0.094706	13.545837
128	0.708020	75000	0.094579	13.640417
129	0.705989	75000	0.094394	13.734810
130	0.703962	75000	0.094232	13.829042
131	0.701939	75000	0.093992	13.923034
132	0.699919	75000	0.093817	14.016851
133	0.697902	75000	0.093658	14.110509
134	0.695889	75000	0.093430	14.203940
135	0.693880	75000	0.093292	14.297231
136	0.691874	75000	0.093189	14.390420
137	0.689871	75000	0.093064	14.483484
138	0.687872	75000	0.092759	14.576243
139	0.685877	75000	0.092704	14.668946
140	0.683885	75000	0.092479	14.761425
141	0.681896	75000	0.092319	14.853745
142	0.679911	75000	0.092188	14.945932
143	0.677929	75000	0.091974	15.037906
144	0.675951	75000	0.091774	15.129680
145	0.673976	75000	0.091651	15.221332
146	0.672005	75000	0.091516	15.312848
147	0.670037	75000	0.091309	15.404156
148	0.668073	75000	0.091129	15.495285
149	0.666112	75000	0.090967	15.586253
150	0.664155	75000	0.090869	15.677122
151	0.662201	75000	0.090600	15.767722
152	0.660250	75000	0.090457	15.858180
153	0.658303	75000	0.090281	15.948460
154	0.656359	75000	0.090101	16.038561
155	0.654419	75000	0.090004	16.128565
156	0.652483	75000	0.089739	16.218305
157	0.650549	75000	0.089639	16.307944
158	0.648619	75000	0.089479	16.397423
159	0.646693	75000	0.089320	16.486743
160	0.644770	75000	0.089091	16.575835
161	0.642851	75000	0.088968	16.664802
162	0.640934	75000	0.088811	16.753613
163	0.639022	75000	0.088597	16.842210
164	0.637113	75000	0.088365	16.930575
165	0.635207	75000	0.088310	17.018885
166	0.633304	75000	0.088106	17.106991
167	0.631405	75000	0.087954	17.194945
168	0.629510	75000	0.087756	17.282701
169	0.627618	75000	0.087588	17.370288
170	0.625729	75000	0.087472	17.457760
171	0.623844	75000	0.087300	17.545060
172	0.621962	75000	0.087111	17.632171
173	0.620083	75000	0.086887	17.719057
174	0.618208	75000	0.086802	17.805860
175	0.616337	75000	0.086557	17.892416
176	0.614468	75000	0.086377	17.978794
177	0.612604	75000	0.086219	18.065013
178	0.610742	75000	0.086089	18.151102
179	0.608884	75000	0.085897	18.236998
180	0.607029	75000	0.085793	18.322791
181	0.605178	75000	0.085583	18.408374
182	0.603330	75000	0.085460	18.493834
183	0.601486	75000	0.085259	18.579093
184	0.599645	75000	0.085140	18.664233
185	0.597807	75000	0.084921	18.749155
186	0.595973	75000	0.084786	18.833941
187	0.594142	75000	0.084573	18.918514
188	0.592314	75000	0.084449	19.002963
189	0.590490	75000	0.084265	19.087228
190	0.588669	75000	0.084166	19.171394
191	0.586852	75000	0.083928	19.255322
192	0.585038	75000	0.083767	19.339089
193	0.583227	75000	0.083661	19.422750
194	0.581420	75000	0.083364	19.506114
195	0.579616	75000	0.083263	19.589377
196	0.577815	75000	0.083107	19.672484
197	0.576018	75000	0.083003	19.755487
198	0.574224	75000	0.082804	19.838291
199	0.572433	75000	0.082590	19.920881
200	0.570646	75000	0.082450	20.003331
201	0.568862	75000	0.082290	20.085621
202	0.567082	75000	0.082113	20.167734
203	0.565305	75000	0.081918	20.249652
204	0.563531	75000	0.081815	20.331467
205	0.561761	75000	0.081583	20.413050
206	0.559993	75000	0.081473	20.494523
207	0.558230	75000	0.081283	20.575806
208	0.556469	75000	0.081100	20.656905
209	0.554712	75000	0.080920	20.737825
210	0.552958	75000	0.080840	20.818665
211	0.551208	75000	0.080691	20.899356
212	0.549461	75000	0.080489	20.979845
213	0.547717	75000	0.080329	21.060174
214	0.545977	75000	0.080194	21.140368
215	0.544240	75000	0.079967	21.220335
216	0.542506	75000	0.079813	21.300147
217	0.540775	75000	0.079547	21.379694
218	0.539048	75000	0.079420	21.459114
219	0.537324	75000	0.079340	21.538454
