Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.051000	8.135790	493	0.026369	4.115812	507	0.074951	0.051000	0.168916	
1000	0.064000	8.081797	530	0.032075	3.276463	470	0.100000	0.064000	0.133955	
1000	0.054000	7.362481	499	0.018036	3.264371	501	0.089820	0.054000	0.113972	
1000	0.098000	7.226242	497	0.014085	1.998621	503	0.180915	0.098000	0.110778	
1000	0.183000	5.159585	470	0.046809	1.043306	530	0.303774	0.183000	0.122813	
1000	0.188000	2.772358	501	0.085828	1.043306	499	0.290581	0.188000	0.132124	
1000	0.219000	1.877858	524	0.120229	1.043306	476	0.327731	0.219000	0.142982	
1000	0.214000	1.820423	477	0.115304	1.043306	523	0.304015	0.214000	0.150872	
1000	0.244000	1.042155	504	0.244048	1.043306	496	0.243952	0.244000	0.160184	
1000	0.286000	1.042155	518	0.254826	1.043306	482	0.319502	0.286000	0.171621	
1000	0.252000	1.042155	516	0.197674	1.043306	484	0.309917	0.252000	0.178318	
1000	0.347000	0.678506	471	0.382166	1.043306	529	0.315690	0.347000	0.191293	
1000	0.305000	0.678506	532	0.338346	1.043306	468	0.267094	0.305000	0.199414	
1000	0.326000	0.678506	493	0.381339	1.043306	507	0.272189	0.326000	0.207853	
1000	0.310000	0.678506	490	0.324490	1.043306	510	0.296078	0.310000	0.214237	
1000	0.328000	0.678506	505	0.356436	1.043306	495	0.298990	0.328000	0.220928	
1000	0.306000	0.678506	525	0.323810	1.043306	475	0.286316	0.306000	0.225654	
1000	0.334000	0.678506	501	0.331337	1.043306	499	0.336673	0.334000	0.231356	
1000	0.322000	0.678506	527	0.368121	1.043306	473	0.270613	0.322000	0.235888	
1000	0.342000	0.678506	510	0.378431	1.043306	490	0.304082	0.342000	0.240941	
1000	0.334000	0.678506	486	0.353909	1.043306	514	0.315175	0.334000	0.245171	
1000	0.315000	0.678506	502	0.306773	1.043306	498	0.323293	0.315000	0.248207	
1000	0.313000	0.678506	499	0.304609	1.043306	501	0.321357	0.313000	0.250906	
1000	0.325000	0.678506	518	0.355212	1.043306	482	0.292531	0.325000	0.253870	
1000	0.331000	0.678506	506	0.337945	1.043306	494	0.323887	0.331000	0.256836	
1000	0.329000	0.678506	502	0.358566	1.043306	498	0.299197	0.329000	0.259509	
1000	0.295000	0.678506	506	0.339921	1.043306	494	0.248988	0.295000	0.260776	
1000	0.350000	0.678506	532	0.372180	1.043306	468	0.324786	0.350000	0.263853	
1000	0.340000	0.678506	501	0.347305	1.043306	499	0.332665	0.340000	0.266391	
1000	0.318000	0.678506	510	0.341176	1.043306	490	0.293878	0.318000	0.268056	
1000	0.325000	0.678506	509	0.322200	1.043306	491	0.327902	0.325000	0.269835	
1000	0.317000	0.678506	513	0.323587	1.043306	487	0.310062	0.317000	0.271265	
1000	0.312000	0.678506	516	0.333333	1.043306	484	0.289256	0.312000	0.272463	
1000	0.339000	0.678506	483	0.349896	1.043306	517	0.328820	0.339000	0.274364	
1000	0.349000	0.678506	509	0.357564	1.043306	491	0.340122	0.349000	0.276437	
1000	0.333000	0.678506	500	0.338000	1.043306	500	0.328000	0.333000	0.277965	
1000	0.309000	0.678506	485	0.336082	1.043306	515	0.283495	0.309000	0.278782	
1000	0.309000	0.678506	493	0.342799	1.043306	507	0.276134	0.309000	0.279557	
1000	0.359000	0.678506	485	0.410309	1.043306	515	0.310680	0.359000	0.281543	
1000	0.303000	0.770086	488	0.313525	1.043306	512	0.292969	0.303000	0.282066	
1000	0.303000	0.770086	474	0.293249	1.043306	526	0.311787	0.303000	0.282565	
1000	0.302000	0.770086	518	0.316602	1.043306	482	0.286307	0.302000	0.283017	
1000	0.308000	0.770086	500	0.322000	1.043306	500	0.294000	0.308000	0.283584	
1000	0.319000	0.770086	531	0.308851	1.043306	469	0.330490	0.319000	0.284371	
1000	0.292000	0.770086	506	0.302372	1.043306	494	0.281377	0.292000	0.284537	
1000	0.280000	0.770086	480	0.262500	1.043306	520	0.296154	0.280000	0.284441	
1000	0.310000	0.770086	505	0.324752	1.043306	495	0.294949	0.310000	0.284973	
1000	0.285000	0.770086	507	0.280079	1.043306	493	0.290061	0.285000	0.284974	
1000	0.320000	0.770086	486	0.318930	1.043306	514	0.321012	0.320000	0.285674	
1000	0.301000	0.770086	478	0.269874	1.043306	522	0.329502	0.301000	0.285975	
1000	0.303000	0.770086	528	0.310606	1.043306	472	0.294492	0.303000	0.286302	
1000	0.298000	0.770086	489	0.298569	1.043306	511	0.297456	0.298000	0.286523	
1000	0.270000	0.770086	481	0.272349	1.043306	519	0.267823	0.270000	0.286217	
1000	0.306000	0.770086	538	0.291822	1.043306	462	0.322511	0.306000	0.286577	
1000	0.324000	0.770086	493	0.332657	1.043306	507	0.315582	0.324000	0.287245	
1000	0.299000	0.770086	526	0.294677	1.043306	474	0.303797	0.299000	0.287451	
1000	0.298000	0.770086	473	0.300211	1.043306	527	0.296015	0.298000	0.287633	
1000	0.275000	0.770086	463	0.295896	1.043306	537	0.256983	0.275000	0.287419	
1000	0.297000	0.770086	496	0.296371	1.043306	504	0.297619	0.297000	0.287579	
1000	0.294000	0.770086	523	0.277247	1.043306	477	0.312369	0.294000	0.287684	
1000	0.311000	0.770086	532	0.327068	1.043306	468	0.292735	0.311000	0.288060	
1000	0.289000	0.770086	509	0.314342	1.043306	491	0.262729	0.289000	0.288075	
1000	0.288000	0.770086	524	0.276718	1.043306	476	0.300420	0.288000	0.288074	
1000	0.281000	0.770086	508	0.250000	1.043306	492	0.313008	0.281000	0.287965	
1000	0.326000	0.770086	483	0.325052	1.043306	517	0.326886	0.326000	0.288541	
1000	0.298000	0.770086	500	0.274000	1.043306	500	0.322000	0.298000	0.288682	
1000	0.272000	0.770086	496	0.260081	1.043306	504	0.283730	0.272000	0.288437	
1000	0.304000	0.770086	518	0.295367	1.043306	482	0.313278	0.304000	0.288662	
1000	0.312000	0.770086	470	0.287234	1.043306	530	0.333962	0.312000	0.288996	
1000	0.253000	0.770086	479	0.248434	1.043306	521	0.257198	0.253000	0.288489	
1000	0.299000	0.770086	493	0.294118	1.043306	507	0.303748	0.299000	0.288635	
1000	0.269000	0.770086	489	0.247444	1.043306	511	0.289628	0.269000	0.288366	
1000	0.327000	0.770086	488	0.290984	1.043306	512	0.361328	0.327000	0.288888	
1000	0.323000	0.770086	487	0.344969	1.043306	513	0.302144	0.323000	0.289343	
1000	0.305000	0.770086	505	0.308911	1.043306	495	0.301010	0.305000	0.289549	
1000	0.318000	0.770086	484	0.336777	1.043306	516	0.300388	0.318000	0.289918	
1000	0.319000	0.770086	474	0.308017	1.043306	526	0.328897	0.319000	0.290291	
1000	0.296000	0.770086	475	0.277895	1.043306	525	0.312381	0.296000	0.290363	
1000	0.278000	0.770086	498	0.251004	1.043306	502	0.304781	0.278000	0.290209	
1000	0.288000	0.770086	495	0.286869	1.043306	505	0.289109	0.288000	0.290182	
1000	0.342000	0.770086	499	0.308617	1.043306	501	0.375250	0.342000	0.290814	
1000	0.325000	0.770086	498	0.323293	1.043306	502	0.326693	0.325000	0.291225	
1000	0.294000	0.770086	472	0.302966	1.043306	528	0.285985	0.294000	0.291258	
1000	0.316000	0.770086	503	0.282306	1.043306	497	0.350101	0.316000	0.291550	
1000	0.298000	0.770086	494	0.293522	1.043306	506	0.302372	0.298000	0.291625	
1000	0.298000	0.770086	500	0.296000	1.043306	500	0.300000	0.298000	0.291698	
1000	0.308000	0.770086	490	0.318367	1.043306	510	0.298039	0.308000	0.291883	
1000	0.282000	0.770086	455	0.318681	1.043306	545	0.251376	0.282000	0.291772	
1000	0.302000	0.770086	501	0.305389	1.043306	499	0.298597	0.302000	0.291886	
1000	0.300000	0.770086	490	0.287755	1.043306	510	0.311765	0.300000	0.291975	
1000	0.300000	0.770086	480	0.295833	1.043306	520	0.303846	0.300000	0.292062	
