Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.089000	6.180979	489	0.049080	2.130390	511	0.127202	0.089000	0.099950	
1000	0.108000	5.301065	478	0.050209	2.126897	522	0.160920	0.108000	0.102632	
1000	0.157000	5.255275	483	0.043478	1.343303	517	0.263056	0.157000	0.116221	
1000	0.164000	3.504759	489	0.061350	1.343303	511	0.262231	0.164000	0.125775	
1000	0.169000	2.978337	482	0.076763	1.343303	518	0.254826	0.169000	0.132978	
1000	0.156000	2.830200	497	0.062374	1.343303	503	0.248509	0.156000	0.136266	
1000	0.180000	1.699296	490	0.159184	1.343303	510	0.200000	0.180000	0.141732	
1000	0.201000	1.532998	476	0.140756	1.343303	524	0.255725	0.201000	0.148317	
1000	0.211000	1.225189	499	0.186373	1.343303	501	0.235529	0.211000	0.154585	
1000	0.228000	1.076608	490	0.255102	1.343303	510	0.201961	0.228000	0.161258	
1000	0.203000	1.076608	484	0.196281	1.343303	516	0.209302	0.203000	0.164736	
1000	0.256000	0.925278	497	0.263581	1.343303	503	0.248509	0.256000	0.171756	
1000	0.265000	0.925278	516	0.284884	1.343303	484	0.243802	0.265000	0.178416	
1000	0.251000	0.925278	496	0.258065	1.343303	504	0.244048	0.251000	0.183254	
1000	0.266000	0.925278	490	0.271429	1.343303	510	0.260784	0.266000	0.188426	
1000	0.247000	0.925278	490	0.263265	1.343303	510	0.231373	0.247000	0.191871	
1000	0.258000	0.925278	485	0.251546	1.343303	515	0.264078	0.258000	0.195545	
1000	0.254000	0.925278	502	0.272908	1.343303	498	0.234940	0.254000	0.198621	
1000	0.236000	0.925278	508	0.251969	1.343303	492	0.219512	0.236000	0.200490	
1000	0.240000	0.925278	485	0.237113	1.343303	515	0.242718	0.240000	0.202371	
1000	0.240000	0.925278	497	0.253521	1.343303	503	0.226640	0.240000	0.204082	
1000	0.248000	0.925278	476	0.260504	1.343303	524	0.236641	0.248000	0.205991	
1000	0.245000	0.925278	514	0.245136	1.343303	486	0.244856	0.245000	0.207616	
1000	0.246000	0.925278	532	0.270677	1.343303	468	0.217949	0.246000	0.209152	
1000	0.274000	0.925278	535	0.256075	1.343303	465	0.294624	0.274000	0.211646	
1000	0.239000	0.925278	487	0.248460	1.343303	513	0.230019	0.239000	0.212659	
1000	0.251000	0.925278	507	0.254438	1.343303	493	0.247465	0.251000	0.214028	
1000	0.242000	0.925278	515	0.250485	1.343303	485	0.232990	0.242000	0.214993	
1000	0.240000	0.925278	476	0.271008	1.343303	524	0.211832	0.240000	0.215826	
1000	0.259000	0.925278	480	0.283333	1.343303	520	0.236538	0.259000	0.217219	
1000	0.229000	0.925278	511	0.227006	1.343303	489	0.231084	0.229000	0.217587	
1000	0.247000	0.925278	535	0.256075	1.343303	465	0.236559	0.247000	0.218478	
1000	0.231000	0.925278	480	0.239583	1.343303	520	0.223077	0.231000	0.218847	
1000	0.243000	0.925278	494	0.248988	1.343303	506	0.237154	0.243000	0.219537	
1000	0.248000	0.925278	504	0.250000	1.343303	496	0.245968	0.248000	0.220327	
1000	0.247000	0.925278	515	0.242718	1.343303	485	0.251546	0.247000	0.221048	
1000	0.242000	0.925278	499	0.244489	1.343303	501	0.239521	0.242000	0.221599	
1000	0.249000	0.925278	507	0.274162	1.343303	493	0.223124	0.249000	0.222302	
1000	0.256000	0.925278	487	0.262834	1.343303	513	0.249513	0.256000	0.223144	
1000	0.246000	0.925278	492	0.256098	1.343303	508	0.236220	0.246000	0.223702	
1000	0.275000	0.925278	505	0.259406	1.343303	495	0.290909	0.275000	0.224923	
1000	0.258000	0.925278	505	0.273267	1.343303	495	0.242424	0.258000	0.225692	
1000	0.248000	0.925278	495	0.260606	1.343303	505	0.235644	0.248000	0.226199	
1000	0.209000	0.925278	490	0.212245	1.343303	510	0.205882	0.209000	0.225817	
1000	0.238000	0.925278	507	0.254438	1.343303	493	0.221095	0.238000	0.226082	
1000	0.246000	0.925278	471	0.252654	1.343303	529	0.240076	0.246000	0.226506	
1000	0.251000	0.925278	475	0.254737	1.343303	525	0.247619	0.251000	0.227016	
1000	0.266000	0.925278	476	0.289916	1.343303	524	0.244275	0.266000	0.227812	
1000	0.245000	0.925278	507	0.258383	1.343303	493	0.231237	0.245000	0.228155	
1000	0.237000	0.925278	487	0.256674	1.343303	513	0.218324	0.237000	0.228329	
1000	0.278000	0.925278	507	0.236686	1.343303	493	0.320487	0.278000	0.229284	
1000	0.248000	0.925278	510	0.262745	1.343303	490	0.232653	0.248000	0.229637	
1000	0.266000	0.925278	491	0.238289	1.343303	509	0.292731	0.266000	0.230311	
1000	0.254000	0.925278	515	0.267961	1.343303	485	0.239175	0.254000	0.230741	
1000	0.229000	0.925278	506	0.235178	1.343303	494	0.222672	0.229000	0.230710	
1000	0.255000	0.925278	536	0.270522	1.343303	464	0.237069	0.255000	0.231136	
1000	0.246000	0.925278	470	0.248936	1.343303	530	0.243396	0.246000	0.231393	
1000	0.261000	0.925278	505	0.261386	1.343303	495	0.260606	0.261000	0.231894	
1000	0.240000	0.925278	533	0.240150	1.343303	467	0.239829	0.240000	0.232029	
1000	0.229000	0.925278	490	0.248980	1.343303	510	0.209804	0.229000	0.231980	
1000	0.247000	0.925278	492	0.243902	1.343303	508	0.250000	0.247000	0.232222	
1000	0.215000	0.925278	484	0.221074	1.343303	516	0.209302	0.215000	0.231949	
1000	0.242000	0.925278	504	0.238095	1.343303	496	0.245968	0.242000	0.232106	
1000	0.267000	0.925278	495	0.276768	1.343303	505	0.257426	0.267000	0.232643	
1000	0.224000	0.925278	527	0.244782	1.343303	473	0.200846	0.224000	0.232512	
1000	0.292000	0.925278	495	0.286869	1.343303	505	0.297030	0.292000	0.233400	
1000	0.220000	0.925278	488	0.221311	1.343303	512	0.218750	0.220000	0.233202	
1000	0.223000	0.925278	448	0.216518	1.343303	552	0.228261	0.223000	0.233055	
1000	0.267000	0.925278	497	0.283702	1.343303	503	0.250497	0.267000	0.233540	
1000	0.230000	0.925278	495	0.228283	1.343303	505	0.231683	0.230000	0.233490	
1000	0.240000	0.925278	485	0.249485	1.343303	515	0.231068	0.240000	0.233580	
1000	0.238000	0.925278	501	0.219561	1.343303	499	0.256513	0.238000	0.233641	
1000	0.268000	0.925278	494	0.301619	1.343303	506	0.235178	0.268000	0.234105	
1000	0.242000	0.925278	495	0.266667	1.343303	505	0.217822	0.242000	0.234210	
1000	0.256000	0.925278	513	0.261209	1.343303	487	0.250513	0.256000	0.234497	
1000	0.246000	0.925278	520	0.253846	1.343303	480	0.237500	0.246000	0.234646	
1000	0.249000	0.925278	481	0.295218	1.343303	519	0.206166	0.249000	0.234830	
1000	0.250000	0.925278	489	0.271984	1.343303	511	0.228963	0.250000	0.235022	
1000	0.246000	0.925278	497	0.257545	1.343303	503	0.234592	0.246000	0.235160	
1000	0.254000	0.925278	496	0.233871	1.343303	504	0.273810	0.254000	0.235392	
1000	0.263000	0.925278	498	0.259036	1.343303	502	0.266932	0.263000	0.235729	
1000	0.244000	0.925278	499	0.272545	1.343303	501	0.215569	0.244000	0.235828	
1000	0.245000	0.925278	520	0.251923	1.343303	480	0.237500	0.245000	0.235938	
1000	0.249000	0.925278	528	0.242424	1.343303	472	0.256356	0.249000	0.236091	
1000	0.236000	0.925278	504	0.251984	1.343303	496	0.219758	0.236000	0.236090	
1000	0.245000	0.925278	500	0.252000	1.343303	500	0.238000	0.245000	0.236193	
1000	0.247000	0.925278	504	0.263889	1.343303	496	0.229839	0.247000	0.236315	
1000	0.238000	0.925278	495	0.228283	1.343303	505	0.247525	0.238000	0.236334	
1000	0.240000	0.925278	525	0.257143	1.343303	475	0.221053	0.240000	0.236375	
1000	0.254000	0.925278	486	0.236626	1.343303	514	0.270428	0.254000	0.236569	
1000	0.244000	0.925278	509	0.253438	1.343303	491	0.234216	0.244000	0.236650	
1000	0.250000	0.925278	495	0.252525	1.343303	505	0.247525	0.250000	0.236793	
1000	0.239000	0.925278	492	0.239837	1.343303	508	0.238189	0.239000	0.236817	
1000	0.255000	0.925278	494	0.246964	1.343303	506	0.262846	0.255000	0.237008	
1000	0.227000	0.925278	525	0.230476	1.343303	475	0.223158	0.227000	0.236904	
1000	0.246000	0.925278	481	0.270270	1.343303	519	0.223507	0.246000	0.236998	
1000	0.228000	0.925278	490	0.214286	1.343303	510	0.241176	0.228000	0.236906	
1000	0.255000	0.925278	471	0.256900	1.343303	529	0.253308	0.255000	0.237089	
1000	0.275000	0.925278	493	0.247465	1.343303	507	0.301775	0.275000	0.237468	
1000	0.252000	0.925278	508	0.261811	1.343303	492	0.241870	0.252000	0.237612	
1000	0.224000	0.925278	528	0.244318	1.343303	472	0.201271	0.224000	0.237478	
1000	0.270000	0.925278	497	0.287726	1.343303	503	0.252485	0.270000	0.237794	
