Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.120844	-0.120844
1	0.995007	75000	-0.120639	-0.241483
2	0.992517	75000	-0.120599	-0.362082
3	0.990030	75000	-0.120419	-0.482500
4	0.987547	75000	-0.120448	-0.602948
5	0.985067	75000	-0.120167	-0.723115
6	0.982592	75000	-0.119966	-0.843081
7	0.980120	75000	-0.119793	-0.962874
8	0.977652	75000	-0.119677	-1.082550
9	0.975187	75000	-0.119419	-1.201970
10	0.972726	75000	-0.119175	-1.321145
11	0.970269	75000	-0.119137	-1.440281
12	0.967816	75000	-0.118881	-1.559163
13	0.965367	75000	-0.118604	-1.677767
14	0.962921	75000	-0.118513	-1.796280
15	0.960479	75000	-0.118375	-1.914655
16	0.958040	75000	-0.118142	-2.032797
17	0.955606	75000	-0.118003	-2.150800
18	0.953175	75000	-0.117896	-2.268696
19	0.950747	75000	-0.117732	-2.386428
20	0.948324	75000	-0.117489	-2.503917
21	0.945904	75000	-0.117447	-2.621365
22	0.943488	75000	-0.117259	-2.738624
23	0.941076	75000	-0.117111	-2.855735
24	0.938667	75000	-0.116974	-2.972709
25	0.936262	75000	-0.116634	-3.089343
26	0.933861	75000	-0.116596	-3.205939
27	0.931463	75000	-0.116392	-3.322331
28	0.929069	75000	-0.116191	-3.438522
29	0.926679	75000	-0.116097	-3.554619
30	0.924293	75000	-0.115898	-3.670518
31	0.921910	75000	-0.115651	-3.786168
32	0.919531	75000	-0.115494	-3.901662
33	0.917155	75000	-0.115400	-4.017063
34	0.914783	75000	-0.115164	-4.132227
35	0.912415	75000	-0.115080	-4.247308
36	0.910051	75000	-0.114933	-4.362241
37	0.907690	75000	-0.114833	-4.477074
38	0.905333	75000	-0.114587	-4.591661
39	0.902980	75000	-0.114417	-4.706078
40	0.900630	75000	-0.114130	-4.820208
41	0.898284	75000	-0.114007	-4.934215
42	0.895942	75000	-0.113869	-5.048084
43	0.893603	75000	-0.113692	-5.161777
44	0.891268	75000	-0.113574	-5.275350
45	0.888937	75000	-0.113271	-5.388621
46	0.886609	75000	-0.113142	-5.501763
47	0.884285	75000	-0.113020	-5.614783
48	0.881965	75000	-0.112838	-5.727622
49	0.879648	75000	-0.112774	-5.840396
50	0.877335	75000	-0.112484	-5.952880
51	0.875026	75000	-0.112388	-6.065269
52	0.872720	75000	-0.112127	-6.177396
53	0.870418	75000	-0.112088	-6.289484
54	0.868120	75000	-0.111880	-6.401364
55	0.865825	75000	-0.111768	-6.513132
56	0.863534	75000	-0.111420	-6.624551
57	0.861246	75000	-0.111248	-6.735799
58	0.858962	75000	-0.111166	-6.846965
59	0.856682	75000	-0.111076	-6.958041
60	0.854405	75000	-0.110869	-7.068910
61	0.852132	75000	-0.110722	-7.179632
62	0.849863	75000	-0.110528	-7.290160
63	0.847597	75000	-0.110448	-7.400607
64	0.845335	75000	-0.110276	-7.510884
65	0.843077	75000	-0.109977	-7.620861
66	0.840822	75000	-0.109819	-7.730679
67	0.838571	75000	-0.109787	-7.840466
68	0.836323	75000	-0.109553	-7.950020
69	0.834079	75000	-0.109352	-8.059372
70	0.831839	75000	-0.109119	-8.168491
71	0.829602	75000	-0.109029	-8.277520
72	0.827369	75000	-0.108922	-8.386442
73	0.825140	75000	-0.108704	-8.495146
74	0.822914	75000	-0.108511	-8.603657
75	0.820691	75000	-0.108421	-8.712077
