Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
831	0.648616	169	0.112426	0.033658	379	1.000000	10.350894	452	0.353982	0.558000	0.622689	
857	0.669778	143	0.377622	0.062819	434	1.000000	10.350894	423	0.330969	0.628000	0.624459	
839	0.668653	161	0.397516	0.077693	404	0.997525	10.350894	435	0.363218	0.625000	0.624594	
851	0.694477	149	0.322148	0.129746	435	0.997701	10.350894	416	0.377404	0.639000	0.627475	
826	0.661017	174	0.350575	0.177182	403	0.987593	10.350894	423	0.349882	0.607000	0.624063	
836	0.685407	164	0.371951	0.334564	415	0.990361	10.350894	421	0.384798	0.634000	0.625482	
830	0.716867	170	0.311765	0.465749	434	0.993088	10.350894	396	0.414141	0.648000	0.628296	
841	0.646849	159	0.257862	0.798349	409	0.977995	11.542377	432	0.333333	0.585000	0.623486	
834	0.678657	166	0.277108	1.202109	416	0.961538	11.542377	418	0.397129	0.612000	0.622338	
852	0.680751	148	0.216216	2.360490	458	0.951965	11.542377	394	0.365482	0.612000	0.621398	
829	0.504222	171	0.654971	4.639913	413	0.685230	11.542377	416	0.324519	0.530000	0.613782	
823	0.434994	177	0.728814	5.691717	413	0.539952	11.542377	410	0.329268	0.487000	0.604030	
817	0.329253	183	0.743169	9.756071	396	0.371212	11.542377	421	0.289786	0.405000	0.589815	
813	0.325953	187	0.663102	9.756071	410	0.351220	11.542377	403	0.300248	0.389000	0.576428	
825	0.335758	175	0.680000	9.756071	403	0.372208	11.542377	422	0.300948	0.396000	0.565152	
842	0.333729	158	0.727848	9.756071	414	0.376812	11.542377	428	0.292056	0.396000	0.555203	
836	0.332536	164	0.731707	9.756071	413	0.346247	11.542377	423	0.319149	0.398000	0.546470	
814	0.357494	186	0.741935	9.756071	408	0.377451	11.542377	406	0.337438	0.429000	0.540287	
840	0.361905	160	0.762500	9.756071	420	0.388095	11.542377	420	0.335714	0.426000	0.534573	
809	0.346106	191	0.722513	9.756071	413	0.375303	11.542377	396	0.315657	0.418000	0.529022	
