Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.125962	-0.125962
1	0.995007	75000	-0.125679	-0.251642
2	0.992517	75000	-0.125598	-0.377240
3	0.990030	75000	-0.125446	-0.502686
4	0.987547	75000	-0.125219	-0.627905
5	0.985067	75000	-0.125062	-0.752967
6	0.982592	75000	-0.124820	-0.877787
7	0.980120	75000	-0.124617	-1.002405
8	0.977652	75000	-0.124463	-1.126868
9	0.975187	75000	-0.124276	-1.251144
10	0.972726	75000	-0.124172	-1.375316
11	0.970269	75000	-0.123984	-1.499300
12	0.967816	75000	-0.123788	-1.623087
13	0.965367	75000	-0.123624	-1.746711
14	0.962921	75000	-0.123379	-1.870091
15	0.960479	75000	-0.123285	-1.993376
16	0.958040	75000	-0.123057	-2.116433
17	0.955606	75000	-0.122814	-2.239247
18	0.953175	75000	-0.122701	-2.361949
19	0.950747	75000	-0.122565	-2.484514
20	0.948324	75000	-0.122366	-2.606880
21	0.945904	75000	-0.122140	-2.729020
22	0.943488	75000	-0.122048	-2.851069
23	0.941076	75000	-0.121854	-2.972923
24	0.938667	75000	-0.121660	-3.094583
25	0.936262	75000	-0.121488	-3.216071
26	0.933861	75000	-0.121293	-3.337364
27	0.931463	75000	-0.121100	-3.458464
28	0.929069	75000	-0.121005	-3.579468
29	0.926679	75000	-0.120730	-3.700198
30	0.924293	75000	-0.120559	-3.820757
31	0.921910	75000	-0.120442	-3.941200
32	0.919531	75000	-0.120256	-4.061456
33	0.917155	75000	-0.119969	-4.181425
34	0.914783	75000	-0.119991	-4.301416
35	0.912415	75000	-0.119677	-4.421092
36	0.910051	75000	-0.119578	-4.540670
37	0.907690	75000	-0.119416	-4.660086
38	0.905333	75000	-0.119168	-4.779254
39	0.902980	75000	-0.119015	-4.898269
40	0.900630	75000	-0.118764	-5.017033
41	0.898284	75000	-0.118641	-5.135675
42	0.895942	75000	-0.118449	-5.254124
43	0.893603	75000	-0.118394	-5.372518
44	0.891268	75000	-0.118017	-5.490536
45	0.888937	75000	-0.117993	-5.608528
46	0.886609	75000	-0.117798	-5.726327
47	0.884285	75000	-0.117630	-5.843956
48	0.881965	75000	-0.117467	-5.961424
49	0.879648	75000	-0.117238	-6.078662
50	0.877335	75000	-0.117034	-6.195696
51	0.875026	75000	-0.116947	-6.312643
52	0.872720	75000	-0.116716	-6.429358
53	0.870418	75000	-0.116542	-6.545901
54	0.868120	75000	-0.116413	-6.662313
55	0.865825	75000	-0.116211	-6.778525
56	0.863534	75000	-0.116035	-6.894560
57	0.861246	75000	-0.115903	-7.010463
58	0.858962	75000	-0.115765	-7.126228
59	0.856682	75000	-0.115469	-7.241697
60	0.854405	75000	-0.115442	-7.357139
61	0.852132	75000	-0.115114	-7.472253
62	0.849863	75000	-0.114998	-7.587250
63	0.847597	75000	-0.114837	-7.702088
64	0.845335	75000	-0.114564	-7.816651
65	0.843077	75000	-0.114492	-7.931144
